time,empiricalCdf,theoreticalCdf,piLower,piUpper,split
1.284,0.0103093,0,0,0.0109293,All
1.69113,0.0206186,0,0,0.0116963,All
2.09826,0.0206186,0,0,0.0229885,All
2.50539,0.0206186,0.0106383,0,0.0340909,All
2.91253,0.0309278,0.0112998,0,0.0454545,All
3.31966,0.0309278,0.0222222,0,0.0652251,All
3.72679,0.0412371,0.0326087,0,0.0777778,All
4.13392,0.0412371,0.0434783,0.0107527,0.0935705,All
4.54105,0.0618557,0.0555556,0.0113636,0.110501,All
4.94818,0.0721649,0.0681818,0.021978,0.129032,All
5.35531,0.0824742,0.0828029,0.032967,0.151356,All
5.76244,0.0927835,0.1,0.0442002,0.171249,All
6.16958,0.103093,0.117021,0.0549451,0.191011,All
6.57671,0.113402,0.136364,0.0670412,0.213125,All
6.98384,0.123711,0.153846,0.0846774,0.233688,All
7.39097,0.154639,0.174166,0.0962594,0.25712,All
7.7981,0.185567,0.193182,0.109903,0.280234,All
8.20523,0.185567,0.211939,0.127783,0.302223,All
8.61236,0.195876,0.229073,0.146086,0.326087,All
9.01949,0.237113,0.25,0.162167,0.344444,All
9.42663,0.237113,0.269663,0.183352,0.361094,All
9.83376,0.247423,0.290323,0.197802,0.388562,All
10.2409,0.298969,0.31147,0.218391,0.403277,All
10.648,0.329897,0.326087,0.234257,0.420455,All
11.0552,0.329897,0.347826,0.255814,0.441371,All
11.4623,0.340206,0.366667,0.272727,0.460674,All
11.8694,0.360825,0.382022,0.292135,0.477778,All
12.2765,0.391753,0.402174,0.310096,0.494317,All
12.6837,0.402062,0.420455,0.325834,0.505683,All
13.0908,0.43299,0.432576,0.344828,0.522727,All
13.4979,0.43299,0.449438,0.363137,0.538048,All
13.9051,0.443299,0.466667,0.377155,0.547453,All
14.3122,0.453608,0.478261,0.401087,0.566667,All
14.7193,0.474227,0.494505,0.413793,0.582418,All
15.1265,0.484536,0.511111,0.428537,0.602151,All
15.5336,0.505155,0.52809,0.447363,0.61327,All
15.9407,0.515464,0.543961,0.466667,0.625687,All
16.3479,0.525773,0.557479,0.480741,0.637363,All
16.755,0.57732,0.571429,0.494317,0.655556,All
17.1621,0.597938,0.582418,0.505683,0.664855,All
17.5693,0.628866,0.6,0.517048,0.681568,All
17.9764,0.628866,0.611111,0.534884,0.692308,All
18.3835,0.639175,0.626374,0.547981,0.703297,All
18.7906,0.670103,0.639992,0.556818,0.719101,All
19.1978,0.690722,0.652403,0.571463,0.729722,All
19.6049,0.71134,0.663043,0.58047,0.741573,All
20.012,0.721649,0.674157,0.591153,0.751344,All
20.4192,0.721649,0.682086,0.604396,0.763441,All
20.8263,0.721649,0.695652,0.615385,0.772233,All
21.2334,0.721649,0.707865,0.630699,0.780914,All
21.6406,0.731959,0.717391,0.644061,0.786875,All
22.0477,0.742268,0.726253,0.65193,0.795455,All
22.4548,0.742268,0.736264,0.659091,0.8054,All
22.862,0.762887,0.747253,0.668561,0.818665,All
23.2691,0.773196,0.755556,0.6833,0.823853,All
23.6762,0.783505,0.765957,0.692745,0.834314,All
24.0834,0.783505,0.775938,0.701149,0.846606,All
24.4905,0.783505,0.786517,0.713465,0.856349,All
24.8976,0.793814,0.793478,0.72093,0.863636,All
25.3047,0.804124,0.803337,0.73076,0.865918,All
25.7119,0.804124,0.811111,0.738883,0.877778,All
26.119,0.814433,0.818665,0.748626,0.887002,All
26.5261,0.824742,0.826087,0.758242,0.888889,All
26.9333,0.824742,0.833333,0.764375,0.894512,All
27.3404,0.845361,0.840909,0.770927,0.900549,All
27.7475,0.85567,0.847826,0.78022,0.905101,All
28.1547,0.865979,0.854744,0.788061,0.911111,All
28.5618,0.876289,0.862069,0.793478,0.914436,All
28.9689,0.876289,0.866667,0.803273,0.923077,All
29.3761,0.876289,0.873563,0.812149,0.931818,All
29.7832,0.886598,0.879121,0.817137,0.933333,All
30.1903,0.917526,0.88764,0.824176,0.941853,All
30.5975,0.917526,0.891304,0.835165,0.94382,All
31.0046,0.917526,0.898876,0.842697,0.945055,All
31.4117,0.938144,0.903226,0.848644,0.954801,All
31.8188,0.938144,0.910112,0.857143,0.956044,All
32.226,0.938144,0.913978,0.860215,0.960848,All
32.6331,0.938144,0.921348,0.868132,0.965116,All
33.0402,0.948454,0.923913,0.874282,0.966667,All
33.4474,0.948454,0.931818,0.879778,0.967212,All
33.8545,0.958763,0.933333,0.88764,0.967914,All
34.2616,0.958763,0.93617,0.890707,0.977273,All
34.6688,0.958763,0.94382,0.9,0.978022,All
35.0759,0.969072,0.945652,0.901099,0.978261,All
35.483,0.969072,0.954284,0.907511,0.988372,All
35.8902,0.969072,0.955556,0.912566,0.988889,All
36.2973,0.969072,0.956989,0.920455,0.989011,All
36.7044,0.969072,0.965909,0.922222,0.98913,All
37.1116,0.969072,0.966667,0.925532,0.989474,All
37.5187,0.969072,0.967391,0.933333,1,All
37.9258,0.979381,0.977273,0.943182,1,All
38.3329,0.979381,0.977778,0.94382,1,All
38.7401,0.979381,0.978261,0.952941,1,All
39.1472,0.979381,0.988506,0.955056,1,All
39.5543,0.979381,0.988764,0.965517,1,All
39.9615,0.979381,0.989011,0.966667,1,All
40.3686,0.989691,1,0.976878,1,All
40.7757,0.989691,1,0.977778,1,All
41.1829,0.989691,1,0.988571,1,All
41.59,1,1,1,1,All
