iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q
1,5.23621,0.0413236,21.3429,0.14013,5.98235,0.340106
2,5.24569,0.0366437,21.3255,0.12393,6.14247,0.300239
3,5.24584,0.0341588,21.2808,0.121632,6.19381,0.283488
4,5.24755,0.0324328,21.2867,0.119322,6.21853,0.278922
5,5.24882,0.0313716,21.2329,0.118601,6.21876,0.280593
6,5.25273,0.031467,21.2765,0.119171,6.23799,0.276691
7,5.24804,0.0313556,21.2184,0.117537,6.20694,0.27817
8,5.24473,0.0317857,21.159,0.11609,6.21509,0.284219
9,5.24631,0.0325901,21.1552,0.116489,6.22156,0.284995
10,5.24678,0.0330342,21.127,0.116995,6.23444,0.284884
11,5.24716,0.0328027,21.0601,0.117299,6.25399,0.288285
12,5.24939,0.0326686,21.0255,0.116266,6.29986,0.295309
13,5.25079,0.0329605,21.0417,0.116161,6.30903,0.29965
14,5.25178,0.0330367,21.04,0.115943,6.32507,0.30074
15,5.25311,0.0331414,21.0512,0.11683,6.31963,0.301002
16,5.25423,0.0330553,21.0658,0.116447,6.31721,0.30219
17,5.25437,0.0327754,21.0959,0.116294,6.30207,0.30112
18,5.25284,0.0326532,21.1169,0.115386,6.25784,0.299099
19,5.25177,0.0325127,21.1341,0.115047,6.22346,0.298378
20,5.25133,0.0324427,21.153,0.115281,6.1862,0.297777
21,5.24996,0.0323172,21.1933,0.114735,6.15726,0.296086
22,5.24896,0.0321476,21.2194,0.11443,6.13198,0.294011
23,5.24759,0.0319793,21.2413,0.114459,6.10032,0.292133
24,5.24788,0.0320011,21.276,0.114284,6.08086,0.289825
25,5.24819,0.0318366,21.2838,0.113761,6.08225,0.289121
26,5.24948,0.0317803,21.2953,0.113663,6.08789,0.287709
27,5.25071,0.0318578,21.3208,0.113729,6.0949,0.286905
28,5.25174,0.0318432,21.3458,0.113552,6.09858,0.286215
29,5.25205,0.0316846,21.3477,0.112997,6.09928,0.284711
30,5.2513,0.0315318,21.3502,0.112752,6.0991,0.28378
31,5.25115,0.0315473,21.3494,0.112081,6.09861,0.283082
32,5.25142,0.0314331,21.3421,0.111804,6.10716,0.282394
33,5.25141,0.031303,21.3429,0.111274,6.11305,0.282154
34,5.25132,0.0312437,21.3489,0.110505,6.11464,0.281099
35,5.25186,0.0312838,21.3441,0.110014,6.12427,0.282467
36,5.25151,0.031252,21.3234,0.109826,6.14491,0.284292
37,5.25161,0.0313402,21.2958,0.110111,6.16492,0.284921
38,5.25218,0.03136,21.2845,0.110059,6.18443,0.285304
39,5.25307,0.0313593,21.2837,0.109993,6.2032,0.285294
40,5.25348,0.0312882,21.2748,0.110058,6.21914,0.285513
41,5.25414,0.0313601,21.283,0.109605,6.23259,0.286179
42,5.25426,0.0314324,21.2872,0.109244,6.23329,0.286416
43,5.25443,0.0315851,21.2953,0.109073,6.23442,0.287587
44,5.25504,0.0316668,21.2982,0.109151,6.24091,0.28864
45,5.25559,0.0317108,21.298,0.109054,6.2494,0.288249
46,5.25565,0.0317118,21.2941,0.109395,6.25511,0.287624
47,5.2553,0.0317159,21.2813,0.109513,6.25597,0.287178
48,5.25533,0.0317275,21.2701,0.10975,6.25844,0.286762
49,5.25587,0.0318277,21.2604,0.109999,6.26824,0.287025
50,5.25572,0.0318483,21.259,0.109914,6.26868,0.286538
51,5.25564,0.0317567,21.2579,0.109677,6.27029,0.286477
52,5.25648,0.0317002,21.2562,0.10959,6.28199,0.286325
53,5.25663,0.0316397,21.2602,0.109796,6.29026,0.28579
54,5.25642,0.0315765,21.2713,0.109829,6.29444,0.285724
55,5.2558,0.0316645,21.2727,0.109727,6.29641,0.285792
56,5.25573,0.0317131,21.2792,0.109708,6.29794,0.284997
57,5.25583,0.0316751,21.2808,0.110074,6.29883,0.28416
58,5.25577,0.0316326,21.287,0.110066,6.2903,0.284032
59,5.25606,0.0316183,21.2889,0.109846,6.29164,0.283628
60,5.25631,0.0316183,21.2911,0.109508,6.2947,0.283886
61,5.25657,0.0316333,21.2985,0.109136,6.29086,0.282922
62,5.25718,0.0316564,21.3045,0.108954,6.29076,0.282083
63,5.25732,0.0316939,21.3115,0.10876,6.28336,0.281362
64,5.25749,0.031663,21.3132,0.108723,6.28302,0.28041
65,5.25726,0.0315994,21.3122,0.108716,6.28525,0.279614
66,5.25724,0.031595,21.316,0.108603,6.28551,0.279127
67,5.25769,0.0316401,21.3213,0.108637,6.28496,0.279343
68,5.25808,0.0316082,21.3269,0.108402,6.28414,0.278415
69,5.2584,0.0315932,21.3348,0.108228,6.27652,0.277444
70,5.25861,0.0315481,21.3416,0.108108,6.27377,0.27709
71,5.25854,0.0314818,21.3463,0.107609,6.26719,0.276794
72,5.25892,0.0314368,21.3516,0.107174,6.26911,0.276392
73,5.25878,0.0313929,21.3522,0.107069,6.26744,0.276059
74,5.25878,0.0313352,21.3571,0.106965,6.2706,0.275802
75,5.25892,0.0313241,21.3568,0.106841,6.2757,0.275808
76,5.25886,0.0312988,21.3607,0.106786,6.27338,0.275859
77,5.25899,0.0312767,21.3642,0.106855,6.27034,0.275835
78,5.25906,0.0312883,21.3687,0.106882,6.27317,0.276241
79,5.25916,0.0313185,21.3682,0.106974,6.27542,0.276285
80,5.25925,0.0313018,21.3676,0.106886,6.27793,0.27636
81,5.25932,0.0312618,21.3652,0.107078,6.28268,0.275903
82,5.2594,0.0312209,21.3611,0.107114,6.28857,0.275942
83,5.25959,0.031196,21.3595,0.107053,6.29249,0.27567
84,5.25992,0.0311635,21.3579,0.106961,6.29733,0.275653
85,5.26006,0.0312025,21.3603,0.106836,6.29877,0.275583
86,5.2599,0.0312616,21.3599,0.106782,6.2951,0.275765
