Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,split
3.74654,0.000258804,6.21272e-05,43.443,2.22045e-16,2.22045e-16,0.285767,0.00184608,0.000132569,All
3.9889,0.000593886,0.000160783,43.4433,2.22045e-16,2.22045e-16,5.26247,0.0620624,0.252269,All
4.23125,0.00123097,0.000374269,43.4436,2.22045e-16,2.22045e-16,10.2392,0.0398499,0.505377,All
4.4736,0.00233763,0.000795284,43.4439,2.22045e-16,2.22045e-16,15.2159,0.0245683,0.662266,All
4.71596,0.00411474,0.00156145,43.4442,2.22045e-16,2.22045e-16,20.1926,0.0157275,0.76056,All
4.95831,0.00677874,0.00286139,43.4445,2.22045e-16,2.22045e-16,25.1693,0.010487,0.824707,All
5.20066,0.0105367,0.00493562,43.4448,2.22045e-16,2.22045e-16,30.146,0.00724572,0.868218,All
5.44301,0.0155589,0.00807091,43.4451,2.22045e-16,2.22045e-16,35.1227,0.00515861,0.898721,All
5.68537,0.0219527,0.0125882,43.4454,2.22045e-16,2.22045e-16,40.0994,0.00376687,0.920707,All
5.92772,0.0297434,0.0188246,43.4457,2.22045e-16,2.22045e-16,45.0761,0.00281056,0.936931,All
6.17007,0.0388637,0.0271126,43.446,2.22045e-16,2.22045e-16,50.0528,0.0021363,0.949146,All
6.41243,0.0491538,0.0377568,43.4463,2.22045e-16,2.22045e-16,55.0295,0.0016502,0.958504,All
6.65478,0.0603715,0.0510129,43.4466,2.22045e-16,2.22045e-16,60.0062,0.00129288,0.965784,All
6.89713,0.0722095,0.0670695,43.4469,2.22045e-16,2.22045e-16,64.9829,0.0010257,0.971522,All
7.13948,0.0843184,0.0860352,43.4472,2.22045e-16,2.22045e-16,69.9596,0.000822868,0.976099,All
7.38184,0.0963311,0.107931,43.4475,2.22045e-16,2.22045e-16,74.9363,0.000666798,0.979789,All
7.62419,0.107887,0.132691,43.4478,2.22045e-16,2.22045e-16,79.913,0.000545243,0.982793,All
7.86654,0.118654,0.160161,43.4481,2.22045e-16,2.22045e-16,84.8897,0.000449528,0.985259,All
8.1089,0.128343,0.190116,43.4484,2.22045e-16,2.22045e-16,89.8664,0.000373406,0.9873,All
8.35125,0.136722,0.222264,43.4487,2.22045e-16,2.22045e-16,94.8431,0.000312315,0.989001,All
8.5936,0.143622,0.256266,43.449,2.22045e-16,2.22045e-16,99.8198,0.000262876,0.990428,All
8.83595,0.148935,0.29175,43.4493,2.22045e-16,2.22045e-16,104.797,0.000222561,0.991632,All
9.07831,0.15262,0.328324,43.4496,2.22045e-16,2.22045e-16,109.773,0.000189453,0.992655,All
9.32066,0.154687,0.365595,43.4499,2.22045e-16,2.22045e-16,114.75,0.000162084,0.993528,All
9.56301,0.155197,0.403176,43.4502,2.22045e-16,2.22045e-16,119.727,0.000139322,0.994276,All
9.80537,0.154252,0.440702,43.4505,2.22045e-16,2.22045e-16,124.703,0.000120284,0.99492,All
10.0477,0.151981,0.477835,43.4508,2.22045e-16,2.22045e-16,129.68,0.000104275,0.995478,All
10.2901,0.148536,0.514273,43.4511,2.22045e-16,2.22045e-16,134.657,9.07476e-05,0.995962,All
10.5324,0.14408,0.54975,43.4514,2.22045e-16,2.22045e-16,139.633,7.92628e-05,0.996385,All
10.7748,0.138783,0.584042,43.4517,2.22045e-16,2.22045e-16,144.61,6.94695e-05,0.996754,All
11.0171,0.132812,0.616965,43.452,2.22045e-16,2.22045e-16,149.587,6.10841e-05,0.997079,All
11.2595,0.126328,0.648375,43.4523,2.22045e-16,2.22045e-16,154.564,5.3876e-05,0.997364,All
11.5018,0.11948,0.678167,43.4526,2.22045e-16,2.22045e-16,159.54,4.7657e-05,0.997616,All
11.7442,0.112407,0.70627,43.4529,2.22045e-16,2.22045e-16,164.517,4.22727e-05,0.99784,All
11.9865,0.10523,0.732643,43.4532,2.22045e-16,2.22045e-16,169.494,3.75954e-05,0.998038,All
12.2289,0.0980567,0.757276,43.4535,2.22045e-16,2.22045e-16,174.47,3.35194e-05,0.998215,All
12.4712,0.0909774,0.78018,43.4538,2.22045e-16,2.22045e-16,179.447,2.99569e-05,0.998373,All
12.7136,0.0840676,0.801387,43.4541,2.22045e-16,2.22045e-16,184.424,2.6834e-05,0.998514,All
12.956,0.077388,0.820946,43.4544,2.22045e-16,2.22045e-16,189.4,2.40892e-05,0.998641,All
13.1983,0.0709859,0.83892,43.4547,2.22045e-16,2.22045e-16,194.377,2.16703e-05,0.998754,All
13.4407,0.0648963,0.855379,43.455,2.22045e-16,2.22045e-16,199.354,1.95333e-05,0.998857,All
13.683,0.0591435,0.870402,43.4553,2.22045e-16,2.22045e-16,204.331,1.76407e-05,0.998949,All
13.9254,0.0537423,0.884074,43.4556,2.22045e-16,2.22045e-16,209.307,1.59609e-05,0.999033,All
14.1677,0.0486997,0.896481,43.4559,2.22045e-16,2.22045e-16,214.284,1.44666e-05,0.999108,All
14.4101,0.044016,0.907708,43.4562,2.22045e-16,2.22045e-16,219.261,1.31344e-05,0.999177,All
14.6524,0.0396859,0.917844,43.4565,2.22045e-16,2.22045e-16,224.237,1.19445e-05,0.999239,All
14.8948,0.0357,0.926972,43.4568,2.22045e-16,2.22045e-16,229.214,1.08795e-05,0.999296,All
15.1371,0.0320454,0.935175,43.4571,2.22045e-16,2.22045e-16,234.191,9.92447e-06,0.999348,All
15.3795,0.0287068,0.94253,43.4574,2.22045e-16,2.22045e-16,239.168,9.06656e-06,0.999395,All
15.6218,0.0256671,0.949113,43.4577,2.22045e-16,2.22045e-16,244.144,8.29453e-06,0.999438,All
15.8642,0.0229084,0.954994,43.458,2.22045e-16,1,249.121,7.59861e-06,0.999478,All
16.1065,0.0204118,0.960238,43.4583,2.22045e-16,1,254.098,6.97027e-06,0.999514,All
16.3489,0.0181586,0.964907,43.4586,2.22045e-16,1,259.074,6.40206e-06,0.999547,All
16.5912,0.0161301,0.969058,43.4589,2.22045e-16,1,264.051,5.88744e-06,0.999578,All
16.8336,0.0143083,0.972742,43.4592,2.22045e-16,1,269.028,5.42067e-06,0.999606,All
17.076,0.0126756,0.976009,43.4595,2.22045e-16,1,274.004,4.99669e-06,0.999632,All
17.3183,0.0112154,0.9789,43.4598,2.22045e-16,1,278.981,4.61106e-06,0.999656,All
17.5607,0.00991189,0.981457,43.4601,2.22045e-16,1,283.958,4.25983e-06,0.999678,All
17.803,0.00875038,0.983716,43.4604,2.22045e-16,1,288.935,3.93951e-06,0.999698,All
18.0454,0.0077171,0.985709,43.4607,2.22045e-16,1,293.911,3.64703e-06,0.999717,All
18.2877,0.00679933,0.987466,43.461,2.22045e-16,1,298.888,3.37963e-06,0.999734,All
18.5301,0.00598533,0.989013,43.4613,2.22045e-16,1,303.865,3.13488e-06,0.999751,All
18.7724,0.00526435,0.990375,43.4616,2.22045e-16,1,308.841,2.9106e-06,0.999766,All
19.0148,0.00462657,0.991572,43.4619,2.22045e-16,1,313.818,2.70484e-06,0.99978,All
19.2571,0.00406307,0.992623,43.4622,2.22045e-16,1,318.795,2.51587e-06,0.999793,All
19.4995,0.00356574,0.993546,43.4625,2.22045e-16,1,323.771,2.34214e-06,0.999805,All
19.7418,0.00312727,0.994356,43.4628,2.22045e-16,1,328.748,2.18225e-06,0.999816,All
19.9842,0.00274107,0.995066,43.4631,2.22045e-16,1,333.725,2.03495e-06,0.999826,All
20.2265,0.00240122,0.995689,43.4634,2.22045e-16,1,338.702,1.89912e-06,0.999836,All
20.4689,0.00210241,0.996234,43.4637,2.22045e-16,1,343.678,1.77375e-06,0.999845,All
20.7112,0.0018399,0.996711,43.464,2.22045e-16,1,348.655,1.65791e-06,0.999854,All
20.9536,0.00160944,0.997128,43.4643,2.22045e-16,1,353.632,1.5508e-06,0.999862,All
21.196,0.00140726,0.997493,43.4646,2.22045e-16,1,358.608,1.45167e-06,0.999869,All
21.4383,0.00123,0.997812,43.4649,2.22045e-16,1,363.585,1.35983e-06,0.999876,All
21.6807,0.0010747,0.998091,43.4652,2.22045e-16,1,368.562,1.27469e-06,0.999883,All
21.923,0.000938691,0.998335,43.4655,2.22045e-16,1,373.539,1.1957e-06,0.999889,All
22.1654,0.000819654,0.998547,43.4658,2.22045e-16,1,378.515,1.12234e-06,0.999895,All
22.4077,0.000715516,0.998733,43.4661,2.22045e-16,1,383.492,1.05416e-06,0.9999,All
22.6501,0.000624454,0.998895,43.4664,2.22045e-16,1,388.469,9.90751e-07,0.999905,All
22.8924,0.000544859,0.999037,43.4667,2.22045e-16,1,393.445,9.31734e-07,0.99991,All
23.1348,0.000475313,0.99916,43.467,2.22045e-16,1,398.422,8.76762e-07,0.999915,All
23.3771,0.000414569,0.999268,43.4673,2.22045e-16,1,403.399,8.25524e-07,0.999919,All
23.6195,0.000361529,0.999362,43.4676,2.22045e-16,1,408.375,7.7773e-07,0.999923,All
23.8618,0.00031523,0.999444,43.4679,2.22045e-16,1,413.352,7.3312e-07,0.999927,All
24.1042,0.000274827,0.999515,43.4682,2.22045e-16,1,418.329,6.91453e-07,0.99993,All
24.3465,0.000239577,0.999577,43.4685,2.22045e-16,1,423.306,6.5251e-07,0.999933,All
24.5889,0.000208829,0.999631,43.4688,2.22045e-16,1,428.282,6.16089e-07,0.999937,All
24.8312,0.000182014,0.999679,43.4691,2.22045e-16,1,433.259,5.82005e-07,0.99994,All
25.0736,0.000158633,0.99972,43.4694,2.22045e-16,1,438.236,5.50088e-07,0.999942,All
25.316,0.00013825,0.999756,43.4697,2.22045e-16,1,443.212,5.20184e-07,0.999945,All
25.5583,0.000120482,0.999787,43.47,2.22045e-16,1,448.189,4.92147e-07,0.999948,All
25.8007,0.000104995,0.999814,43.4703,2.22045e-16,1,453.166,4.65847e-07,0.99995,All
26.043,9.14992e-05,0.999838,43.4706,2.22045e-16,1,458.142,4.41162e-07,0.999952,All
26.2854,7.97385e-05,0.999859,43.4709,2.22045e-16,1,463.119,4.17979e-07,0.999954,All
26.5277,6.94907e-05,0.999877,43.4712,2.22045e-16,1,468.096,3.96195e-07,0.999956,All
26.7701,6.05618e-05,0.999893,43.4715,2.22045e-16,1,473.073,3.75715e-07,0.999958,All
27.0124,5.27823e-05,0.999906,43.4718,2.22045e-16,1,478.049,3.56451e-07,0.99996,All
27.2548,4.60044e-05,0.999918,43.4721,2.22045e-16,1,483.026,3.38321e-07,0.999962,All
27.4971,4.00992e-05,0.999929,43.4724,2.22045e-16,1,488.003,3.21249e-07,0.999963,All
27.7395,3.49545e-05,0.999938,43.4727,2.22045e-16,1,492.979,3.05166e-07,0.999965,All
