Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,split
3.74654,0,43.443,0,0.285767,0.000142857,All
4.11087,0.000142857,43.4578,0.000142857,0.33434,0.000285714,All
4.22673,0.000285714,43.4578,0.000285714,0.342648,0.000428571,All
4.28497,0.000428571,43.4578,0.000428571,0.35773,0.000571429,All
4.33106,0.000571429,43.4578,0.000571429,0.376744,0.000714286,All
4.34418,0.000714286,43.4578,0.000714286,0.385389,0.000857143,All
4.37707,0.000857143,43.4578,0.000857143,0.390099,0.001,All
4.43622,0.001,43.4578,0.001,0.395823,0.00114286,All
4.46515,0.00114286,43.4578,0.00114286,0.436289,0.00128571,All
4.48147,0.00128571,43.4578,0.00128571,0.437165,0.00142857,All
4.50284,0.00142857,43.4578,0.00142857,0.445014,0.00157143,All
4.50305,0.00157143,43.4578,0.00157143,0.445393,0.00171429,All
4.51105,0.00171429,43.4578,0.00171429,0.446356,0.00185714,All
4.51394,0.00185714,43.4578,0.00185714,0.454671,0.002,All
4.51589,0.002,43.4578,0.002,0.483404,0.00214286,All
4.52638,0.00214286,43.4578,0.00214286,0.530088,0.00228571,All
4.53148,0.00228571,43.4578,0.00228571,0.533426,0.00242857,All
4.53946,0.00242857,43.4578,0.00242857,0.533426,0.00257143,All
4.54625,0.00257143,43.4578,0.00257143,0.535118,0.00271429,All
4.54716,0.00271429,43.4578,0.00271429,0.537834,0.00285714,All
4.55094,0.00285714,43.4578,0.00285714,0.552054,0.003,All
4.56281,0.003,43.4578,0.003,0.570435,0.00314286,All
4.56938,0.00314286,43.4578,0.00314286,0.572385,0.00328571,All
4.56988,0.00328571,43.4578,0.00328571,0.585168,0.00342857,All
4.57233,0.00342857,43.4578,0.00342857,0.587206,0.00357143,All
4.57549,0.00357143,43.4578,0.00357143,0.592242,0.00371429,All
4.57875,0.00371429,43.4578,0.00371429,0.596344,0.00385714,All
4.5826,0.00385714,43.4578,0.00385714,0.611708,0.004,All
4.58412,0.004,43.4578,0.004,0.625977,0.00414286,All
4.58424,0.00414286,43.4578,0.00414286,0.626135,0.00428571,All
4.59344,0.00428571,43.4578,0.00428571,0.642398,0.00442857,All
4.60155,0.00442857,43.4578,0.00442857,0.642714,0.00457143,All
4.60471,0.00457143,43.4578,0.00457143,0.642714,0.00471429,All
4.60554,0.00471429,43.4578,0.00471429,0.643362,0.00485714,All
4.60767,0.00485714,43.4578,0.00485714,0.645653,0.005,All
4.60884,0.005,43.4578,0.005,0.647092,0.00514286,All
4.61071,0.00514286,43.4578,0.00514286,0.647092,0.00528571,All
4.61733,0.00528571,43.4578,0.00528571,0.647776,0.00542857,All
4.62708,0.00542857,43.4578,0.00542857,0.650256,0.00557143,All
4.63134,0.00557143,43.4578,0.00557143,0.655785,0.00571429,All
4.63183,0.00571429,43.4578,0.00571429,0.655785,0.00585714,All
4.63756,0.00585714,43.4578,0.00585714,0.658157,0.006,All
4.63831,0.006,43.4578,0.006,0.662089,0.00614286,All
4.63853,0.00614286,43.4578,0.00614286,0.665618,0.00628571,All
4.6386,0.00628571,43.4578,0.00628571,0.674277,0.00642857,All
4.6404,0.00642857,43.4578,0.00642857,0.677928,0.00657143,All
4.64543,0.00657143,43.4578,0.00657143,0.67829,0.00671429,All
4.64779,0.00671429,43.4578,0.00671429,0.678752,0.00685714,All
4.64921,0.00685714,43.4578,0.00685714,0.682419,0.007,All
4.64947,0.007,43.4578,0.007,0.684014,0.00714286,All
4.65079,0.00714286,43.4578,0.00714286,0.684468,0.00728571,All
4.65964,0.00728571,43.4578,0.00728571,0.698901,0.00742857,All
4.65964,0.00742857,43.4578,0.00742857,0.699712,0.00757143,All
4.66781,0.00757143,43.4578,0.00757143,0.700319,0.00771429,All
4.67175,0.00771429,43.4578,0.00771429,0.700319,0.00785714,All
