Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,split
4.17459,0.00226868,43.4578,2477.11,3.21847,0.0454963,All
4.30203,0.00340301,43.4578,1238.55,9.08387,0.0446583,All
4.42947,0.00453735,43.4578,0,14.9493,0.0374124,All
4.55691,0.0317615,43.4578,0,20.8147,0.0188048,All
4.68434,0.0555826,43.4578,1238.55,26.6801,0.0089218,All
4.81178,0.0850754,43.4578,0,32.5455,0.00416515,All
4.93922,0.123643,43.4578,0,38.4109,0.00283427,All
5.06666,0.100956,43.4578,2477.11,44.2763,0.00157733,All
5.1941,0.083941,43.4578,2477.11,50.1417,0.00162663,All
5.32153,0.0453735,43.4578,2477.11,56.0071,0.00125694,All
5.44897,0.0283585,43.4578,4954.21,61.8725,0.00113371,All
5.57641,0.00226868,43.4578,4954.21,67.7379,0.00101048,All
5.70385,0,43.4578,4954.21,73.6033,0.000591501,All
5.83129,0,43.4578,3715.66,79.4687,0.00071473,All
5.95872,0,43.4578,8669.87,85.3341,0.000443625,All
6.08616,0,43.4578,3715.66,91.1995,0.000443625,All
6.2136,0.00113434,43.4578,9908.43,97.0649,0.000271104,All
6.34104,0.0124777,43.4578,14862.6,102.93,0.000320396,All
6.46848,0.0272241,43.4578,21055.4,108.796,0.000123229,All
6.59591,0.0533139,43.4578,29725.3,114.661,4.92917e-05,All
6.72335,0.10209,43.4578,28486.7,120.526,0.000172521,All
6.85079,0.080538,43.4578,38395.2,126.392,7.39376e-05,All
6.97823,0.0794037,43.4578,42110.8,132.257,9.85834e-05,All
7.10567,0.0975531,43.4578,43349.4,138.123,2.46459e-05,All
7.2331,0.0657916,43.4578,73074.7,143.988,7.39376e-05,All
7.36054,0.0306271,43.4578,70597.5,149.853,2.46459e-05,All
7.48798,0.010209,43.4578,69359,155.719,2.46459e-05,All
7.61542,0.00567169,43.4578,87937.3,161.584,7.39376e-05,All
7.74286,0.00113434,43.4578,117663,167.45,0,All
7.87029,0,43.4578,117663,173.315,0,All
7.99773,0.00113434,43.4578,131287,179.18,2.46459e-05,All
8.12517,0,43.4578,128810,185.046,0,All
8.25261,0.00340301,43.4578,162251,190.911,2.46459e-05,All
8.38005,0.0124777,43.4578,220463,196.777,0,All
8.50748,0.0158807,43.4578,208077,202.642,0,All
8.63492,0.0340301,43.4578,199407,208.507,0,All
8.76236,0.0431049,43.4578,248949,214.373,2.46459e-05,All
8.8898,0.073732,43.4578,219224,220.238,0,All
9.01724,0.0794037,43.4578,284867,226.104,0,All
9.14467,0.0986874,43.4578,267528,231.969,0,All
9.27211,0.132718,43.4578,251426,237.834,0,All
9.39955,0.106628,43.4578,300968,243.7,0,All
9.52699,0.127046,43.4578,282390,249.565,0,All
9.65443,0.156539,43.4578,298491,255.431,0,All
9.78186,0.207584,43.4578,268766,261.296,0,All
9.9093,0.264301,43.4578,335648,267.161,0,All
10.0367,0.232539,43.4578,328217,273.027,0,All
10.1642,0.277913,43.4578,333171,278.892,0,All
10.2916,0.273376,43.4578,279913,284.758,0,All
10.4191,0.251823,43.4578,267528,290.623,0,All
10.5465,0.273376,43.4578,268766,296.488,0,All
10.6739,0.22233,43.4578,245234,302.354,0,All
10.8014,0.165613,43.4578,246472,308.219,0,All
10.9288,0.165613,43.4578,241518,314.085,0,All
11.0562,0.106628,43.4578,220463,319.95,0,All
11.1837,0.139524,43.4578,194453,325.815,0,All
11.3111,0.158807,43.4578,198169,331.681,0,All
11.4386,0.170151,43.4578,163489,337.546,0,All
11.566,0.183763,43.4578,142434,343.412,0,All
11.6934,0.172419,43.4578,126332,349.277,0,All
11.8209,0.174688,43.4578,112708,355.142,0,All
11.9483,0.174688,43.4578,105277,361.008,0,All
12.0757,0.207584,43.4578,74313.2,366.873,0,All
12.2032,0.195106,43.4578,85460.2,372.739,0,All
12.3306,0.16221,43.4578,74313.2,378.604,0,All
12.4581,0.18036,43.4578,76790.3,384.47,0,All
12.5855,0.158807,43.4578,56973.5,390.335,0,All
12.7129,0.213256,43.4578,56973.5,396.2,0,All
12.8404,0.16221,43.4578,28486.7,402.066,0,All
12.9678,0.172419,43.4578,27248.2,407.931,0,All
13.0953,0.181494,43.4578,21055.4,413.797,0,All
13.2227,0.125912,43.4578,21055.4,419.662,0,All
13.3501,0.112299,43.4578,8669.87,425.527,0,All
13.4776,0.121374,43.4578,11147,431.393,0,All
13.605,0.0873441,43.4578,7431.32,437.258,0,All
13.7324,0.083941,43.4578,12385.5,443.124,0,All
13.8599,0.0567169,43.4578,1238.55,448.989,0,All
13.9873,0.0351645,43.4578,0,454.854,0,All
14.1148,0.0238211,43.4578,6192.77,460.72,0,All
14.2422,0.0147464,43.4578,2477.11,466.585,0,All
14.3696,0.00907471,43.4578,4954.21,472.451,0,All
14.4971,0.00113434,43.4578,1238.55,478.316,0,All
14.6245,0,43.4578,0,484.181,0,All
14.7519,0.00113434,43.4578,1238.55,490.047,2.46459e-05,All
