fi_abscissa,fi_pdf,Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
0.487612,0.687921,5.15297,0.0885588,41.1437,0.0482344,8.75286,0.0421792,33.7036,0.00405699,All
0.588849,0.0764357,5.93938,0.0196797,41.7855,0.0964688,25.6309,0.0151295,37.5183,0.0101425,All
0.690086,0.458614,6.72578,0.0491993,42.4272,0.156762,42.509,0.00366776,41.333,0.0243419,All
0.791323,1.83446,7.51218,0.0393595,43.0689,0.156762,59.3871,0.00137541,45.1477,0.0527409,All
0.892559,2.36951,8.29858,0,43.7106,0.229113,76.2652,0.00137541,48.9624,0.0507124,All
0.993796,0.993664,9.08498,0.0983987,44.3523,0.241172,93.1433,0,52.7771,0.0466554,All
1.09503,1.45228,9.87139,0.196797,44.994,0.265289,110.021,0,56.5917,0.0405699,All
1.19627,1.37584,10.6578,0.265676,45.6357,0.217055,126.899,0,60.4064,0.020285,All
1.29751,0.840792,11.4442,0.167278,46.2774,0.120586,143.778,0,64.2211,0.020285,All
1.39874,0.458614,12.2306,0.186957,46.9191,0.0964688,160.656,0,68.0358,0.0101425,All
1.49998,0,13.017,0.177118,47.5608,0.0361758,177.534,0,71.8505,0.0020285,All
1.60122,0.152871,13.8034,0.0885588,48.2025,0.0241172,194.412,0.00045847,75.6652,0.0020285,All
