popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
7.63803,7.87741,7.63803,6.85224,8.42382,4.25827,4.31443,4.25827,3.82018,4.69635,All
7.88464,8.04568,7.88464,7.07348,8.6958,4.48596,4.52879,4.48596,4.02445,4.94747,All
8.13921,8.28744,8.13921,7.30186,8.97656,4.72583,4.75655,4.72583,4.23965,5.21202,All
8.2335,8.38251,8.2335,7.38645,9.08055,4.97853,5.00021,4.97853,4.46635,5.49071,All
8.402,8.56063,8.402,7.53762,9.26639,5.24474,5.25988,5.24474,4.70517,5.78431,All
8.67328,8.87341,8.67328,7.78098,9.56557,5.32495,5.33865,5.32495,4.77713,5.87278,All
8.82896,9.05308,8.82896,7.92065,9.73727,5.52518,5.53615,5.52518,4.95676,6.0936,All
8.95331,9.19619,8.95331,8.03221,9.87441,5.82062,5.83082,5.82062,5.2218,6.41943,All
9.24239,9.52419,9.24239,8.29154,10.1932,6.13185,6.14326,6.13185,5.50102,6.76269,All
9.42443,9.7286,9.42443,8.45486,10.394,6.39164,6.40617,6.39164,5.73407,7.0492,All
9.54079,9.85563,9.54079,8.55925,10.5223,6.45973,6.47532,6.45973,5.79516,7.1243,All
9.84884,10.1919,9.84884,8.8356,10.8621,6.80514,6.82606,6.80514,6.10504,7.50524,All
10.0199,10.3787,10.0199,8.98907,11.0507,7.16902,7.19627,7.16902,6.43148,7.90655,All
10.1668,10.5391,10.1668,9.12088,11.2128,7.45832,7.49089,7.45832,6.69102,8.22562,All
10.4951,10.8919,10.4951,9.41536,11.5748,7.55235,7.58656,7.55235,6.77538,8.32933,All
10.6154,11.0193,10.6154,9.52327,11.7075,7.95619,7.99621,7.95619,7.13766,8.77471,All
10.8339,11.2493,10.8339,9.71936,11.9485,8.38161,8.42425,8.38161,7.51932,9.2439,All
11.1837,11.6148,11.1837,10.0332,12.3343,8.525,8.56833,8.525,7.64796,9.40204,All
11.2108,11.6428,11.2108,10.0575,12.3642,8.82979,8.87298,8.82979,7.92139,9.73818,All
11.5448,11.9881,11.5448,10.3571,12.7325,9.30193,9.3421,9.30193,8.34496,10.2589,All
11.8063,12.2583,11.8063,10.5917,13.0209,9.59169,9.629,9.59169,8.60491,10.5785,All
11.9176,12.3733,11.9176,10.6915,13.1436,9.79931,9.83443,9.79931,8.79117,10.8074,All
12.3023,12.7643,12.3023,11.0367,13.568,10.3233,10.3511,10.3233,9.26125,11.3853,All
12.4018,12.8645,12.4018,11.1259,13.6776,10.6584,10.6811,10.6584,9.56185,11.7549,All
12.6996,13.1648,12.6996,11.393,14.0061,10.8753,10.8947,10.8753,9.75646,11.9941,All
12.9972,13.4649,12.9972,11.6601,14.3344,11.4568,11.468,11.4568,10.2781,12.6355,All
13.1096,13.5781,13.1096,11.7609,14.4583,11.7251,11.7332,11.7251,10.5188,12.9313,All
13.5329,14.0045,13.5329,12.1406,14.9251,12.0694,12.0743,12.0694,10.8277,13.3111,All
13.5927,14.0637,13.5927,12.1943,14.9911,12.7148,12.7168,12.7148,11.4067,14.0229,All
13.9698,14.4365,13.9698,12.5326,15.407,12.7917,12.7936,12.7917,11.4757,14.1077,All
14.1882,14.6524,14.1882,12.7285,15.6478,13.3947,13.3973,13.3947,12.0166,14.7727,All
14.4208,14.8823,14.4208,12.9372,15.9044,13.8584,13.8639,13.8584,12.4327,15.2842,All
14.7836,15.2349,14.7836,13.2627,16.3045,14.1109,14.1183,14.1109,12.6592,15.5626,All
14.8864,15.3348,14.8864,13.3549,16.4179,14.8654,14.8793,14.8654,13.3361,16.3947,All
15.3671,15.8019,15.3671,13.7861,16.948,14.9251,14.9396,14.9251,13.3896,16.4606,All
15.3791,15.8136,15.3791,13.7969,16.9613,15.6603,15.6838,15.6603,14.0492,17.2714,All
15.8632,16.2841,15.8632,14.2312,17.4952,15.9918,16.0195,15.9918,14.3466,17.637,All
15.9746,16.3923,15.9746,14.3311,17.618,16.4976,16.532,16.4976,14.8004,18.1949,All
16.3754,16.7819,16.3754,14.6907,18.0601,17.0585,17.0999,17.0585,15.3035,18.8134,All
16.57,16.971,16.57,14.8653,18.2747,17.3798,17.4247,17.3798,15.5918,19.1678,All
16.9041,17.2938,16.9041,15.165,18.6432,18.1252,18.1783,18.1252,16.2605,19.9898,All
17.1655,17.5458,17.1655,15.3995,18.9315,18.3091,18.3642,18.3091,16.4255,20.1927,All
17.4499,17.82,17.4499,15.6547,19.2451,19.1918,19.2525,19.1918,17.2174,21.1663,All
17.761,18.1199,17.761,15.9337,19.5882,19.2881,19.3491,19.2881,17.3038,21.2725,All
18.0133,18.3632,18.0133,16.1601,19.8665,20.2585,20.3186,20.2585,18.1744,22.3427,All
18.3564,18.694,18.3564,16.4679,20.2449,20.3195,20.3794,20.3195,18.229,22.4099,All
18.5949,18.924,18.5949,16.6819,20.5079,21.3252,21.3803,21.3252,19.1313,23.5191,All
18.9519,19.2682,18.9519,17.0022,20.9016,21.406,21.4605,21.406,19.2038,23.6082,All
19.1953,19.5028,19.1953,17.2205,21.1701,22.3919,22.4362,22.3919,20.0882,24.6955,All
19.5474,19.8423,19.5474,17.5364,21.5584,22.5506,22.5927,22.5506,20.2306,24.8706,All
19.815,20.1005,19.815,17.7765,21.8536,23.4586,23.4878,23.4586,21.0452,25.872,All
