iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,a,b
1,888.67,1,5.13,0,20.91,5.39,26.12,1.5,1.5,1,0,1,0.3
2,881.642,1,4.22752,0.910757,25.8186,6.95919,98.2765,1.46202,1.46202,0.974927,0,0.95,0.285
3,863.758,1,4.75597,1.00275,41.6921,6.73846,161.542,1.425,1.425,0.962404,0,0.9025,0.27075
4,850.843,1,4.28793,0.672157,38.0287,7.63251,171.638,1.38892,1.38892,0.938035,0,0.857375,0.257212
5,840.252,1,3.05234,1.16719,35.9186,7.28195,260.676,1.35375,1.35375,0.923108,0,0.814506,0.244352
6,828.668,1,3.04575,0.759448,41.9021,7.83974,293.26,1.31947,1.31947,0.899734,0,0.773781,0.232134
7,829.285,1,2.2987,0.361765,38.709,8.58597,311.589,1.28606,1.28606,0.901517,0,0.735092,0.220528
8,814.304,1,1.95607,1.23779,35.0042,9.13037,355.406,1.2535,1.2535,0.87869,0,0.698337,0.209501
9,807.532,1,1.68349,1.79712,36.4786,8.3821,388.17,1.22176,1.22176,0.856441,0,0.66342,0.199026
10,799.62,1,1.55784,1.03207,42.5311,8.52858,436.692,1.19082,1.19082,0.834755,0,0.630249,0.189075
11,777.234,1,1.31037,2.24678,33.5005,8.1957,466.032,1.16067,1.16067,0.813619,0,0.598737,0.179621
12,768.497,1,1.27336,1.33648,34.7797,9.53437,489.333,1.13128,1.13128,0.793018,0,0.5688,0.17064
13,760.664,1,1.08639,1.93473,31.2217,10.2286,510.742,1.10264,1.10264,0.772938,0,0.54036,0.162108
14,741.986,1,0.982093,1.70459,28.0946,10.2772,534.284,1.07472,1.07472,0.753367,0,0.513342,0.154003
15,731.866,1,0.817447,1.17137,27.8626,10.2841,586.877,1.04751,1.04751,0.734291,0,0.487675,0.146302
16,731.045,1,0.870154,0.281537,26.1977,9.46185,588.253,1.02098,1.02098,0.734727,0,0.463291,0.138987
17,720.166,1,0.727835,0.776069,26.5294,9.21736,584.576,0.995131,0.995131,0.716124,0,0.440127,0.132038
18,695.838,1,0.769136,1.06757,24.7041,10.0521,581.836,0.969933,0.969933,0.697991,0,0.41812,0.125436
19,684.625,1,0.730427,1.84433,24.9686,8.8779,612.746,0.945374,0.945374,0.680317,0,0.397214,0.119164
20,674.368,1,0.693815,2.1538,25.3261,9.03354,586.896,0.921437,0.921437,0.663091,0,0.377354,0.113206
21,660.989,1,0.645798,2.16732,25.4141,8.8809,624.952,0.898105,0.898105,0.646301,0,0.358486,0.107546
22,653.551,1,0.805434,1.76345,24.3795,8.3155,624.464,0.875365,0.875365,0.629937,0,0.340562,0.102168
23,650.142,1,0.812222,1.74822,25.4694,7.77291,643.491,0.8532,0.8532,0.613986,0,0.323534,0.0970601
24,646.364,1,0.902847,1.77226,27.7787,7.69899,621.371,0.831597,0.831597,0.59844,0,0.307357,0.0922071
25,632.196,1,0.762224,1.88666,28.3468,8.08808,643.458,0.81054,0.81054,0.583287,0,0.291989,0.0875967
26,613.884,1,0.808867,2.02638,26.6565,7.70848,627.372,0.790017,0.790017,0.568518,0,0.27739,0.0832169
27,599.562,1,0.844143,2.53198,26.4132,7.13614,669.524,0.770013,0.770013,0.554123,0,0.26352,0.079056
28,580.628,1,0.797778,2.38475,25.6621,7.26664,695.677,0.750516,0.750516,0.540092,0,0.250344,0.0751032
29,569.086,1,0.807225,1.99443,23.9993,6.91361,722.308,0.731512,0.731512,0.526417,0,0.237827,0.0713481
30,561.28,1,0.845071,2.32671,24.3726,6.12265,742.623,0.71299,0.71299,0.513087,0,0.225936,0.0677807
31,555.661,1,0.848161,2.61931,24.9707,6.20274,746.104,0.694937,0.694937,0.500096,0,0.214639,0.0643916
32,546.146,1,0.915775,2.40626,25.8286,6.06258,771.46,0.677341,0.677341,0.487433,0,0.203907,0.061172
33,529.964,1,0.889659,2.03194,25.2686,6.13252,773.871,0.66019,0.66019,0.475091,0,0.193711,0.0581134
34,520.141,1,1.02368,1.51362,25.5735,5.99573,759.361,0.643474,0.643474,0.463061,0,0.184026,0.0552078
