iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,1482.14,1,5.16,21.01,5.51,25.66,1,1,1,1,0.998761,1,1
2,1466.16,1,5.03284,27.6947,7.77361,34.0368,0.974679,0.974679,1.07779,0.974679,0.998761,0.974679,0.974679
3,1450.29,1,4.94434,27.0104,7.50999,33.3277,0.95,0.95,1.0505,0.95,0.998761,0.95,0.95
4,1447.03,1,4.71524,27.4762,9.30068,34.048,0.925945,0.925945,1.0239,0.925945,0.998761,0.925945,0.925945
5,1431.96,1,4.405,29.7483,7.31752,36.8409,0.9025,0.9025,0.997972,0.9025,0.998761,0.9025,0.9025
6,1422.01,1,4.67623,31.4234,7.77327,39.024,0.879648,0.879648,1.02121,0.879648,0.998761,0.879648,0.879648
7,1405.79,1,5.05245,30.2249,8.64038,37.3795,0.857375,0.857375,0.995348,0.857375,0.998761,0.857375,0.857375
8,1387.16,1,4.98242,28.3595,9.30004,34.7686,0.835666,0.835666,0.970145,0.835666,0.998761,0.835666,0.835666
9,1389.47,1,5.07209,30.5351,8.7715,37.4196,0.814506,0.814506,0.983323,0.814506,0.998761,0.814506,0.814506
10,1366.24,1,4.9438,27.5832,8.57584,33.7934,0.793882,0.793882,0.958424,0.793882,0.998761,0.793882,0.793882
11,1356.23,1,5.17509,25.8344,8.88927,31.4802,0.773781,0.773781,0.942231,0.773781,0.998761,0.773781,0.773781
12,1341.77,1,5.05873,24.704,7.64792,30.0426,0.754188,0.754188,0.925175,0.754188,0.998761,0.754188,0.754188
13,1337.78,1,4.95961,26.9245,9.15288,32.6425,0.735092,0.735092,0.947143,0.735092,0.998761,0.735092,0.735092
14,1332.12,1,4.9338,26.3625,7.69434,31.9624,0.716479,0.716479,0.991463,0.716479,0.998761,0.716479,0.716479
15,1311.62,1,4.90635,25.3525,8.58324,30.6865,0.698337,0.698337,0.979373,0.698337,0.998761,0.698337,0.698337
16,1311.93,1,4.95824,22.7272,10.1136,27.5232,0.680655,0.680655,0.954575,0.680655,0.998761,0.680655,0.680655
17,1289.23,1,5.18214,22.7439,9.43453,27.5866,0.66342,0.66342,0.955067,0.66342,0.998761,0.66342,0.66342
