time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
1,-0.328238,1,-0.452903,1,-0.32916,8.11064,-0.00379926,4.02634,-0.580466,8.11064,-0.0226838,All
1.05006,-0.318616,1.05006,-0.437041,1.05006,-0.320208,8.36175,-0.0950534,4.24579,-0.436735,8.36175,-0.0955991,All
1.10263,-0.308513,1.10263,-0.420385,1.10263,-0.310808,8.62064,-0.119686,4.47719,-0.285169,8.62064,-0.1166,All
1.15782,-0.297903,1.15782,-0.402896,1.15782,-0.300938,8.69349,-0.123584,4.7212,-0.137948,8.69349,-0.12014,All
1.21,-0.287875,1.21,-0.386363,1.21,-0.291607,8.88754,-0.120113,4.97851,-0.02225,8.88754,-0.118698,All
1.21578,-0.286763,1.21578,-0.384531,1.21578,-0.290573,9.16271,-0.0971766,5.08949,0.0172766,9.16271,-0.102336,All
1.27664,-0.275065,1.27664,-0.365246,1.27664,-0.27969,9.27635,-0.0891134,5.24985,0.0678978,9.27635,-0.0965447,All
1.34055,-0.262781,1.34055,-0.344996,1.34055,-0.268262,9.4464,-0.0771444,5.53597,0.149052,9.4464,-0.087949,All
1.40766,-0.249883,1.40766,-0.323732,1.40766,-0.256262,9.73887,-0.0652215,5.83769,0.199535,9.73887,-0.0795149,All
1.42,-0.247511,1.42,-0.319822,1.42,-0.254055,9.85921,-0.0634139,6.15263,0.238028,9.85921,-0.0783175,All
1.47813,-0.236339,1.47813,-0.301404,1.47813,-0.243661,10.0404,-0.0630584,6.15586,0.23828,10.0404,-0.0782506,All
1.55212,-0.222116,1.55212,-0.277959,1.55212,-0.230429,10.3513,-0.0624484,6.49136,0.249608,10.3513,-0.0781358,All
1.62982,-0.221999,1.62982,-0.27798,1.62982,-0.229598,10.4421,-0.0622702,6.84515,0.248882,10.4421,-0.0781023,All
1.63,-0.222022,1.63,-0.278018,1.63,-0.229617,10.6717,-0.0630963,7.21578,0.230266,10.6717,-0.078956,All
1.71141,-0.232322,1.71141,-0.295374,1.71141,-0.237936,11.0021,-0.0705263,7.21822,0.230107,11.0021,-0.0847769,All
1.79708,-0.243162,1.79708,-0.31364,1.79708,-0.246691,11.0249,-0.0711067,7.61162,0.200253,11.0249,-0.0852288,All
1.84,-0.248593,1.84,-0.322791,1.84,-0.251077,11.3428,-0.0791729,8.02647,0.16676,11.3428,-0.0915124,All
1.88704,-0.254545,1.88704,-0.33282,1.88704,-0.255885,11.6078,-0.0852276,8.27892,0.15044,11.6078,-0.0962909,All
1.98151,-0.266497,1.98151,-0.35296,1.98151,-0.265538,11.694,-0.0871969,8.46392,0.140557,11.694,-0.0978451,All
2.05,-0.268142,2.05,-0.355535,2.05,-0.26677,12.056,-0.0954693,8.92522,0.117821,12.056,-0.104374,All
2.0807,-0.267715,2.0807,-0.354695,2.0807,-0.266365,12.1906,-0.0985449,9.34206,0.106799,12.1906,-0.106801,All
2.18486,-0.266266,2.18486,-0.351846,2.18486,-0.264994,12.4293,-0.103048,9.41166,0.105775,12.4293,-0.110452,All
2.26,-0.265221,2.26,-0.34979,2.26,-0.264005,12.7735,-0.108808,9.92461,0.100321,12.7735,-0.115212,All
2.29423,-0.264745,2.29423,-0.348853,2.29423,-0.263554,12.8141,-0.109488,10.4052,0.0997712,12.8141,-0.115774,All
2.40908,-0.263148,2.40908,-0.345711,2.40908,-0.262042,13.2108,-0.116127,10.4655,0.0998049,13.2108,-0.121261,All
2.47,-0.262301,2.47,-0.344045,2.47,-0.261239,13.3563,-0.118562,11.0359,0.101854,13.3563,-0.123273,All
2.52968,-0.261471,2.52968,-0.342412,2.52968,-0.260454,13.6199,-0.122972,11.4684,0.102832,13.6199,-0.126917,All
2.65631,-0.25971,2.65631,-0.338947,2.65631,-0.258786,13.9392,-0.127197,11.6374,0.102551,13.9392,-0.130604,All
2.68,-0.25938,2.68,-0.338299,2.68,-0.258474,14.0416,-0.128472,12.2716,0.0972489,14.0416,-0.131734,All
2.78929,-0.257861,2.78929,-0.33531,2.78929,-0.257035,14.4763,-0.133887,12.5315,0.0927223,14.4763,-0.136535,All
2.89,-0.25646,2.89,-0.332554,2.89,-0.255709,14.5221,-0.134457,12.9404,0.0827752,14.5221,-0.13704,All
2.92892,-0.255919,2.92892,-0.33149,2.92892,-0.255196,14.9245,-0.138443,13.5946,0.0612114,14.9245,-0.140966,All
3.07554,-0.25388,3.07554,-0.327478,3.07554,-0.253266,15.1049,-0.140203,13.6457,0.0592063,15.1049,-0.142712,All
3.1,-0.253539,3.1,-0.326809,3.1,-0.252944,15.3866,-0.14295,14.3894,0.0271202,15.3866,-0.145437,All
3.2295,-0.251738,3.2295,-0.323266,3.2295,-0.251239,15.6878,-0.145887,14.6578,0.0137993,15.6878,-0.148352,All
3.31,-0.250619,3.31,-0.321064,3.31,-0.250179,15.863,-0.147595,15.1737,-0.0134077,15.863,-0.150047,All
3.39116,-0.24949,3.39116,-0.318843,3.39116,-0.24911,16.2706,-0.151571,15.7209,-0.0438409,16.2706,-0.153992,All
3.52,-0.247698,3.52,-0.315319,3.52,-0.247413,16.3541,-0.152385,16.0007,-0.0600897,16.3541,-0.1548,All
3.56093,-0.247129,3.56093,-0.314199,3.56093,-0.246874,16.8535,-0.157221,16.7841,-0.106259,16.8535,-0.159683,All
3.73,-0.234268,3.73,-0.292443,3.73,-0.235632,16.8604,-0.157287,16.8727,-0.111472,16.8604,-0.159753,All
3.73918,-0.233482,3.73918,-0.291119,3.73918,-0.234946,17.3824,-0.162984,17.7923,-0.164015,17.3824,-0.165784,All
3.92637,-0.217465,3.92637,-0.264136,3.92637,-0.220974,17.4363,-0.16367,17.8472,-0.167038,17.4363,-0.166506,All
3.94,-0.216298,3.94,-0.262171,3.94,-0.219957,17.9206,-0.169837,18.762,-0.215199,17.9206,-0.172993,All
4.12292,-0.205876,4.12292,-0.245349,4.12292,-0.21038,18.0192,-0.171092,18.9104,-0.222447,18.0192,-0.174313,All
4.15,-0.204711,4.15,-0.243549,4.15,-0.209257,18.4755,-0.176902,19.7846,-0.258544,18.4755,-0.180424,All
4.32931,-0.196997,4.32931,-0.231628,4.32931,-0.20182,18.602,-0.178514,19.9735,-0.264994,18.602,-0.18212,All
4.36,-0.195676,4.36,-0.229587,4.36,-0.200547,19.0475,-0.184186,20.8629,-0.294113,19.0475,-0.188086,All
4.54603,-0.187673,4.54603,-0.217219,4.54603,-0.192831,19.1849,-0.185936,21.0367,-0.298989,19.1849,-0.189927,All
