Cl_pop,1,-0.0689,0.0583,-0.176,-0.0294,-0.0723,0.107,-0.168,0.0142,-0.0264,0.0959
V1_pop,-0.0689,1,-0.313,0.362,0.0406,0.253,-0.374,0.28,0.022,-0.0263,-0.0221
Q_pop,0.0583,-0.313,1,-0.197,-0.0194,-0.0268,0.211,0.0303,-0.0171,0.0185,-0.108
V2_pop,-0.176,0.362,-0.197,1,0.0941,0.275,-0.399,0.689,0.00253,0.0197,-0.278
omega_Cl,-0.0294,0.0406,-0.0194,0.0941,1,0.0286,-0.0291,0.061,-0.0496,0.0698,-0.1
omega_V1,-0.0723,0.253,-0.0268,0.275,0.0286,1,-0.363,0.447,-0.0383,0.0595,-0.274
omega_Q,0.107,-0.374,0.211,-0.399,-0.0291,-0.363,1,-0.537,0.00371,-0.0157,0.18
omega_V2,-0.168,0.28,0.0303,0.689,0.061,0.447,-0.537,1,-0.0111,0.0402,-0.465
a1,0.0142,0.022,-0.0171,0.00253,-0.0496,-0.0383,0.00371,-0.0111,1,-0.941,0.0983
b1,-0.0264,-0.0263,0.0185,0.0197,0.0698,0.0595,-0.0157,0.0402,-0.941,1,-0.163
b2,0.0959,-0.0221,-0.108,-0.278,-0.1,-0.274,0.18,-0.465,0.0983,-0.163,1
