rep,ID,standEta_V_simulated,standEta_Cl_simulated,filter
1,1,-0.0769511,0.69755,0
2,1,0.386055,-0.184561,0
3,1,0.430367,0.323735,0
4,1,0.745846,0.2781,0
5,1,-0.172826,0.0303898,0
6,1,0.523911,0.197958,0
7,1,0.0615653,0.529602,0
8,1,-0.0687752,0.0111225,0
9,1,-0.709435,0.200687,0
10,1,0.0648521,0.410031,0
1,2,0.672683,0.496678,0
2,2,0.15808,0.553345,0
3,2,0.784552,0.262609,0
4,2,1.71356,1.22867,0
5,2,0.375987,0.335968,0
6,2,0.964797,0.304818,0
7,2,0.235367,0.441328,0
8,2,0.696725,0.349255,0
9,2,0.180654,0.756885,0
10,2,0.60562,0.68443,0
1,3,0.350827,1.07296,0
2,3,0.353876,0.642738,0
3,3,0.151845,0.773661,0
4,3,0.518341,0.853586,0
5,3,0.195248,0.580228,0
6,3,0.731058,0.774407,0
7,3,0.822536,0.689621,0
8,3,-1.17415,-0.177756,0
9,3,0.213239,0.588965,0
10,3,0.256201,0.644682,0
1,4,1.38263,-0.906,0
2,4,-1.05629,-1.05938,0
3,4,-0.299268,-0.905583,0
4,4,-0.371847,-1.20807,0
5,4,-1.56192,-1.36344,0
6,4,-1.08688,-1.15667,0
7,4,0.895476,-0.499525,0
8,4,-1.33671,-0.884034,0
9,4,-1.59953,-1.58612,0
10,4,0.0156667,-0.475073,0
1,5,0.0775745,-0.0674483,0
2,5,-0.291955,0.144285,0
3,5,0.416994,0.141887,0
4,5,-0.356397,-0.082345,0
5,5,0.0166839,-0.0485815,0
6,5,0.0731763,-0.245619,0
7,5,0.153007,-0.10275,0
8,5,-0.359966,-0.371689,0
9,5,0.702442,-0.0358624,0
10,5,0.523588,-0.00247554,0
1,6,1.00187,0.287925,0
2,6,0.744778,0.329816,0
3,6,0.465045,0.19728,0
4,6,0.955391,0.300304,0
5,6,-0.0123987,0.544317,0
6,6,0.397214,0.261903,0
7,6,1.15204,0.504456,0
8,6,0.577335,0.348286,0
9,6,0.326969,0.193284,0
10,6,1.04824,0.597892,0
1,7,-2.70627,1.30857,0
2,7,-3.0767,0.852268,0
3,7,-2.37887,1.17134,0
4,7,-2.20023,1.30003,0
5,7,-2.64917,0.999515,0
6,7,-2.88236,1.08287,0
7,7,-2.62245,0.852186,0
8,7,-2.83667,0.913346,0
9,7,-2.31545,1.20572,0
10,7,-2.76448,1.09373,0
1,8,-0.0871834,1.55083,0
2,8,1.03378,2.2714,0
3,8,-0.506514,1.35121,0
4,8,0.333226,1.61017,0
5,8,0.327609,1.94794,0
6,8,-0.674503,1.39435,0
7,8,-0.751967,1.42206,0
8,8,-1.07766,1.18739,0
9,8,0.019887,1.97635,0
10,8,0.153651,1.5337,0
1,9,0.104125,-0.540858,0
2,9,0.931446,-0.733696,0
3,9,0.514252,-0.744148,0
4,9,0.287626,-0.209876,0
5,9,0.585319,-0.353223,0
6,9,0.888082,-0.60172,0
7,9,-0.145379,-0.492114,0
8,9,0.991576,-0.583337,0
9,9,1.01242,-0.19507,0
10,9,0.0536822,-0.814475,0
1,10,0.738764,-1.73158,0
2,10,-0.386121,-2.50896,0
3,10,0.0141838,-1.60968,0
4,10,1.48319,-1.87612,0
5,10,0.320358,-1.74533,0
6,10,0.279309,-1.41195,0
7,10,-0.392774,-2.20399,0
8,10,0.758556,-2.11258,0
9,10,0.800989,-1.83812,0
10,10,0.122019,-2.25422,0
1,11,-0.0888461,-0.138133,0
2,11,-0.582862,-0.533846,0
3,11,0.527163,-0.211502,0
4,11,0.10638,0.152076,0
5,11,0.993884,0.438879,0
6,11,-0.520656,-0.44057,0
7,11,-0.139166,0.146935,0
8,11,0.237003,-0.347429,0
9,11,-0.273667,-0.473231,0
10,11,-0.295116,-0.160186,0
1,12,-0.160009,-0.868446,0
2,12,-1.2206,-1.15592,0
3,12,-0.232348,-1.11165,0
4,12,-0.923187,-1.18508,0
5,12,-0.363399,-0.930674,0
6,12,0.127323,-1.09415,0
7,12,-0.226808,-1.00273,0
8,12,-0.570781,-0.926159,0
9,12,0.131859,-1.01591,0
10,12,0.515813,-0.826493,0
1,13,0.505658,-1.13288,0
2,13,-0.389249,-1.32601,0
3,13,0.241866,-1.28594,0
4,13,0.53937,-1.02827,0
5,13,0.427825,-0.627463,0
6,13,-0.11464,-1.03397,0
7,13,-0.222273,-0.856453,0
8,13,0.327424,-1.01546,0
9,13,-0.131794,-1.0193,0
10,13,-0.128594,-0.965922,0
1,14,0.311077,1.00341,0
2,14,-0.792313,0.594982,0
3,14,0.19769,1.39601,0
4,14,-0.437468,0.972583,0
5,14,0.129108,1.1259,0
6,14,-0.272511,1.13915,0
7,14,-0.651407,0.71108,0
8,14,-0.0908766,1.18252,0
9,14,-0.721679,1.01535,0
10,14,1.21192,1.3953,0
