standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-4,0,-4,0,All
-3.0767,0.00714286,-2.50896,0.00714286,All
-2.88236,0.0142857,-2.25422,0.0142857,All
-2.83667,0.0214286,-2.20399,0.0214286,All
-2.76448,0.0285714,-2.11258,0.0285714,All
-2.70627,0.0357143,-1.87612,0.0357143,All
-2.64917,0.0428571,-1.83812,0.0428571,All
-2.62245,0.05,-1.74533,0.05,All
-2.37887,0.0571429,-1.73158,0.0571429,All
-2.31545,0.0642857,-1.60968,0.0642857,All
-2.20023,0.0714286,-1.58612,0.0714286,All
-1.59953,0.0785714,-1.41195,0.0785714,All
-1.56192,0.0857143,-1.36344,0.0857143,All
-1.33671,0.0928571,-1.32601,0.0928571,All
-1.2206,0.1,-1.28594,0.1,All
-1.17415,0.107143,-1.20807,0.107143,All
-1.08688,0.114286,-1.18508,0.114286,All
-1.07766,0.121429,-1.15667,0.121429,All
-1.05629,0.128571,-1.15592,0.128571,All
-0.923187,0.135714,-1.13288,0.135714,All
-0.792313,0.142857,-1.11165,0.142857,All
-0.751967,0.15,-1.09415,0.15,All
-0.721679,0.157143,-1.05938,0.157143,All
-0.709435,0.164286,-1.03397,0.164286,All
-0.674503,0.171429,-1.02827,0.171429,All
-0.651407,0.178571,-1.0193,0.178571,All
-0.582862,0.185714,-1.01591,0.185714,All
-0.570781,0.192857,-1.01546,0.192857,All
-0.520656,0.2,-1.00273,0.2,All
-0.506514,0.207143,-0.965922,0.207143,All
-0.437468,0.214286,-0.930674,0.214286,All
-0.392774,0.221429,-0.926159,0.221429,All
-0.389249,0.228571,-0.906,0.228571,All
-0.386121,0.235714,-0.905583,0.235714,All
-0.371847,0.242857,-0.884034,0.242857,All
-0.363399,0.25,-0.868446,0.25,All
-0.359966,0.257143,-0.856453,0.257143,All
-0.356397,0.264286,-0.826493,0.264286,All
-0.299268,0.271429,-0.814475,0.271429,All
-0.295116,0.278571,-0.744148,0.278571,All
-0.291955,0.285714,-0.733696,0.285714,All
-0.273667,0.292857,-0.627463,0.292857,All
-0.272511,0.3,-0.60172,0.3,All
-0.232348,0.307143,-0.583337,0.307143,All
-0.226808,0.314286,-0.540858,0.314286,All
-0.222273,0.321429,-0.533846,0.321429,All
-0.172826,0.328571,-0.499525,0.328571,All
-0.160009,0.335714,-0.492114,0.335714,All
-0.145379,0.342857,-0.475073,0.342857,All
-0.139166,0.35,-0.473231,0.35,All
-0.131794,0.357143,-0.44057,0.357143,All
-0.128594,0.364286,-0.371689,0.364286,All
-0.11464,0.371429,-0.353223,0.371429,All
-0.0908766,0.378571,-0.347429,0.378571,All
-0.0888461,0.385714,-0.245619,0.385714,All
-0.0871834,0.392857,-0.211502,0.392857,All
-0.0769511,0.4,-0.209876,0.4,All
-0.0687752,0.407143,-0.19507,0.407143,All
