standEta_V_abscissa,standEta_V_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,split
-2.8771,0.096923,-2.30977,0.077699,All
-2.47792,0.0775384,-1.91141,0.077699,All
-2.07873,0.0193846,-1.51305,0.0971237,All
-1.67954,0.0387692,-1.11469,0.349645,All
-1.28035,0.0775384,-0.716324,0.271946,All
-0.881164,0.135692,-0.317961,0.310796,All
-0.481976,0.329538,0.0804016,0.36907,All
-0.0827881,0.562153,0.478764,0.427344,All
0.3164,0.697845,0.877127,0.310796,All
0.715588,0.407077,1.27549,0.310796,All
1.11478,0.213231,1.67385,0.0582742,All
1.51396,0.0581538,2.07222,0.0582742,All
