simulations,OFV
500,937.693
1000,939.007
1500,939.531
2000,938.881
2500,940.137
3000,940.237
3500,940.249
4000,940.489
4500,940.915
5000,940.62
5500,940.721
6000,940.991
6500,940.695
7000,940.543
7500,940.79
8000,940.912
8500,941.223
9000,941.129
9500,941.066
10000,940.506
10500,940.468
11000,940.651
11500,940.682
12000,940.161
12500,940.092
13000,940.094
13500,940.003
14000,940.127
14500,940.044
15000,940.093
15500,940.159
16000,940.267
16500,940.178
17000,940.325
17500,940.409
18000,940.39
18500,940.441
19000,940.399
19500,940.389
20000,940.265
20500,940.217
21000,940.138
21500,940.143
22000,940.19
22500,940.184
23000,940.153
23500,939.994
24000,940.041
24500,940.068
25000,940.16
25500,940.135
26000,940.054
26500,940.104
27000,940.128
27500,940.159
28000,940.233
28500,940.143
29000,940.221
29500,940.282
30000,940.325
