iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,bias_pop,beta_bias_lcat_2,omega_Cl,omega_V1,omega_Q,omega_V2,bias_sd,corr_V2_V1,a1,a2,plcat_1,plcat_2
1,1764.44,1,5.276,0.629119,21.071,6.455,23.111,-0.586,0,1.5,1.5,1.5,1.5,1.5,0.9,1.5,1.5,0.5,0.5
2,1740.85,1,4.30825,0.63226,50.4017,6.5856,45.8155,-0.399631,0.28218,1.10264,1.10264,1.36727,1.10405,1.17967,0.9,1.425,1.425,0.497645,0.502355
3,1700.98,1,3.8133,0.572929,52.872,7.37288,55.6314,-0.357463,0.593169,0.81054,1.14088,1.30192,1.19853,1.02737,0.9,1.35375,1.35375,0.521852,0.478148
4,1655.09,1,3.81261,0.345601,52.2771,10.3745,63.7992,-0.533806,0.57647,0.595821,0.986873,1.18588,0.974185,0.880754,0.9,1.28606,1.28606,0.529634,0.470366
5,1616.43,1,4.20802,0.170492,45.9517,8.77124,60.487,-0.633115,0.252222,0.46082,0.886543,1.11254,0.933006,0.71194,0.9,1.22176,1.22176,0.527257,0.472743
6,1572.44,1,4.68884,0.333654,36.3442,7.99589,49.6548,-0.561032,0.213132,0.338745,0.798517,1.04383,0.809435,0.577505,0.9,1.16067,1.16067,0.516985,0.483015
7,1533.55,1,5.01351,0.537559,31.0505,7.95648,42.3955,-0.686447,0.381186,0.249009,0.654106,1.06895,0.632985,0.52127,0.9,1.10264,1.10264,0.482078,0.517922
8,1489.76,1,5.11909,0.607392,30.1105,8.16762,41.5384,-0.510058,0.0705568,0.206228,0.656893,0.938342,0.6597,0.39718,0.9,1.04751,1.04751,0.459432,0.540568
9,1458.44,1,5.05646,0.674096,24.5121,9.65561,33.9051,-0.66047,0.328554,0.204668,0.522902,0.817033,0.624376,0.375577,0.9,0.995131,0.995131,0.488566,0.511434
10,1429.75,1,5.28202,0.774596,23.6031,8.74534,32.3627,-0.748275,0.349816,0.187527,0.510243,0.628371,0.618397,0.349819,0.9,0.945374,0.945374,0.527682,0.472318
