parameter,value,se_lin,rse_lin
Cl_pop,5.17162372841885,0.349646271243198,6.76086060402731
V1_pop,20.1738222437831,1.77693507199236,8.80812297501011
Q_pop,6.45880590608746,1.20679461294125,18.684484879842
V2_pop,22.8853612920199,3.13060007182819,13.6794872140377
omega_Cl,0.25152391370331,0.0480511387203682,19.1040040737629
omega_V1,0.304760644373467,0.065935918834388,21.6353128436057
omega_Q,0.609254750765892,0.147993634443525,24.2909282623537
omega_V2,0.341286038074059,0.133159886313057,39.0170916643713
corr_V2_V1,0.998637538399766,0.197628330177253,19.7897958546538
a1,0.303560406822926,0.0222581144648437,7.33235098008923
a2,0.0626934044674098,0.00630516647816903,10.0571448172777
