standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,split
-1.96032,0.0911373,-2.40617,0.0927817,-2.69716,0.0360243,All
-1.6207,0.182275,-1.98917,0.111338,-2.26755,0.0540365,All
-1.28108,0.113922,-1.57216,0.0185563,-1.83795,0.108073,All
-0.941452,0.205059,-1.15515,0.0927817,-1.40834,0.126085,All
-0.601829,0.432902,-0.738149,0.334014,-0.97874,0.216146,All
-0.262205,0.52404,-0.321143,0.463908,-0.549137,0.288195,All
0.0774182,0.410118,0.0958623,0.593803,-0.119533,0.270183,All
0.417042,0.432902,0.512868,0.426796,0.310071,0.594402,All
0.756665,0.296196,0.929873,0.259789,0.739674,0.468316,All
1.09629,0.0455687,1.34688,0.111338,1.16928,0.25217,All
1.43591,0.15949,1.76388,0.0371127,1.59888,0.0720487,All
1.77554,0.296196,2.18089,0.055669,2.02849,0.0360243,All
