standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,split
-4,0,-4,0,-4,0,All
-2.13013,0.00714286,-2.61467,0.00714286,-2.91196,0.00714286,All
-2.03216,0.0142857,-2.46955,0.0142857,-2.51809,0.0142857,All
-2.0268,0.0214286,-2.41907,0.0214286,-2.29797,0.0214286,All
-2.01652,0.0285714,-2.37439,0.0285714,-2.23476,0.0285714,All
-1.772,0.0357143,-2.24952,0.0357143,-2.18126,0.0357143,All
-1.76949,0.0428571,-2.16904,0.0428571,-2.0117,0.0428571,All
-1.66581,0.05,-2.14319,0.05,-1.95984,0.05,All
-1.63732,0.0571429,-2.1117,0.0571429,-1.95025,0.0571429,All
-1.60629,0.0642857,-2.11051,0.0642857,-1.92021,0.0642857,All
-1.5423,0.0714286,-1.90463,0.0714286,-1.89995,0.0714286,All
-1.48634,0.0785714,-1.83929,0.0785714,-1.86904,0.0785714,All
-1.45662,0.0857143,-1.45889,0.0857143,-1.51419,0.0857143,All
-1.43075,0.0928571,-1.18039,0.0928571,-1.49264,0.0928571,All
-1.34993,0.1,-1.08082,0.1,-1.41128,0.1,All
-1.28764,0.107143,-1.07248,0.107143,-1.37911,0.107143,All
-1.2848,0.114286,-1.0604,0.114286,-1.35824,0.114286,All
-1.2793,0.121429,-0.975653,0.121429,-1.29624,0.121429,All
-1.04404,0.128571,-0.944277,0.128571,-1.21278,0.128571,All
-0.996904,0.135714,-0.89963,0.135714,-1.08432,0.135714,All
-0.972141,0.142857,-0.885736,0.142857,-1.07013,0.142857,All
-0.966153,0.15,-0.87722,0.15,-1.03613,0.15,All
-0.928342,0.157143,-0.863388,0.157143,-0.99457,0.157143,All
-0.868706,0.164286,-0.861086,0.164286,-0.961396,0.164286,All
-0.850841,0.171429,-0.817822,0.171429,-0.954368,0.171429,All
-0.849552,0.178571,-0.797868,0.178571,-0.922213,0.178571,All
-0.836441,0.185714,-0.786691,0.185714,-0.916895,0.185714,All
-0.766566,0.192857,-0.785713,0.192857,-0.899051,0.192857,All
-0.758245,0.2,-0.735565,0.2,-0.83793,0.2,All
-0.746317,0.207143,-0.683051,0.207143,-0.830283,0.207143,All
-0.740874,0.214286,-0.653812,0.214286,-0.8043,0.214286,All
-0.727864,0.221429,-0.651985,0.221429,-0.745906,0.221429,All
-0.701292,0.228571,-0.646342,0.228571,-0.734912,0.228571,All
-0.69379,0.235714,-0.642065,0.235714,-0.713515,0.235714,All
-0.645623,0.242857,-0.592802,0.242857,-0.660107,0.242857,All
-0.639813,0.25,-0.531466,0.25,-0.632598,0.25,All
-0.628156,0.257143,-0.492528,0.257143,-0.628378,0.257143,All
-0.625582,0.264286,-0.470294,0.264286,-0.611327,0.264286,All
-0.581146,0.271429,-0.453246,0.271429,-0.569064,0.271429,All
-0.532264,0.278571,-0.44101,0.278571,-0.53994,0.278571,All
-0.529751,0.285714,-0.440704,0.285714,-0.52865,0.285714,All
-0.527819,0.292857,-0.409735,0.292857,-0.485691,0.292857,All
-0.498199,0.3,-0.381581,0.3,-0.481423,0.3,All
-0.493262,0.307143,-0.370465,0.307143,-0.4657,0.307143,All
-0.450733,0.314286,-0.352787,0.314286,-0.455943,0.314286,All
-0.439587,0.321429,-0.321066,0.321429,-0.35964,0.321429,All
-0.418223,0.328571,-0.298946,0.328571,-0.355395,0.328571,All
-0.410089,0.335714,-0.295051,0.335714,-0.314936,0.335714,All
-0.399153,0.342857,-0.277469,0.342857,-0.309619,0.342857,All
-0.37663,0.35,-0.275669,0.35,-0.240508,0.35,All
-0.336736,0.357143,-0.269746,0.357143,-0.183125,0.357143,All
-0.336476,0.364286,-0.238634,0.364286,-0.165146,0.364286,All
-0.318609,0.371429,-0.231546,0.371429,-0.164662,0.371429,All
-0.315993,0.378571,-0.195691,0.378571,-0.1465,0.378571,All
-0.277145,0.385714,-0.18762,0.385714,-0.0640786,0.385714,All
-0.273801,0.392857,-0.185944,0.392857,-0.0533576,0.392857,All
-0.252091,0.4,-0.161329,0.4,-0.0258367,0.4,All
-0.243492,0.407143,-0.136929,0.407143,-0.0142602,0.407143,All
-0.234479,0.414286,-0.132529,0.414286,-0.00345304,0.414286,All
-0.22846,0.421429,-0.121335,0.421429,0.0202199,0.421429,All
-0.224091,0.428571,-0.115426,0.428571,0.0240485,0.428571,All
-0.209049,0.435714,-0.10433,0.435714,0.0837896,0.435714,All
-0.193461,0.442857,-0.098094,0.442857,0.102297,0.442857,All
-0.168489,0.45,-0.06433,0.45,0.106634,0.45,All
-0.16539,0.457143,-0.0584286,0.457143,0.107434,0.457143,All
-0.155402,0.464286,-0.046849,0.464286,0.112464,0.464286,All
-0.149813,0.471429,-0.0359361,0.471429,0.112593,0.471429,All
-0.149266,0.478571,-0.0316959,0.478571,0.124478,0.478571,All
-0.126645,0.485714,-0.0156431,0.485714,0.132022,0.485714,All
-0.0544425,0.492857,0.00909567,0.492857,0.146299,0.492857,All
-0.0522083,0.5,0.0376855,0.5,0.153734,0.5,All
-0.0263934,0.507143,0.0593723,0.507143,0.160526,0.507143,All
-0.017411,0.514286,0.0601672,0.514286,0.170903,0.514286,All
-0.0151666,0.521429,0.0709055,0.521429,0.183825,0.521429,All
0.0358903,0.528571,0.0774747,0.528571,0.225465,0.528571,All
0.0486448,0.535714,0.106213,0.535714,0.233777,0.535714,All
0.0694988,0.542857,0.117214,0.542857,0.240649,0.542857,All
0.0718354,0.55,0.128554,0.55,0.246954,0.55,All
0.0768536,0.557143,0.128774,0.557143,0.259185,0.557143,All
0.100016,0.564286,0.135591,0.564286,0.308722,0.564286,All
0.127197,0.571429,0.140443,0.571429,0.322603,0.571429,All
