parameter,value,se_sa,rse_sa
Cl_pop,10.3093076899811,0.724987774164378,7.0323613957991
V1_pop,41.0374758813912,3.44726130799216,8.40027617184748
Q_pop,12.0628886868638,2.7295880857125,22.6279803832141
V2_pop,49.1729423394255,8.2284547989343,16.7337043655754
omega_Cl,0.261388236246749,0.051929669113399,19.8668730693671
omega_V1,0.259855763991544,0.0640901381159899,24.6637354244239
omega_Q,0.670928808849365,0.172263922462397,25.6754398067699
omega_V2,0.35752219561748,0.188019435475971,52.5895840260326
a1,0.305997575594311,0.0231439098871425,7.5634291684149
a2,0.0601972434137155,0.00631985065898051,10.4985715301717
