fi_abscissa,fi_pdf,fi_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,split
0.361187,0.00172024,3.61134e-05,3.82521,0.00022719,5.43259e-05,30.813,2.22045e-16,2.22045e-16,0.313817,0.00151652,0.000120014,24.7058,1.60883e-07,1.05597e-07,All
0.382821,0.00406539,9.56242e-05,4.06783,0.000525165,0.000141383,31.1591,2.22045e-16,2.22045e-16,2.35965,0.0454409,0.0516574,25.5531,5.15771e-07,3.65728e-07,All
0.404455,0.00869697,0.000228393,4.31045,0.00109715,0.000331206,31.5051,2.22045e-16,2.22045e-16,4.40548,0.0558314,0.159494,26.4004,1.5094e-06,1.15541e-06,All
0.426088,0.0170628,0.000498742,4.55308,0.00210054,0.000708564,31.8512,2.22045e-16,2.22045e-16,6.4513,0.0520034,0.270882,27.2478,4.0623e-06,3.35476e-06,All
0.447722,0.0310353,0.001007,4.7957,0.00372789,0.0014009,32.1973,2.22045e-16,2.22045e-16,8.49713,0.0450234,0.370276,28.0951,1.01215e-05,9.01298e-06,All
0.469355,0.0528127,0.0018978,5.03833,0.00619144,0.00258515,32.5434,2.22045e-16,2.22045e-16,10.543,0.0380894,0.455179,28.9424,2.34857e-05,2.25421e-05,All
0.490989,0.0847301,0.00336521,5.28095,0.00970033,0.0044899,32.8894,2.22045e-16,2.22045e-16,12.5888,0.0320301,0.526735,29.7898,5.10247e-05,5.27731e-05,All
0.512623,0.129004,0.00565304,5.52357,0.0144338,0.0073914,33.2355,8.53625e-16,2.22045e-16,14.6346,0.0269566,0.586911,30.6371,0.000104298,0.000116218,All
0.534256,0.187445,0.00904917,5.7662,0.0205153,0.0116031,33.5816,8.37368e-15,1.27676e-15,16.6804,0.022771,0.637639,31.4844,0.000201464,0.00024184,All
0.55589,0.261191,0.0138738,6.00882,0.0279911,0.0174594,33.9276,7.40819e-14,1.17684e-14,18.7263,0.01933,0.68059,32.3318,0.000369205,0.000477471,All
0.577523,0.3505,0.0204627,6.25144,0.0368179,0.0252952,34.2737,5.92809e-13,9.87543e-14,20.7721,0.0164968,0.717145,33.1791,0.000644259,0.000897728,All
0.599157,0.454628,0.0291461,6.49407,0.0468597,0.0354237,34.6198,4.3027e-12,7.51399e-13,22.8179,0.0141547,0.748423,34.0264,0.00107401,0.00161287,All
0.620791,0.571821,0.0402276,6.73669,0.0578953,0.0481144,34.9659,2.84028e-11,5.20345e-12,24.8638,0.0122088,0.775331,34.8738,0.00171564,0.00277759,All
0.642424,0.699411,0.0539624,6.97931,0.0696335,0.0635742,35.3119,1.70966e-10,3.28884e-11,26.9096,0.0105834,0.798596,35.7211,0.00263334,0.00459826,All
0.664058,0.833988,0.0705397,7.22194,0.0817343,0.0819332,35.658,9.40755e-10,1.9022e-10,28.9554,0.00921798,0.818811,36.5684,0.00389365,0.00733703,All
0.685692,0.971646,0.090069,7.46456,0.0938332,0.103235,36.0041,4.7437e-09,1.0093e-09,31.0012,0.00806475,0.836457,37.4158,0.00555888,0.0113112,All
