fi_abscissa,fi_cdf,Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,split
0.361187,0,3.82521,0,30.813,0,0.313817,0.00714286,24.7058,0,All
0.436994,0.00714286,4.75977,0.00714286,40.8229,0.00714286,0.484212,0.0142857,31.7962,0.00714286,All
0.491143,0.0142857,4.76018,0.0142857,41.2923,0.0142857,0.80843,0.0214286,33.4361,0.0142857,All
0.493593,0.0214286,4.91507,0.0214286,41.3905,0.0214286,0.895157,0.0285714,37.9511,0.0214286,All
0.511667,0.0285714,4.9998,0.0285714,41.429,0.0285714,0.928063,0.0357143,38.7705,0.0285714,All
0.522869,0.0357143,5.00094,0.0357143,41.4976,0.0357143,1.0771,0.0428571,39.0087,0.0357143,All
0.523884,0.0428571,5.02473,0.0428571,41.5427,0.0428571,1.08142,0.05,39.2377,0.0428571,All
0.527427,0.05,5.13826,0.05,41.5695,0.05,1.08547,0.0571429,39.4065,0.05,All
0.530584,0.0571429,5.22347,0.0571429,41.8524,0.0571429,1.10447,0.0642857,40.5941,0.0571429,All
0.53459,0.0642857,5.224,0.0642857,41.8643,0.0642857,1.96258,0.0714286,41.2591,0.0642857,All
0.550996,0.0714286,5.60058,0.0714286,41.9156,0.0714286,2.37631,0.0785714,41.7651,0.0714286,All
0.694426,0.0785714,6.13791,0.0785714,42.0746,0.0785714,2.56066,0.0857143,41.7706,0.0785714,All
0.699471,0.0857143,6.67587,0.0857143,42.08,0.0857143,2.75473,0.0928571,41.9318,0.0857143,All
0.7077,0.0928571,6.73364,0.0928571,42.2908,0.0928571,3.11265,0.1,42.1733,0.0928571,All
0.711597,0.1,7.04666,0.1,42.2974,0.1,3.20722,0.107143,42.3303,0.1,All
0.711884,0.107143,7.05207,0.107143,42.3018,0.107143,3.59349,0.114286,42.4723,0.107143,All
0.73481,0.114286,7.06413,0.114286,42.3895,0.114286,3.6728,0.121429,42.7234,0.114286,All
0.750693,0.121429,7.12951,0.121429,42.4147,0.121429,3.93834,0.128571,42.945,0.121429,All
0.761063,0.128571,7.20808,0.128571,42.4442,0.128571,4.27874,0.135714,43.1029,0.128571,All
0.766749,0.135714,7.25612,0.135714,42.4916,0.135714,4.37309,0.142857,43.2344,0.135714,All
0.76683,0.142857,7.45819,0.142857,42.5463,0.142857,4.65256,0.15,43.2762,0.142857,All
