V_abscissa,V_pdf,Cl_abscissa,Cl_pdf,split
19.1229,0.0195991,3.2929,0.0980852,All
21.4918,0.0163326,3.68736,0.117702,All
23.8608,0.013066,4.08181,0.19617,All
26.2297,0.0359316,4.47627,0.470809,All
28.5986,0.0424646,4.87073,0.411958,All
30.9675,0.0849293,5.26519,0.19617,All
33.3364,0.0914623,5.65965,0.235404,All
35.7053,0.0620637,6.0541,0.33349,All
38.0743,0.0522642,6.44856,0.353107,All
40.4432,0.013066,6.84302,0.137319,All
42.8121,0.00979953,7.23748,0.137319,All
45.181,0.0163326,7.63194,0.0588511,All
