V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
12.8249,0,2.16161,0,All
17.9385,0.00714286,3.09567,0.00714286,All
17.9411,0.0142857,3.29248,0.0142857,All
18.9481,0.0214286,3.34986,0.0214286,All
18.9844,0.0285714,3.42626,0.0285714,All
19.2934,0.0357143,3.47243,0.0357143,All
19.709,0.0428571,3.55224,0.0428571,All
20.3232,0.05,3.59112,0.05,All
20.3691,0.0571429,3.64417,0.0571429,All
20.446,0.0642857,3.69165,0.0642857,All
21.4387,0.0714286,3.81747,0.0714286,All
21.6642,0.0785714,3.8825,0.0785714,All
24.0215,0.0857143,4.02871,0.0857143,All
24.066,0.0928571,4.07068,0.0928571,All
24.2794,0.1,4.09851,0.1,All
24.8788,0.107143,4.10853,0.107143,All
25.3226,0.114286,4.11992,0.114286,All
25.5109,0.121429,4.19593,0.121429,All
25.8104,0.128571,4.2091,0.128571,All
25.9993,0.135714,4.22133,0.135714,All
26.0556,0.142857,4.25074,0.142857,All
26.5441,0.15,4.25129,0.15,All
26.6431,0.157143,4.28364,0.157143,All
26.7706,0.164286,4.30337,0.164286,All
26.8357,0.171429,4.3388,0.171429,All
26.9531,0.178571,4.35833,0.178571,All
27.1742,0.185714,4.36448,0.185714,All
27.4533,0.192857,4.37453,0.192857,All
27.6294,0.2,4.38531,0.2,All
27.6903,0.207143,4.39694,0.207143,All
27.8012,0.214286,4.42696,0.214286,All
27.9152,0.221429,4.43576,0.221429,All
28.2402,0.228571,4.4883,0.228571,All
28.2521,0.235714,4.49642,0.235714,All
28.4211,0.242857,4.50939,0.242857,All
28.4631,0.25,4.51462,0.25,All
28.6863,0.257143,4.52565,0.257143,All
28.6908,0.264286,4.52705,0.264286,All
29.4502,0.271429,4.52974,0.271429,All
29.4819,0.278571,4.53381,0.278571,All
29.9063,0.285714,4.53981,0.285714,All
30.0557,0.292857,4.54138,0.292857,All
30.065,0.3,4.54832,0.3,All
30.2137,0.307143,4.55348,0.307143,All
30.4083,0.314286,4.62847,0.314286,All
30.5605,0.321429,4.64961,0.321429,All
30.7282,0.328571,4.67837,0.328571,All
30.7815,0.335714,4.69319,0.335714,All
31.0983,0.342857,4.70499,0.342857,All
31.1097,0.35,4.719,0.35,All
31.1859,0.357143,4.73138,0.357143,All
31.3659,0.364286,4.74135,0.364286,All
31.3783,0.371429,4.80905,0.371429,All
31.4361,0.378571,4.81077,0.378571,All
31.4376,0.385714,4.81951,0.385714,All
31.4901,0.392857,4.84649,0.392857,All
31.5746,0.4,4.84956,0.4,All
31.6376,0.407143,4.84989,0.407143,All
31.7178,0.414286,4.91662,0.414286,All
31.7658,0.421429,4.9438,0.421429,All
31.7865,0.428571,4.94811,0.428571,All
31.8179,0.435714,5.00009,0.435714,All
31.8717,0.442857,5.00375,0.442857,All
31.9052,0.45,5.00659,0.45,All
31.9893,0.457143,5.00669,0.457143,All
31.9893,0.464286,5.0139,0.464286,All
32.305,0.471429,5.03422,0.471429,All
32.3296,0.478571,5.10347,0.478571,All
32.333,0.485714,5.23163,0.485714,All
32.3454,0.492857,5.24276,0.492857,All
32.3706,0.5,5.24402,0.5,All
32.4533,0.507143,5.24692,0.507143,All
32.4919,0.514286,5.28357,0.514286,All
32.5793,0.521429,5.32504,0.521429,All
32.6279,0.528571,5.38128,0.528571,All
32.661,0.535714,5.44185,0.535714,All
32.7068,0.542857,5.4486,0.542857,All
32.7862,0.55,5.48739,0.55,All
32.8326,0.557143,5.58674,0.557143,All
32.8679,0.564286,5.59101,0.564286,All
33.0324,0.571429,5.61527,0.571429,All
33.2032,0.578571,5.63036,0.578571,All
33.2168,0.585714,5.74857,0.585714,All
33.2467,0.592857,5.74878,0.592857,All
33.3427,0.6,5.79077,0.6,All
33.5895,0.607143,5.80025,0.607143,All
33.6186,0.614286,5.84862,0.614286,All
33.9066,0.621429,5.85194,0.621429,All
33.917,0.628571,5.85683,0.628571,All
34.0309,0.635714,5.88987,0.635714,All
34.0849,0.642857,5.8974,0.642857,All
34.2635,0.65,5.91511,0.65,All
34.4343,0.657143,5.92559,0.657143,All
34.4889,0.664286,5.92604,0.664286,All
34.646,0.671429,5.95398,0.671429,All
34.665,0.678571,5.96853,0.678571,All
34.7027,0.685714,6.00317,0.685714,All
34.9154,0.692857,6.06432,0.692857,All
34.945,0.7,6.07755,0.7,All
34.9908,0.707143,6.10687,0.707143,All
35.0062,0.714286,6.13823,0.714286,All
35.1441,0.721429,6.16292,0.721429,All
35.1474,0.728571,6.18129,0.728571,All
35.1653,0.735714,6.21422,0.735714,All
35.6183,0.742857,6.23646,0.742857,All
35.6964,0.75,6.24326,0.75,All
35.6992,0.757143,6.25434,0.757143,All
35.9029,0.764286,6.26911,0.764286,All
36.0016,0.771429,6.2856,0.771429,All
36.242,0.778571,6.28729,0.778571,All
36.4344,0.785714,6.29595,0.785714,All
36.4484,0.792857,6.29707,0.792857,All
36.821,0.8,6.37928,0.8,All
37.221,0.807143,6.45746,0.807143,All
37.5608,0.814286,6.46431,0.814286,All
37.5776,0.821429,6.46483,0.821429,All
37.6765,0.828571,6.46807,0.828571,All
37.9576,0.835714,6.50694,0.835714,All
38.0211,0.842857,6.55352,0.842857,All
38.2144,0.85,6.5745,0.85,All
38.2486,0.857143,6.57454,0.857143,All
38.351,0.864286,6.5874,0.864286,All
38.3546,0.871429,6.60714,0.871429,All
38.4427,0.878571,6.62809,0.878571,All
38.4513,0.885714,6.67279,0.885714,All
38.4705,0.892857,6.6737,0.892857,All
38.7485,0.9,6.71514,0.9,All
38.9415,0.907143,6.84141,0.907143,All
38.9443,0.914286,6.92708,0.914286,All
39.5882,0.921429,6.96152,0.921429,All
40.5781,0.928571,6.99241,0.928571,All
40.852,0.935714,7.10276,0.935714,All
40.9661,0.942857,7.13842,0.942857,All
42.4017,0.95,7.20365,0.95,All
43.4588,0.957143,7.25746,0.957143,All
43.7179,0.964286,7.2885,0.964286,All
44.9876,0.971429,7.3035,0.971429,All
45.3671,0.978571,7.42988,0.978571,All
45.4119,0.985714,7.56034,0.985714,All
45.8201,0.992857,7.64652,0.992857,All
46.3655,1,7.82916,1,All
76.4709,1,12.7806,1,All
