V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
12.8249,1.43024e-05,8.42881e-06,2.16161,7.84357e-05,7.68415e-06,All
13.4678,3.65295e-05,2.37952e-05,2.26887,0.000201312,2.17837e-05,All
14.1107,8.48026e-05,6.09173e-05,2.37614,0.000469723,5.6015e-05,All
14.7536,0.000180877,0.000142995,2.4834,0.00100707,0.000132089,All
15.3965,0.000357735,0.000310703,2.59066,0.00200206,0.000288328,All
16.0394,0.000661271,0.000630016,2.69793,0.00371968,0.000587325,All
16.6823,0.0011503,0.00120062,2.80519,0.00650279,0.00112431,All
17.3251,0.00189425,0.00216363,2.91245,0.0107604,0.00203501,All
17.968,0.00296843,0.00370698,3.01972,0.0169412,0.00350146,All
18.6109,0.00444693,0.00606708,3.12698,0.0254933,0.00575419,All
19.2538,0.0063943,0.00952536,3.23424,0.0368147,0.00906958,All
19.8967,0.00885678,0.0143993,3.3415,0.0512011,0.0137617,All
20.5396,0.0118547,0.0210282,3.44877,0.0687985,0.0201686,All
21.1825,0.0153768,0.0297544,3.55603,0.0895677,0.0286344,All
21.8254,0.0193778,0.0409022,3.66329,0.113266,0.0394881,All
22.4683,0.0237793,0.0547559,3.77056,0.139448,0.0530219,All
23.1111,0.0284733,0.0715399,3.87782,0.167489,0.0694701,All
23.754,0.0333296,0.0914012,3.98508,0.19662,0.0889918,All
24.3969,0.0382033,0.114398,4.09235,0.225978,0.111658,All
25.0398,0.0429451,0.140494,4.19961,0.254664,0.137446,All
25.6827,0.0474101,0.169557,4.30687,0.281796,0.166235,All
26.3256,0.051466,0.201365,4.41413,0.306563,0.197814,All
26.9685,0.0550002,0.235618,4.5214,0.328266,0.231891,All
27.6114,0.0579245,0.271952,4.62866,0.346351,0.268106,All
28.2543,0.0601775,0.309952,4.73592,0.360423,0.306048,All
28.8972,0.0617259,0.349176,4.84319,0.370259,0.345274,All
29.54,0.0625632,0.389166,4.95045,0.375797,0.385325,All
30.1829,0.062707,0.42947,5.05771,0.377127,0.425742,All
30.8258,0.0621961,0.469653,5.16498,0.374466,0.466085,All
31.4687,0.0610857,0.509311,5.27224,0.368137,0.505943,All
32.1116,0.0594436,0.548081,5.3795,0.358545,0.544944,All
32.7545,0.0573457,0.585645,5.48676,0.346143,0.58276,All
33.3974,0.054872,0.621735,5.59403,0.331414,0.619117,All
34.0403,0.052103,0.656135,5.70129,0.314848,0.653791,All
34.6832,0.0491168,0.688681,5.80855,0.29692,0.686611,All
35.326,0.0459868,0.719257,5.91582,0.27808,0.717456,All
35.9689,0.0427799,0.747793,6.02308,0.258738,0.746249,All
36.6118,0.0395556,0.774259,6.13034,0.239261,0.772957,All
37.2547,0.0363651,0.79866,6.23761,0.219964,0.797583,All
37.8976,0.0332512,0.821033,6.34487,0.201113,0.820161,All
38.5405,0.0302486,0.841438,6.45213,0.182922,0.840751,All
39.1834,0.0273841,0.859956,6.55939,0.165559,0.859432,All
39.8263,0.0246774,0.876682,6.66666,0.149147,0.876302,All
40.4692,0.022142,0.891722,6.77392,0.13377,0.891465,All
41.112,0.0197857,0.90519,6.88118,0.119478,0.905037,All
41.7549,0.0176115,0.917201,6.98845,0.106291,0.917136,All
42.3978,0.0156185,0.927873,7.09571,0.0942052,0.927879,All
43.0407,0.0138027,0.937321,7.20297,0.083197,0.937384,All
43.6836,0.0121577,0.945657,7.31024,0.0732276,0.945764,All
44.3265,0.0106751,0.952988,7.4175,0.0642469,0.953129,All
44.9694,0.00934547,0.959416,7.52476,0.0561966,0.95958,All
45.6123,0.00815835,0.965035,7.63202,0.0490135,0.965215,All
46.2552,0.00710296,0.969934,7.73929,0.0426319,0.970123,All
46.898,0.00616837,0.974193,7.84655,0.036985,0.974387,All
47.5409,0.00534384,0.977888,7.95381,0.032007,0.978082,All
48.1838,0.00461892,0.981086,8.06108,0.0276343,0.981275,All
48.8267,0.00398366,0.983846,8.16834,0.023806,0.984029,All
49.4696,0.00342868,0.986225,8.2756,0.0204648,0.986399,All
50.1125,0.00294524,0.98827,8.38286,0.0175574,0.988435,All
50.7554,0.00252526,0.990026,8.49013,0.0150343,0.99018,All
51.3983,0.00216134,0.991529,8.59739,0.0128506,0.991672,All
52.0412,0.00184676,0.992815,8.70465,0.0109652,0.992947,All
52.6841,0.00157546,0.993913,8.81192,0.00934121,0.994034,All
53.3269,0.00134199,0.994849,8.91918,0.00794542,0.994959,All
53.9698,0.00114148,0.995646,9.02644,0.00674828,0.995746,All
54.6127,0.000969602,0.996323,9.13371,0.00572352,0.996413,All
55.2556,0.000822546,0.996898,9.24097,0.00484796,0.996979,All
55.8985,0.000696939,0.997385,9.34823,0.00410119,0.997458,All
56.5414,0.000589829,0.997798,9.45549,0.00346532,0.997863,All
57.1843,0.000498631,0.998147,9.56276,0.00292473,0.998205,All
57.8272,0.000421095,0.998442,9.67002,0.00246584,0.998493,All
58.4701,0.000355265,0.998691,9.77728,0.00207683,0.998736,All
59.1129,0.000299446,0.998901,9.88455,0.00174752,0.998941,All
59.7558,0.000252175,0.999078,9.99181,0.00146909,0.999113,All
60.3987,0.000212188,0.999226,10.0991,0.00123395,0.999257,All
61.0416,0.000178401,0.999352,10.2063,0.00103561,0.999379,All
61.6845,0.000149882,0.999457,10.3136,0.000868483,0.999481,All
62.3274,0.000125833,0.999545,10.4209,0.000727796,0.999566,All
62.9703,0.000105573,0.99962,10.5281,0.000609481,0.999638,All
63.6132,8.85197e-05,0.999682,10.6354,0.00051007,0.999697,All
64.2561,7.41771e-05,0.999734,10.7427,0.000426614,0.999748,All
64.8989,6.2124e-05,0.999778,10.8499,0.000356608,0.999789,All
65.5418,5.20023e-05,0.999814,10.9572,0.000297929,0.999824,All
66.1847,4.35085e-05,0.999845,11.0644,0.00024878,0.999854,All
66.8276,3.63854e-05,0.999871,11.1717,0.00020764,0.999878,All
67.4705,3.04154e-05,0.999892,11.279,0.000173226,0.999898,All
68.1134,2.54148e-05,0.99991,11.3862,0.000144456,0.999915,All
68.7563,2.12285e-05,0.999925,11.4935,0.000120417,0.99993,All
69.3992,1.77256e-05,0.999937,11.6008,0.000100342,0.999941,All
70.0421,1.47959e-05,0.999948,11.708,8.35861e-05,0.999951,All
70.6849,1.23468e-05,0.999956,11.8153,6.96063e-05,0.999959,All
71.3278,1.03002e-05,0.999964,11.9225,5.7948e-05,0.999966,All
71.9707,8.59074e-06,0.99997,12.0298,4.82294e-05,0.999972,All
72.6136,7.1633e-06,0.999975,12.1371,4.0131e-05,0.999977,All
73.2565,5.97179e-06,0.999979,12.2443,3.3385e-05,0.999981,All
73.8994,4.97751e-06,0.999982,12.3516,2.77673e-05,0.999984,All
74.5423,4.14806e-06,0.999985,12.4589,2.30906e-05,0.999987,All
75.1852,3.45629e-06,0.999988,12.5661,1.91984e-05,0.999989,All
75.8281,2.87949e-06,0.99999,12.6734,1.59599e-05,0.999991,All
76.4709,2.39866e-06,0.999992,12.7806,1.32659e-05,0.999992,All
