Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,split
1.8689,0,8.6751,0,1.01574,0,All
2.50894,0.0714286,13.5234,0.0714286,1.74377,0.0714286,All
3.38473,0.142857,17.7289,0.142857,2.24912,0.142857,All
4.51973,0.214286,18.4424,0.214286,2.31922,0.214286,All
4.95294,0.285714,19.1781,0.285714,2.51415,0.285714,All
4.95373,0.357143,20.0478,0.357143,4.60837,0.357143,All
4.96292,0.428571,21.8927,0.428571,4.78232,0.428571,All
5.27924,0.5,22.3903,0.5,4.78629,0.5,All
5.72762,0.571429,23.1648,0.571429,5.38154,0.571429,All
5.82347,0.642857,23.5878,0.642857,6.03486,0.642857,All
6.02357,0.714286,23.713,0.714286,6.28051,0.714286,All
6.11036,0.785714,23.953,0.785714,7.84475,0.785714,All
6.31884,0.857143,24.1718,0.857143,8.59522,0.857143,All
6.54041,0.928571,24.4874,0.928571,9.29328,0.928571,All
6.55617,1,30.4761,1,12.4979,1,All
13.9643,1,53.8369,1,22.8629,1,All
