simulations,OFV
500,1116.43
1000,1116.07
1500,1115.8
2000,1115.96
2500,1116.01
3000,1116.35
3500,1116.31
4000,1116.13
4500,1116.25
5000,1116.19
5500,1116.27
6000,1116.19
6500,1116.22
7000,1116.39
7500,1116.49
8000,1116.45
8500,1116.52
9000,1116.37
9500,1116.34
10000,1116.31
10500,1116.25
11000,1116.33
11500,1116.29
12000,1116.27
12500,1116.25
13000,1116.24
13500,1116.3
14000,1116.32
14500,1116.27
15000,1116.31
15500,1116.35
16000,1116.36
16500,1116.3
17000,1116.21
17500,1116.21
18000,1116.13
18500,1116.2
19000,1116.19
19500,1116.16
20000,1116.17
20500,1116.14
21000,1116.03
21500,1115.97
22000,1115.98
22500,1115.93
23000,1115.91
23500,1115.92
24000,1115.89
24500,1115.92
25000,1115.93
25500,1115.94
26000,1115.92
26500,1115.92
27000,1115.9
27500,1115.87
28000,1115.9
28500,1115.88
29000,1115.89
29500,1115.89
30000,1115.9
