iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,p_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a
1,875.531,1,5,21,5,21,0.5,1,1,1,1,1
2,844.701,1,4.64712,28.4314,6.34527,22.1694,0.00078125,0.974679,0.974679,1.02984,0.974679,0.95
3,829.8,1,5.41019,29.5729,6.93326,26.843,2.22045e-16,0.95,0.95,1.00377,0.95,0.9025
4,823.296,1,4.68343,35.56,9.15946,32.0418,2.22045e-16,0.925945,0.925945,0.978349,0.925945,0.857375
5,806.185,1,5.28999,36.5835,7.34949,32.9012,2.22045e-16,0.9025,0.9025,0.953577,0.920587,0.814506
6,809.244,1,4.83601,35.0088,6.09453,34.2182,2.22045e-16,0.879648,0.879648,0.960383,1.04827,0.773781
7,796.85,1,4.35059,36.9322,5.95519,45.5072,2.22045e-16,0.857375,0.857375,0.951358,1.02173,0.735092
8,777.987,1,4.66655,33.7469,5.62686,37.0702,2.22045e-16,0.835666,0.835666,0.927269,1.09907,0.698337
9,778.382,1,4.51807,27.5578,4.69791,37.3155,2.22045e-16,0.814506,0.814506,1.01855,1.16261,0.66342
10,765.678,1,4.42105,27.9175,5.79776,40.1011,2.22045e-16,0.793882,0.793882,1.08439,1.13317,0.630249
11,764.765,1,4.72181,26.2925,5.06568,52.2597,2.22045e-16,0.773781,0.773781,1.31082,1.15275,0.598737
12,745.997,1,4.55158,25.8138,5.38004,51.7087,2.22045e-16,0.754188,0.754188,1.27763,1.12356,0.5688
13,745.964,1,4.4136,23.5484,7.22098,62.0802,2.22045e-16,0.735092,0.735092,1.24528,1.2221,0.54036
14,743.284,1,4.43197,22.8939,5.68737,73.1532,2.22045e-16,0.716479,0.716479,1.2438,1.2546,0.513342
15,714.744,1,4.42551,21.8717,6.58379,64.594,2.22045e-16,0.698337,0.698337,1.21231,1.22284,0.487675
16,711.388,1,4.61877,26.8597,5.99164,56.4195,2.22045e-16,0.680655,0.680655,1.18161,1.23823,0.463291
17,702.332,1,4.41078,22.0478,5.41975,59.6536,2.22045e-16,0.66342,0.66342,1.23897,1.20687,0.440127
18,690.762,1,4.57307,21.2156,5.82359,53.7258,2.22045e-16,0.646622,0.646622,1.2076,1.31834,0.41812
19,672.348,1,4.57448,22.1517,6.92519,55.7469,2.22045e-16,0.630249,0.630249,1.17702,1.28496,0.397214
20,667.185,1,4.46532,21.2545,6.78234,51.3554,2.22045e-16,0.614291,0.614291,1.14722,1.3088,0.377354
21,651.364,1,4.82159,20.826,7.64802,46.6162,2.22045e-16,0.598737,0.598737,1.11817,1.27566,0.358486
22,625.201,1,4.8513,20.1276,7.14979,50.2099,2.22045e-16,0.583577,0.583577,1.08986,1.24336,0.340562
23,622.8,1,4.62967,19.7458,6.39741,56.4842,2.22045e-16,0.5688,0.5688,1.06226,1.21188,0.323534
