poblacion,MAE,RMSE,MAPE
1,3.676480122622526,5.176964976544301,0.392638014015301
2,4.490159221569768,5.865541893320353,0.4623945552701769
3,3.2936788762814047,4.440504503723212,0.39357976182168825
4,4.645567589625572,6.543088958970944,0.531721525313459
5,3.8550980678180964,5.243976526496408,0.4684572491287054
6,3.745308548527565,5.031063659766167,0.32714499255639845
7,4.272563175613927,5.825817846117485,0.46933619241957675
8,3.6515805506940864,5.377739086415947,0.4513401367501936
9,4.322372411079987,5.694448596956568,0.39885023680420145
10,4.105468015296317,5.225347065757602,0.4259964364650925
11,3.8162349352639726,5.388573696769173,0.4649842507497869
12,3.8562767012635644,5.336348495448479,0.4014781025175827
13,4.209087835539523,5.545760048231705,0.4541813499995561
14,4.020481764083189,5.637807892427037,0.5430428683437124
15,3.846443875272988,4.942359960929429,0.5123346253625495
16,4.947421556682586,6.86780022732265,0.5996886757703773
17,3.957325155680328,5.200574446410164,0.45459910673643605
18,4.5582350160161695,6.369712035236733,0.6184094212557539
19,4.212324120270362,5.440621459749867,0.38343433433438967
20,5.046912149756208,6.7334954062587995,0.6315447786181573
21,4.754009023688194,6.449706954446685,0.5328648129826964
22,4.483592800831924,6.081555130693826,0.5056016256156671
23,3.8220201155562243,4.7643957161686785,0.3819155041663289
24,4.294929547638006,5.712368743841863,0.5058982547543734
25,3.4169700971793997,4.65517371006749,0.37786343128188443
26,4.4877195175198095,5.925567869762095,0.5050480193219509
27,4.034056569635615,5.137284069088463,0.3700427507234285
28,4.165664560956676,5.433140071287747,0.5016729628806769
29,4.2000912935070955,5.7313893131036,0.44482334630125536
30,3.67526708607056,4.694389069974255,0.46674421086957135
31,3.9578627367473214,5.524753333216309,0.4042722280955394
32,3.896189066998006,5.806923330608278,0.4052386372957901
33,4.387364584703945,6.558774720948281,0.4781936780992732
34,3.9787728023343645,5.418674768749771,0.4678392605633221
35,3.841471531208541,4.857460883734318,0.49538540827678185
36,3.826365314054993,4.864221785898888,0.4467393417164255
37,4.7278707164482405,6.191442393995979,0.5933374254158327
38,3.9672419165955795,5.581938879814298,0.5042987992347278
39,4.394427734553535,5.669457983638775,0.5324761629261735
40,3.276481261635178,4.34288313748925,0.40991039335213036
41,3.734078458893322,4.666209179841231,0.44034855955559854
42,4.433259072860018,6.216545465905725,0.6531908115308397
43,4.4962041657589475,5.923431979655977,0.46471038559775457
44,3.6882799488099804,5.045437087724616,0.5298758994029606
45,4.404785918544303,6.034860147378861,0.532128287553476
46,3.9180890216157773,5.007935308368088,0.45942042098097446
47,3.8711818319692997,5.235770401540851,0.45057404231503956
48,4.414269348517551,6.246674506531566,0.506499697607934
49,3.693672126524786,4.766325253378892,0.44165367077474227
50,3.3651298958934284,4.443915900754865,0.4074946526497607
