time,..2.5.,..50....3,..50....4,..97.5.
72,1.6,8.7,8.7,21
72.121212,3,9.3,9.3,21.7
72.242424,4.1,10,10,22.5
72.363636,4.9,10.7,10.7,23.2
72.484848,5.6,11.4,11.4,23.8
72.606061,6.1,12.1,12.1,24.4
72.727273,6.7,12.9,12.9,25.2
72.848485,7.2,13.7,13.7,26
72.969697,7.7,14.4,14.4,26.7
73.090909,8,15.1,15.1,27.6
73.212121,8.4,15.8,15.8,28.5
73.333333,8.8,16.4,16.4,29.2
73.454545,9.2,17.1,17.1,30
73.575758,9.5,17.8,17.8,30.8
73.69697,9.9,18.4,18.4,32.2
73.818182,10.2,19,19,33
73.939394,10.5,19.6,19.6,33.7
74.060606,10.6,19.8,19.8,34
74.181818,10.5,19.6,19.6,33.8
74.30303,10.4,19.4,19.4,33.7
74.424242,10.3,19.2,19.2,33.5
74.545455,10.2,19,19,33.1
74.666667,10.1,18.8,18.8,32.7
74.787879,10.1,18.6,18.6,32.2
74.909091,9.9,18.3,18.3,31.9
75.030303,9.8,18.1,18.1,31.5
75.151515,9.5,17.9,17.9,31.4
75.272727,9.4,17.7,17.7,31.2
75.393939,9.3,17.5,17.5,31.1
75.515152,9.2,17.3,17.3,30.9
75.636364,9.1,17,17,30.8
75.757576,8.9,16.9,16.9,30.7
75.878788,8.8,16.7,16.7,30.5
76,8.7,16.5,16.5,30.3
76.121212,8.6,16.4,16.4,30.1
76.242424,8.4,16.2,16.2,29.9
76.363636,8.2,16,16,29.8
76.484848,8,15.9,15.9,29.7
76.606061,7.7,15.7,15.7,29.5
76.727273,7.6,15.6,15.6,29.3
76.848485,7.4,15.4,15.4,29.1
76.969697,7.3,15.2,15.2,28.9
77.090909,7.1,15,15,28.7
77.212121,7,14.9,14.9,28.5
77.333333,6.9,14.7,14.7,28.3
77.454545,6.7,14.6,14.6,28.1
77.575758,6.6,14.5,14.5,28
77.69697,6.5,14.3,14.3,27.8
77.818182,6.4,14.1,14.1,27.7
77.939394,6.2,14,14,27.6
78.060606,6.1,13.8,13.8,27.4
78.181818,6,13.7,13.7,27.3
78.30303,5.9,13.6,13.6,27.2
78.424242,5.7,13.4,13.4,27
78.545455,5.7,13.3,13.3,26.8
78.666667,5.6,13.1,13.1,26.7
78.787879,5.5,13,13,26.5
78.909091,5.4,12.8,12.8,26.3
79.030303,5.2,12.7,12.7,26.2
79.151515,5.1,12.6,12.6,26.1
79.272727,5,12.5,12.5,26
79.393939,4.9,12.4,12.4,25.9
79.515152,4.7,12.3,12.3,25.8
79.636364,4.6,12.2,12.2,25.7
79.757576,4.5,12.1,12.1,25.5
79.878788,4.3,12,12,25.4
80,4.1,11.9,11.9,25.3
80.121212,4,11.8,11.8,25.2
80.242424,3.9,11.6,11.6,25.1
80.363636,3.7,11.5,11.5,25
80.484848,3.6,11.4,11.4,24.9
80.606061,3.5,11.3,11.3,24.7
80.727273,3.4,11.2,11.2,24.6
80.848485,3.3,11.1,11.1,24.5
80.969697,3.3,11,11,24.4
81.090909,3.2,10.9,10.9,24.3
81.212121,3.1,10.8,10.8,24.2
81.333333,2.9,10.7,10.7,24.1
81.454545,2.8,10.6,10.6,24
81.575758,2.8,10.5,10.5,23.8
81.69697,2.7,10.4,10.4,23.7
81.818182,2.7,10.3,10.3,23.5
81.939394,2.6,10.2,10.2,23.4
82.060606,2.5,10.1,10.1,23.2
82.181818,2.5,10,10,23.1
82.30303,2.4,9.9,9.9,23
82.424242,2.4,9.8,9.8,22.9
82.545455,2.3,9.7,9.7,22.9
82.666667,2.2,9.6,9.6,22.8
82.787879,2.2,9.5,9.5,22.7
82.909091,2.1,9.5,9.5,22.5
83.030303,2,9.4,9.4,22.4
83.151515,2,9.3,9.3,22.3
83.272727,1.9,9.2,9.2,22.2
83.393939,1.9,9.1,9.1,22.1
83.515152,1.8,9,9,22
83.636364,1.8,8.9,8.9,21.9
83.757576,1.7,8.9,8.9,21.8
83.878788,1.7,8.8,8.8,21.7
84,1.6,8.7,8.7,21.6
