Cl_pop,V1_pop,Q_pop,V2_pop
5.259468,20.506484,6.108739,21.697369
2.629734,20.506484,6.108739,21.697369
7.889203,20.506484,6.108739,21.697369
5.259468,10.253242,6.108739,21.697369
2.629734,10.253242,6.108739,21.697369
7.889203,10.253242,6.108739,21.697369
5.259468,30.759726,6.108739,21.697369
2.629734,30.759726,6.108739,21.697369
7.889203,30.759726,6.108739,21.697369
5.259468,20.506484,3.05437,21.697369
2.629734,20.506484,3.05437,21.697369
7.889203,20.506484,3.05437,21.697369
5.259468,10.253242,3.05437,21.697369
2.629734,10.253242,3.05437,21.697369
7.889203,10.253242,3.05437,21.697369
5.259468,30.759726,3.05437,21.697369
2.629734,30.759726,3.05437,21.697369
7.889203,30.759726,3.05437,21.697369
5.259468,20.506484,9.163109,21.697369
2.629734,20.506484,9.163109,21.697369
7.889203,20.506484,9.163109,21.697369
5.259468,10.253242,9.163109,21.697369
2.629734,10.253242,9.163109,21.697369
7.889203,10.253242,9.163109,21.697369
5.259468,30.759726,9.163109,21.697369
2.629734,30.759726,9.163109,21.697369
7.889203,30.759726,9.163109,21.697369
5.259468,20.506484,6.108739,10.848685
2.629734,20.506484,6.108739,10.848685
7.889203,20.506484,6.108739,10.848685
5.259468,10.253242,6.108739,10.848685
2.629734,10.253242,6.108739,10.848685
7.889203,10.253242,6.108739,10.848685
5.259468,30.759726,6.108739,10.848685
2.629734,30.759726,6.108739,10.848685
7.889203,30.759726,6.108739,10.848685
5.259468,20.506484,3.05437,10.848685
2.629734,20.506484,3.05437,10.848685
7.889203,20.506484,3.05437,10.848685
5.259468,10.253242,3.05437,10.848685
2.629734,10.253242,3.05437,10.848685
7.889203,10.253242,3.05437,10.848685
5.259468,30.759726,3.05437,10.848685
2.629734,30.759726,3.05437,10.848685
7.889203,30.759726,3.05437,10.848685
5.259468,20.506484,9.163109,10.848685
2.629734,20.506484,9.163109,10.848685
7.889203,20.506484,9.163109,10.848685
5.259468,10.253242,9.163109,10.848685
2.629734,10.253242,9.163109,10.848685
7.889203,10.253242,9.163109,10.848685
5.259468,30.759726,9.163109,10.848685
2.629734,30.759726,9.163109,10.848685
7.889203,30.759726,9.163109,10.848685
5.259468,20.506484,6.108739,32.546054
2.629734,20.506484,6.108739,32.546054
7.889203,20.506484,6.108739,32.546054
5.259468,10.253242,6.108739,32.546054
2.629734,10.253242,6.108739,32.546054
7.889203,10.253242,6.108739,32.546054
5.259468,30.759726,6.108739,32.546054
2.629734,30.759726,6.108739,32.546054
7.889203,30.759726,6.108739,32.546054
5.259468,20.506484,3.05437,32.546054
2.629734,20.506484,3.05437,32.546054
7.889203,20.506484,3.05437,32.546054
5.259468,10.253242,3.05437,32.546054
2.629734,10.253242,3.05437,32.546054
7.889203,10.253242,3.05437,32.546054
5.259468,30.759726,3.05437,32.546054
2.629734,30.759726,3.05437,32.546054
7.889203,30.759726,3.05437,32.546054
5.259468,20.506484,9.163109,32.546054
2.629734,20.506484,9.163109,32.546054
7.889203,20.506484,9.163109,32.546054
5.259468,10.253242,9.163109,32.546054
2.629734,10.253242,9.163109,32.546054
7.889203,10.253242,9.163109,32.546054
5.259468,30.759726,9.163109,32.546054
2.629734,30.759726,9.163109,32.546054
7.889203,30.759726,9.163109,32.546054
