Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression
-1.82752,0.0874734,-0.00634052,-0.725708,-0.0576786,-0.259008,-1.07844,-0.0537521,-0.253742,-0.727562,-0.00511697,-0.0374295,-0.725708,-0.351418,-0.256955,-1.07844,-0.350448,-0.257783,-0.727562,-0.26023,-0.246379,-1.82752,0.129743,-0.0789094,-1.07844,-0.717925,-0.713925,-0.727562,-0.392604,-0.369369,-1.82752,0.206344,-0.120745,-0.725708,-1.0876,-1.09409
-1.78966,0.0767554,-0.0061895,-0.711751,-0.0497452,-0.254031,-1.05767,-0.0465985,-0.248862,-0.717051,0.018064,-0.037137,-0.711751,-0.374982,-0.252363,-1.05767,-0.367678,-0.253171,-0.717051,-0.239528,-0.242779,-1.78966,0.108121,-0.0771942,-1.05767,-0.703064,-0.700183,-0.717051,-0.355877,-0.363961,-1.78966,0.172453,-0.118106,-0.711751,-1.06851,-1.07304
-1.7518,0.0674582,-0.00603848,-0.697795,-0.0441419,-0.249055,-1.0369,-0.0399114,-0.243982,-0.70654,0.0359254,-0.0368446,-0.697795,-0.380983,-0.247771,-1.0369,-0.381397,-0.248559,-0.70654,-0.220255,-0.239179,-1.7518,0.0883407,-0.075479,-1.0369,-0.688392,-0.686441,-0.70654,-0.323682,-0.358552,-1.7518,0.141397,-0.115467,-0.697795,-1.04799,-1.05198
-1.71394,0.058161,-0.00588746,-0.683838,-0.0385385,-0.244078,-1.01613,-0.0332243,-0.239102,-0.69603,0.04262,-0.0365521,-0.683838,-0.386985,-0.243179,-1.01613,-0.395116,-0.243948,-0.69603,-0.206169,-0.23558,-1.71394,0.0685603,-0.0737639,-1.01613,-0.673721,-0.6727,-0.69603,-0.304276,-0.353144,-1.71394,0.11034,-0.112827,-0.683838,-1.02746,-1.03092
-1.67607,0.0488638,-0.00573643,-0.669881,-0.0329351,-0.239101,-0.995353,-0.0265372,-0.234222,-0.685519,0.0456177,-0.0362597,-0.669881,-0.392986,-0.238587,-0.995353,-0.408835,-0.239336,-0.685519,-0.197174,-0.23198,-1.67607,0.0487798,-0.0720487,-0.995353,-0.659049,-0.658958,-0.685519,-0.294159,-0.347736,-1.67607,0.0792842,-0.110188,-0.669881,-1.00694,-1.00987
-1.63821,0.0456268,-0.00558541,-0.655925,-0.0273318,-0.234124,-0.97458,-0.0198501,-0.229342,-0.675008,0.0484341,-0.0359672,-0.655925,-0.398987,-0.233995,-0.97458,-0.422554,-0.234725,-0.675008,-0.194385,-0.22838,-1.63821,0.0373964,-0.0703336,-0.97458,-0.644378,-0.645216,-0.675008,-0.293418,-0.342328,-1.63821,0.0611562,-0.107549,-0.655925,-0.986421,-0.988813
-1.60035,0.0534409,-0.00543439,-0.641968,-0.0217284,-0.229147,-0.953807,-0.014209,-0.224462,-0.664497,0.0548096,-0.0356748,-0.641968,-0.404989,-0.229403,-0.953807,-0.431668,-0.230113,-0.664497,-0.199265,-0.22478,-1.60035,0.0413253,-0.0686184,-0.953807,-0.630073,-0.631474,-0.664497,-0.302501,-0.336919,-1.60035,0.0666033,-0.10491,-0.641968,-0.965899,-0.967756
-1.56248,0.0613561,-0.00528337,-0.628012,-0.0168574,-0.22417,-0.933034,-0.012139,-0.219583,-0.653986,0.063724,-0.0353823,-0.628012,-0.408718,-0.224811,-0.933034,-0.42506,-0.225502,-0.653986,-0.209913,-0.221181,-1.56248,0.0454324,-0.0669032,-0.933034,-0.617021,-0.617732,-0.653986,-0.318419,-0.331511,-1.56248,0.0723249,-0.10227,-0.628012,-0.945053,-0.9467
-1.52462,0.0721949,-0.00513234,-0.614055,-0.0137822,-0.219194,-0.912261,-0.010069,-0.214703,-0.643475,0.0713486,-0.0350898,-0.614055,-0.408299,-0.220219,-0.912261,-0.418453,-0.22089,-0.643475,-0.224111,-0.217581,-1.52462,0.055033,-0.0651881,-0.912261,-0.603968,-0.60399,-0.643475,-0.338352,-0.326103,-1.52462,0.0865076,-0.0996311,-0.614055,-0.92347,-0.925644
-1.48676,0.0830256,-0.00498132,-0.600098,-0.0112448,-0.214217,-0.891488,-0.00869008,-0.209823,-0.632965,0.0736372,-0.0347974,-0.600098,-0.411019,-0.215627,-0.891488,-0.41545,-0.216278,-0.632965,-0.238796,-0.213981,-1.48676,0.0656314,-0.0634729,-0.891488,-0.591036,-0.590248,-0.632965,-0.358504,-0.320694,-1.48676,0.102229,-0.0969919,-0.600098,-0.901836,-0.904588
