iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtWTKG,beta_Cl_tCLCRMLMIN,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,760.805,1,5.6796,0.757903,0.609706,40.6172,12.4684,47.6947,0.183034,0.284594,0.678573,0.227513,0.998743,0.30285,0.0629204
2,733.647,1,5.51968,0.801447,0.643905,41.7747,13.0214,48.8522,0.190158,0.277387,0.687092,0.221753,0.998743,0.295182,0.0787959
3,732.547,1,5.46077,0.790714,0.657986,41.7929,13.0566,48.9439,0.190634,0.270364,0.731124,0.216138,0.998743,0.287708,0.0791507
4,724.314,1,5.39161,0.8125,0.670154,41.6152,12.93,48.7497,0.186941,0.263518,0.712611,0.210665,0.998743,0.280423,0.0790887
5,718.542,1,5.35869,0.851489,0.668318,41.6002,12.0767,48.7703,0.182273,0.256846,0.720676,0.205331,0.998743,0.273322,0.0776314
6,714.527,1,5.36126,0.801227,0.663774,41.3168,12.4976,48.4403,0.189982,0.250342,0.713184,0.200132,0.998743,0.266402,0.0784848
7,720.552,1,5.31312,0.798833,0.673789,41.2254,12.9839,48.3128,0.193457,0.244003,0.786246,0.195064,0.998743,0.259656,0.0792305
8,711.57,1,5.44723,0.794968,0.642544,40.8244,12.3834,47.8534,0.189404,0.237825,0.807685,0.190125,0.998743,0.253548,0.0772243
9,712.402,1,5.44061,0.859646,0.649567,41.4537,12.6358,48.4437,0.19293,0.231803,0.787234,0.185311,0.998743,0.247128,0.0788457
10,713.594,1,5.58262,0.899498,0.630205,41.3326,12.9928,48.376,0.188045,0.225934,0.767301,0.180619,0.998743,0.243809,0.0811636
11,710.602,1,5.43397,0.843685,0.6543,41.9846,12.3199,48.9493,0.188356,0.224804,0.747872,0.178457,0.998743,0.239642,0.0801518
12,699.368,1,5.38086,0.813783,0.661555,42.1174,12.142,49.0747,0.184922,0.221308,0.728936,0.176076,0.998743,0.238545,0.0781223
13,701.978,1,5.4177,0.780041,0.65397,42.5291,12.3693,49.4587,0.192834,0.222447,0.722005,0.177817,0.998743,0.243907,0.0761442
