simulations,OFV
500,940.063
1000,941.454
1500,940.208
2000,940.067
2500,941.159
3000,941.03
3500,940.126
4000,940.128
4500,940.471
5000,940.351
5500,940.335
6000,940.362
6500,940.103
7000,940.125
7500,940.077
8000,940.152
8500,940.352
9000,939.986
9500,939.747
10000,939.682
10500,939.507
11000,939.593
11500,939.566
12000,939.459
12500,939.471
13000,939.471
13500,939.415
14000,939.395
14500,939.363
15000,939.378
15500,939.32
16000,939.296
16500,939.091
17000,939.118
17500,939.174
18000,939.14
18500,939.235
19000,939.199
19500,939.162
20000,939.109
20500,939.04
21000,938.963
21500,938.984
22000,939.057
22500,939.054
23000,938.885
23500,938.867
24000,938.883
24500,938.882
25000,938.917
25500,938.863
26000,938.788
26500,938.766
27000,938.725
27500,938.757
28000,938.832
28500,938.784
29000,938.849
29500,938.881
30000,938.952
