simulations,OFV
500,1008.2
1000,1007.53
1500,1006.58
2000,1006.67
2500,1007.11
3000,1006.5
3500,1006.59
4000,1006.53
4500,1006.63
5000,1006.69
5500,1006.57
6000,1006.55
6500,1006.4
7000,1006.5
7500,1006.6
8000,1006.64
8500,1006.87
9000,1006.71
9500,1006.67
10000,1006.46
10500,1006.37
11000,1006.53
11500,1006.42
12000,1006.31
12500,1006.26
13000,1006.26
13500,1006.2
14000,1006.24
14500,1006.12
15000,1006.15
15500,1006.23
16000,1006.27
16500,1006.24
17000,1006.12
17500,1006.13
18000,1006.05
18500,1006.18
19000,1006.05
19500,1006.04
20000,1006.01
20500,1006.02
21000,1005.74
21500,1005.78
22000,1005.75
22500,1005.71
23000,1005.63
23500,1005.65
24000,1005.66
24500,1005.67
25000,1005.67
25500,1005.69
26000,1005.63
26500,1005.63
27000,1005.65
27500,1005.63
28000,1005.66
28500,1005.67
29000,1005.73
29500,1005.8
30000,1005.86
