iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,b1,a2,b2
1,1660.62,1,10.2275,43.2233,11.1604,60.344,1.5,1.5,1.5,1.5,0.3,1,0.3
2,1641.9,1,10.1719,66.9175,15.3017,81.4666,1.46202,1.46202,1.63825,1.46202,0.285,0.95,0.285
3,1607.36,1,10.3986,77.5277,16.9491,116.16,1.425,1.425,1.59677,1.425,0.27075,0.9025,0.27075
4,1597.92,1,9.28056,77.5297,20.1185,163.439,1.38892,1.38892,1.55634,1.38892,0.257212,0.857375,0.257212
5,1572.88,1,9.69744,91.0713,17.7276,165.845,1.35375,1.35375,1.57887,1.35375,0.244352,0.814506,0.244352
6,1553.49,1,9.55755,84.6047,18.349,163.108,1.31947,1.31947,1.5389,1.31947,0.232134,0.773781,0.232134
7,1531.34,1,8.81321,65.4759,20.5527,166.166,1.28606,1.28606,1.49993,1.28606,0.220528,0.735092,0.220528
8,1513.87,1,8.48504,68.3803,22.2819,155.898,1.2535,1.2535,1.46195,1.2535,0.209501,0.698337,0.209501
9,1500.23,1,8.15732,59.8487,14.6373,188.358,1.22176,1.22176,1.53164,1.22176,0.199026,0.66342,0.199026
10,1481.09,1,8.01622,69.8929,13.1175,210.655,1.19082,1.19082,1.49286,1.2332,0.189075,0.630249,0.189075
11,1460.33,1,8.45938,69.4138,12.766,246.686,1.16067,1.16067,1.45506,1.20198,0.179621,0.598737,0.179621
12,1431.55,1,7.77159,73.0775,13.1479,268.162,1.13128,1.13128,1.41822,1.17154,0.17064,0.5688,0.17064
13,1424.48,1,7.66361,63.0546,15.7386,283.742,1.10264,1.10264,1.38231,1.29831,0.162108,0.54036,0.162108
14,1414.33,1,7.54179,66.0956,15.2818,269.006,1.07472,1.07472,1.34731,1.46817,0.154003,0.513342,0.154003
15,1389.77,1,7.56822,61.4255,14.509,240.437,1.04751,1.04751,1.35501,1.431,0.146302,0.487675,0.146302
16,1364.21,1,7.47172,60.2797,16.868,240.392,1.02098,1.02098,1.3207,1.39476,0.138987,0.463291,0.138987
17,1349.05,1,7.8137,56.4483,15.7641,244.188,0.995131,0.995131,1.28726,1.35945,0.132038,0.440127,0.132038
18,1345.31,1,8.16323,53.8644,15.0167,200.422,0.969933,0.969933,1.25466,1.43369,0.125436,0.41812,0.125436
19,1322.73,1,8.17454,54.5353,15.3166,178.81,0.945374,0.945374,1.2229,1.39739,0.119164,0.397214,0.119164
20,1312.54,1,8.45652,62.2437,13.8679,166.044,0.921437,0.921437,1.19193,1.39843,0.113206,0.377354,0.113206
21,1293.29,1,8.66448,54.7482,15.3858,156.592,0.898105,0.898105,1.16175,1.51429,0.107546,0.358486,0.107546
22,1282.81,1,9.21398,55.0256,16.4904,144.463,0.875365,0.875365,1.13233,1.55544,0.102168,0.340562,0.102168
23,1263.61,1,9.2412,53.6082,15.678,139.877,0.8532,0.8532,1.10366,1.52169,0.0970601,0.323534,0.0970601
24,1244.9,1,8.98588,56.8036,14.69,154.634,0.831597,0.831597,1.07572,1.58629,0.0922071,0.307357,0.0922071
25,1228.22,1,9.06593,55.0514,14.7711,156.984,0.81054,0.81054,1.04848,1.70223,0.0875967,0.291989,0.0875967
26,1225.91,1,9.02828,52.9983,13.7618,149.932,0.790017,0.790017,1.02193,1.79182,0.0839763,0.27739,0.0832169
27,1217.42,1,8.5326,52.2754,14.73,185.815,0.770013,0.770013,1.01613,1.88477,0.0833959,0.26352,0.079056
28,1211.45,1,8.29383,53.4137,13.7034,192.139,0.750516,0.750516,0.990404,1.83704,0.0838975,0.250344,0.0751032
29,1208.35,1,8.11151,55.5187,14.1435,196.876,0.731512,0.731512,0.965327,1.80432,0.0856567,0.237827,0.0713481
30,1193.88,1,8.5483,55.9571,13.6935,196.305,0.71299,0.71299,0.940884,1.84814,0.0834985,0.225936,0.0677807
31,1188.36,1,8.46718,56.7731,11.848,215.245,0.694937,0.694937,0.91706,1.83888,0.0828567,0.214639,0.0643916
32,1177.55,1,8.35715,55.9366,11.5454,215.527,0.677341,0.677341,0.89384,1.907,0.080859,0.203907,0.061172
33,1169.45,1,8.11281,57.7539,10.9481,258.377,0.66019,0.66019,0.871207,1.85871,0.082184,0.193711,0.0581134
34,1169.97,1,7.91231,55.4279,10.8422,209.853,0.643474,0.643474,0.849148,1.81661,0.0889532,0.184026,0.0552078
35,1168.46,1,7.87217,53.5022,10.6119,226.238,0.627181,0.627181,0.827647,1.95106,0.0855754,0.174825,0.0524474
36,1163.39,1,7.73145,53.6696,10.0828,247.813,0.6113,0.6113,0.806691,1.90166,0.0888077,0.166083,0.049825
37,1166.91,1,7.74018,52.5937,10.4017,251.845,0.595821,0.595821,0.798227,1.85351,0.0961872,0.157779,0.0473338
38,1167.78,1,7.38768,54.1855,9.92703,251.16,0.580735,0.580735,0.778015,2.04428,0.0994176,0.14989,0.0449671
39,1155.89,1,7.41254,55.0383,9.59308,297.118,0.56603,0.56603,0.758316,1.99252,0.102419,0.142396,0.0427187
40,1143,1,7.32194,56.1907,8.9743,320.559,0.551698,0.551698,0.739115,1.94207,0.105249,0.135276,0.0405828
41,1141.07,1,7.7144,55.7002,9.07598,308.187,0.537729,0.537729,0.7204,1.8929,0.109825,0.128512,0.0385536
42,1122.85,1,7.65533,53.6948,9.19353,263.646,0.524113,0.524113,0.702159,1.84497,0.113461,0.122087,0.036626
43,1122.16,1,7.71338,54.0901,8.59266,240.34,0.510842,0.510842,0.68438,1.79825,0.12192,0.115982,0.0347947
44,1106.85,1,7.96936,53.2486,9.43893,214.584,0.497908,0.497908,0.667051,1.75272,0.123595,0.110183,0.0330549
45,1102.12,1,8.15076,52.1642,9.41069,198.307,0.4853,0.4853,0.650161,1.70834,0.125789,0.104674,0.0314022
46,1095.4,1,8.30379,52.6832,8.30499,187.781,0.473012,0.473012,0.633698,1.66508,0.132011,0.0994403,0.0298321
47,1081.61,1,8.3302,50.5454,8.51335,173.89,0.461035,0.461035,0.617653,1.62292,0.129579,0.0944682,0.0283405
48,1076.2,1,8.23996,51.2179,7.80717,189.068,0.449362,0.449362,0.602014,1.58183,0.131595,0.0897448,0.0269234
49,1059.81,1,8.33622,50.457,7.71464,188.014,0.437984,0.437984,0.58677,1.54178,0.128498,0.0852576,0.0255773
50,1055.45,1,8.53537,48.8435,8.00618,160.619,0.426894,0.426894,0.571913,1.50274,0.128943,0.0809947,0.0242984
51,1039.97,1,8.60002,50.3009,8.54586,173.523,0.416084,0.416084,0.557432,1.46469,0.128061,0.076945,0.0230835
52,1019.86,1,8.7337,48.419,9.19403,153.003,0.405549,0.405549,0.543317,1.4276,0.1305,0.0730977,0.0219293
53,1023.45,1,8.82647,47.3506,9.69008,144.857,0.39528,0.39528,0.52956,1.39145,0.13204,0.0694428,0.0208329
54,1011.42,1,8.88958,47.15,8.54644,141.275,0.385271,0.385271,0.516151,1.35622,0.13377,0.0659707,0.0197912
55,1003.77,1,8.87986,46.8226,9.26592,139.261,0.375516,0.375516,0.503082,1.32188,0.136947,0.0626722,0.0188016
56,1007.99,1,8.8058,46.7116,9.02272,139.665,0.366008,0.366008,0.490344,1.28841,0.135187,0.0595386,0.0178616
57,990.059,1,8.83457,45.9435,8.95869,140.321,0.35674,0.35674,0.477928,1.25579,0.135209,0.0565616,0.0169685
58,979.703,1,8.94765,46.1428,8.68167,124.197,0.347707,0.347707,0.465827,1.22399,0.136622,0.0537335,0.0161201
59,975.087,1,8.87755,45.8549,9.14267,142.868,0.338903,0.338903,0.454032,1.193,0.137846,0.0510469,0.0153141
60,976.27,1,8.97502,46.0341,9.29684,136.255,0.330322,0.330322,0.468974,1.16279,0.136794,0.0549683,0.0124591
61,971.637,1,9.08882,44.6145,9.5101,130.101,0.321958,0.321958,0.488283,1.13335,0.140979,0.0400538,0.0165757
62,963.713,1,9.05756,44.8708,9.76259,126.971,0.313806,0.313806,0.475919,1.10465,0.13615,0.0442728,0.0149557
63,951.806,1,9.08208,44.3787,9.53423,126.664,0.30586,0.30586,0.466504,1.07668,0.136748,0.0420592,0.0142079
64,935.544,1,9.30966,45.2141,9.3958,118.346,0.298116,0.298116,0.454692,1.04942,0.136729,0.0399562,0.0134975
65,942.241,1,9.31888,45.1036,9.78014,112.789,0.290567,0.290567,0.460755,1.02285,0.138826,0.0348317,0.014868
66,938.733,1,9.24598,45.2271,9.56256,109.758,0.28321,0.293802,0.449089,1.08211,0.140401,0.039895,0.0121833
67,928.023,1,9.17474,45.8998,9.35938,112.737,0.276039,0.28951,0.437718,1.08654,0.139794,0.0379003,0.0115742
68,929.945,1,9.28167,46.0191,9.59906,115.083,0.269049,0.282179,0.453046,1.05902,0.14139,0.0426482,0.00998986
69,928.376,1,9.2044,44.796,9.7062,117.574,0.262237,0.275034,0.495531,1.03949,0.141734,0.0556756,0.00436115
70,929.145,1,9.20245,45.848,9.3015,128.479,0.257062,0.280174,0.513131,1.01317,0.140153,0.0627899,0.00220265
71,926.01,1,9.21995,46.1313,9.11557,128.342,0.250553,0.287929,0.500139,0.987512,0.141131,0.0562617,0.00445417
72,923.379,1,9.26149,45.4737,8.85377,126.887,0.244209,0.280638,0.487475,0.962507,0.144301,0.0470625,0.00756254
73,921.359,1,9.21135,44.9305,9.19689,122.943,0.238025,0.273532,0.475132,0.944933,0.141699,0.0339569,0.0128152
74,927.794,1,9.19808,45.1445,9.24225,127.704,0.238335,0.266606,0.468872,0.925232,0.140973,0.0400233,0.0115905
75,920.996,1,9.22376,44.8058,9.35653,123.563,0.236432,0.273636,0.457,0.946748,0.138271,0.0469304,0.00850226
76,920.726,1,9.23227,45.7199,9.07643,114.917,0.237782,0.278663,0.445429,0.984868,0.139227,0.0430318,0.0095516
77,918.102,1,9.1553,45.9851,8.88249,117.927,0.241557,0.271607,0.453572,0.968161,0.138261,0.0434126,0.00921951
78,918.067,1,9.26189,46.4644,9.3114,116.408,0.240402,0.264954,0.442088,0.979031,0.139815,0.0408483,0.00999063
79,917.178,1,9.25162,44.0866,9.97314,125.877,0.243068,0.268188,0.434363,0.954242,0.142565,0.042623,0.00902602
80,922.116,1,9.30751,44.5016,9.48752,124.054,0.238468,0.261397,0.423364,0.93008,0.140966,0.0313849,0.0151019
81,917.238,1,9.34017,44.9481,9.77585,119.87,0.245552,0.264068,0.412645,0.90653,0.140186,0.039176,0.0113147
82,917.443,1,9.37119,45.3179,9.17357,117.067,0.242809,0.257382,0.427877,0.883576,0.138237,0.0474005,0.00847223
83,927.447,1,9.32614,45.6964,9.22946,116.571,0.240499,0.267693,0.417043,0.891048,0.139398,0.0478436,0.00954817
84,917.497,1,9.39424,45.4985,9.51925,113.491,0.241809,0.262695,0.441855,0.948388,0.139864,0.0454514,0.00907076
85,919.475,1,9.52402,46.1153,9.72927,115.877,0.24926,0.277,0.430667,0.924374,0.140763,0.0514819,0.00646166
86,913.272,1,9.47711,45.3949,9.60154,110.525,0.242949,0.269986,0.419763,0.903341,0.141549,0.039747,0.00986441
87,918.33,1,9.39464,45.3632,9.27443,105.692,0.237555,0.274285,0.409134,0.936152,0.141367,0.0391357,0.0108552
88,914.898,1,9.45533,44.4525,9.34042,102.82,0.243095,0.28421,0.398774,0.938646,0.14088,0.0382113,0.0106347
89,928.23,1,9.46225,44.5124,10.2496,100.295,0.243674,0.287957,0.416953,0.946167,0.141148,0.0312771,0.0146877
90,924.029,1,9.51107,44.1666,9.578,89.9764,0.237504,0.280666,0.406396,1.01479,0.139041,0.0301119,0.0155128
91,920.876,1,9.53386,44.8503,9.84624,92.2933,0.236596,0.28371,0.396105,1.00643,0.14006,0.0452887,0.00887943
92,919.622,1,9.56362,45.1396,9.76706,91.9639,0.237005,0.276526,0.421101,0.980948,0.141038,0.0391587,0.0107659
93,929.744,1,9.51581,45.9266,9.64873,92.8664,0.241906,0.273317,0.453827,0.976068,0.140242,0.0292876,0.0155848
94,923.545,1,9.5513,45.3852,9.30482,94.6286,0.242935,0.27696,0.442336,0.97613,0.140246,0.0516798,0.00660693
95,921.992,1,9.48874,46.0745,9.10568,96.1904,0.247614,0.269947,0.431136,0.951414,0.141371,0.0430724,0.00952635
96,917.806,1,9.52919,46.4688,9.44945,97.9424,0.241344,0.263112,0.443703,0.950152,0.141594,0.0273786,0.0150854
97,917.633,1,9.44499,45.7033,9.36749,103.995,0.240417,0.266632,0.432468,0.96253,0.141329,0.0409934,0.00969687
98,918.569,1,9.49218,45.6316,9.55701,103.221,0.243121,0.259881,0.445722,0.978123,0.140192,0.0285305,0.0148326
99,914.485,1,9.50639,46.3693,9.89332,107.956,0.242212,0.275649,0.434436,0.972137,0.142516,0.029014,0.0138414
100,913.815,1,9.54341,45.1975,9.68007,100.438,0.237448,0.281462,0.423436,0.951717,0.139513,0.0454192,0.00842568
101,915.234,1,9.542,45.2189,9.54499,100.478,0.231588,0.280602,0.412714,0.958061,0.141134,0.0380561,0.0112157
102,911.533,1,9.4383,44.8661,9.79471,103.1,0.246733,0.293239,0.402264,0.961524,0.139664,0.0427249,0.00852338
103,899.36,1,9.51754,44.1162,9.88802,104.611,0.240486,0.289388,0.406952,0.937178,0.139188,0.0405886,0.00809721
104,909.657,1,9.51901,43.9108,10.0635,107.131,0.248405,0.289838,0.396648,0.913448,0.142527,0.0437333,0.00800846
105,904.517,1,9.47735,44.7615,10.2761,110.551,0.242115,0.282499,0.395053,0.918974,0.138767,0.0437193,0.00800445
106,906.965,1,9.358,43.9083,10.5592,114.518,0.255994,0.275346,0.394607,0.911711,0.141576,0.0389414,0.00925222
107,907.347,1,9.37205,44.248,10.1175,113.085,0.249657,0.268594,0.417191,0.953526,0.141805,0.0368273,0.00990399
108,904.785,1,9.26412,44.8426,10.0913,110.465,0.243335,0.261793,0.436585,1.04837,0.139649,0.0345843,0.0107027
109,906.898,1,9.27237,44.4591,9.93022,109.621,0.237174,0.261112,0.447471,1.05614,0.142266,0.0263143,0.0135063
110,913.08,1,9.30723,44.2887,9.90152,110.97,0.234724,0.254501,0.436141,1.0294,0.140646,0.0174581,0.0187363
111,911.934,1,9.32897,44.5294,9.73196,112.029,0.242295,0.249948,0.425098,1.02056,0.139444,0.0360939,0.0114123
112,919.035,1,9.39186,44.9483,9.61385,108.31,0.241358,0.247794,0.414334,0.994717,0.140649,0.0468787,0.00824332
113,915.636,1,9.39814,45.2388,9.51614,108.856,0.235848,0.243697,0.424538,0.988932,0.140899,0.0378299,0.0110877
114,916.039,1,9.39208,44.6585,10.23,115.131,0.241549,0.267346,0.431733,0.963892,0.141627,0.0372985,0.0109911
115,915.236,1,9.30328,44.791,9.87679,119.056,0.238244,0.282205,0.434843,0.939485,0.14127,0.034918,0.0116313
116,908.459,1,9.3505,44.7848,9.42609,112.902,0.238295,0.275059,0.423833,0.953236,0.139512,0.0277001,0.0143246
117,915.815,1,9.36695,45.7172,9.98302,111.204,0.236261,0.268094,0.413101,0.998295,0.142336,0.027869,0.0146194
