rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q2_simulated,standEta_V2_simulated,standEta_Q3_simulated,standEta_V3_simulated,filter
1,1,0.693031,0.675938,0.12587,0.196583,-1.78674,1.38086,0
2,1,0.470059,0.455914,0.342252,-1.41408,-3.14746,0.740985,0
3,1,0.592075,0.428483,-1.03269,0.732128,2.22838,0.444718,0
4,1,0.0440429,-0.0715593,0.18327,1.13439,-1.69255,0.494924,0
5,1,0.670211,1.70792,-2.46639,0.0384637,0.941039,0.257826,0
6,1,0.404198,0.0930666,0.595984,-0.0484841,-0.775504,-1.71865,0
7,1,0.456655,0.106019,2.18276,0.377945,1.43719,0.796662,0
8,1,0.837577,-0.169621,0.0392547,-0.461058,-1.37436,1.17122,0
9,1,0.867502,1.23533,-1.55971,0.793116,-0.977394,-0.0962131,0
10,1,0.622297,0.619459,1.00182,-1.91146,0.896513,-1.16271,0
1,2,0.791178,0.678162,0.470907,1.10196,-0.92563,-0.0316426,0
2,2,1.37848,0.94078,-1.2561,1.07923,2.47002,-0.0127062,0
3,2,0.359757,1.53458,-0.269611,1.28098,0.370566,-1.13998,0
4,2,1.19588,0.444232,1.93379,0.647635,-0.821863,1.05187,0
5,2,1.05977,0.994391,-0.571129,0.784735,-0.0968328,-0.414286,0
6,2,0.593041,0.743249,-0.581633,1.07907,0.97491,0.200699,0
7,2,0.807941,0.649965,0.67216,1.07388,-1.2864,0.560688,0
8,2,0.861914,0.369117,-0.754735,1.00666,2.08886,-0.0368548,0
9,2,-0.074007,0.492762,-1.60283,1.31338,0.717704,0.490497,0
10,2,0.996522,0.642565,-0.928313,-0.116337,-0.358339,-0.142785,0
1,3,0.816988,-0.312318,-0.3034,1.08612,-0.579831,1.2861,0
2,3,-1.2052,-0.277788,-0.831758,0.780075,-0.0437564,2.92443,0
3,3,0.364081,1.49672,-1.7816,1.29884,-1.95773,0.956955,0
4,3,1.10803,-0.296118,1.06455,0.747099,-1.35939,-0.576824,0
5,3,1.02243,0.207498,-0.64865,0.648992,0.325646,0.714508,0
6,3,-0.285813,-0.00285101,-0.0692336,0.827494,-1.75878,1.87393,0
7,3,0.844057,-0.925141,0.511635,0.274288,-0.19801,0.632615,0
8,3,1.06619,-0.0299141,-0.0416791,-1.72466,0.081343,1.2596,0
9,3,-0.0748165,0.260081,-0.324364,1.30196,1.49002,1.23311,0
10,3,0.67354,-0.101344,-0.0519678,1.12756,-2.04885,-0.19526,0
1,4,-0.720476,-0.476438,0.596303,0.414518,-0.257746,0.823531,0
2,4,-0.246957,0.0830297,-0.098563,0.776647,0.620309,1.05406,0
3,4,-0.70938,-2.08531,-0.462731,0.691551,0.0726629,0.809702,0
4,4,-0.702735,-0.839497,-1.97045,-1.24661,-0.213274,0.954716,0
5,4,-0.755482,-0.766748,-1.11218,-0.506618,2.28095,0.963511,0
6,4,-1.87129,0.269925,1.01594,1.32239,0.341745,0.0682562,0
7,4,-0.702646,-0.806832,1.2367,0.669515,-0.28895,1.00655,0
8,4,-0.180005,-0.275848,0.676694,0.205907,2.38459,0.618706,0
9,4,-0.933548,-0.666262,0.42318,0.760191,0.599985,1.41636,0
10,4,-0.135022,0.208619,-0.954549,0.707171,-0.572776,1.09144,0
1,5,-0.0518264,-1.75693,0.328667,1.00282,-1.86207,0.0603486,0
2,5,0.449132,-0.254999,0.194913,0.711342,0.55328,0.506912,0
3,5,0.515165,1.04291,-0.130878,0.935967,-0.0507463,-0.596007,0
4,5,0.489491,0.445969,-1.65622,0.732621,0.834911,-0.389085,0
5,5,0.14399,0.2711,2.14803,0.852782,1.26916,-2.17931,0
6,5,-0.8268,0.962343,-1.14334,1.25248,0.804805,1.3614,0
7,5,0.237023,0.332286,-1.74811,1.0352,1.41343,-0.429129,0
8,5,0.440697,-0.155105,0.482988,0.900217,-0.928351,0.290949,0
9,5,0.337175,0.0747763,1.90962,0.560268,1.98468,-0.458173,0
10,5,0.162838,0.0658721,-0.503514,1.09444,0.124872,0.0724577,0
1,6,0.939822,0.860224,-0.664316,0.593656,-0.974111,0.829154,0
2,6,-0.532204,1.39251,-0.319151,1.37588,-0.214621,-0.0696829,0
3,6,-0.286039,1.38357,0.262671,1.36111,-1.18654,-1.31329,0
4,6,0.732877,1.31433,-0.724546,-0.145802,0.381961,-0.839588,0
5,6,1.28855,1.13167,0.630122,-1.06022,-1.53736,0.917506,0
6,6,0.701353,1.45405,-1.36652,-0.296809,-1.67281,-0.721704,0
7,6,0.910936,1.30207,0.535785,1.08067,-2.68397,-0.832525,0
