standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q2_abscissa,standEta_Q2_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_Q3_abscissa,standEta_Q3_cdf,standEta_V3_abscissa,standEta_V3_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,All
-2.33171,0.00714286,-2.62003,0.00714286,-2.19639,0.00714286,-2.06177,0.00714286,-2.5087,0.00714286,-2.5253,0.00714286,All
-2.23762,0.0142857,-2.46994,0.0142857,-1.83171,0.0142857,-1.98886,0.0142857,-2.41838,0.0142857,-2.511,0.0142857,All
-1.83257,0.0214286,-2.44286,0.0214286,-1.7122,0.0214286,-1.89321,0.0214286,-2.13745,0.0214286,-2.10323,0.0214286,All
-1.76094,0.0285714,-2.38262,0.0285714,-1.6943,0.0285714,-1.70941,0.0285714,-2.13595,0.0285714,-1.94776,0.0285714,All
-1.66472,0.0357143,-2.38019,0.0357143,-1.67154,0.0357143,-1.69746,0.0357143,-1.90745,0.0357143,-1.84526,0.0357143,All
-1.64951,0.0428571,-2.29566,0.0428571,-1.66152,0.0428571,-1.62482,0.0428571,-1.90194,0.0428571,-1.68463,0.0428571,All
-1.60732,0.05,-2.21789,0.05,-1.62612,0.05,-1.6167,0.05,-1.7902,0.05,-1.65254,0.05,All
-1.55497,0.0571429,-2.09927,0.0571429,-1.6178,0.0571429,-1.60823,0.0571429,-1.60745,0.0571429,-1.65053,0.0571429,All
-1.55242,0.0642857,-2.09796,0.0642857,-1.528,0.0642857,-1.55491,0.0642857,-1.57067,0.0642857,-1.55248,0.0642857,All
-1.53098,0.0714286,-1.91148,0.0714286,-1.50607,0.0714286,-1.31663,0.0714286,-1.53321,0.0714286,-1.55187,0.0714286,All
-1.52063,0.0785714,-1.89637,0.0785714,-1.38211,0.0785714,-1.11873,0.0785714,-1.52798,0.0785714,-1.47073,0.0785714,All
-1.51799,0.0857143,-1.59596,0.0857143,-1.33916,0.0857143,-1.08472,0.0857143,-1.48893,0.0857143,-1.40154,0.0857143,All
-1.38961,0.0928571,-1.53029,0.0928571,-1.33097,0.0928571,-1.07293,0.0928571,-1.47589,0.0928571,-1.22004,0.0928571,All
-1.38389,0.1,-1.47751,0.1,-1.32244,0.1,-1.05065,0.1,-1.4649,0.1,-1.19603,0.1,All
-1.37011,0.107143,-1.34747,0.107143,-1.31482,0.107143,-1.04919,0.107143,-1.40135,0.107143,-1.17239,0.107143,All
-1.36908,0.114286,-1.08638,0.114286,-1.29036,0.114286,-1.02923,0.114286,-1.37745,0.114286,-1.10259,0.114286,All
-1.35472,0.121429,-1.01586,0.121429,-1.26747,0.121429,-1.02788,0.121429,-1.34171,0.121429,-1.07878,0.121429,All
-1.33552,0.128571,-0.999553,0.128571,-1.25721,0.128571,-1.00112,0.128571,-1.33894,0.128571,-1.07205,0.128571,All
-1.30777,0.135714,-0.892093,0.135714,-1.20233,0.135714,-0.969452,0.135714,-1.32377,0.135714,-1.06709,0.135714,All
-1.28345,0.142857,-0.853898,0.142857,-1.19079,0.142857,-0.969216,0.142857,-1.31939,0.142857,-1.0289,0.142857,All
-1.26482,0.15,-0.831451,0.15,-1.16975,0.15,-0.960381,0.15,-1.31914,0.15,-1.02221,0.15,All
-1.20558,0.157143,-0.819077,0.157143,-1.16164,0.157143,-0.959754,0.157143,-1.30832,0.157143,-0.883293,0.157143,All
-1.18555,0.164286,-0.801306,0.164286,-1.15981,0.164286,-0.95522,0.164286,-1.29901,0.164286,-0.849579,0.164286,All
