standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q2_abscissa,standEta_Q2_pdf,standEta_V2_abscissa,standEta_V2_pdf,standEta_Q3_abscissa,standEta_Q3_pdf,standEta_V3_abscissa,standEta_V3_pdf,split
-2.05321,0.147642,-2.42356,0.125653,-2.4759,0.0371684,-2.00523,0.0403799,-2.9134,0.0495901,-2.52271,0.0156444,All
-1.68633,0.063275,-2.05406,0.104711,-2.05952,0.092921,-1.62196,0.10095,-2.44527,0.01653,-2.02809,0.0938661,All
-1.31945,0.210917,-1.68456,0.0209422,-1.64314,0.148674,-1.2387,0.0807599,-1.97715,0.0991802,-1.53346,0.125155,All
-0.952571,0.2531,-1.31507,0,-1.22676,0.241595,-0.855436,0.14133,-1.50903,0.18183,-1.03884,0.0938661,All
-0.585692,0.421833,-0.945568,0.125653,-0.810377,0.427437,-0.472171,0.24228,-1.0409,0.281011,-0.544213,0.344176,All
-0.218813,0.442925,-0.57607,0.230364,-0.393997,0.334516,-0.088907,0.2019,-0.572779,0.314071,-0.0495877,0.312887,All
0.148066,0.316375,-0.206572,0.48167,0.0223836,0.334516,0.294357,0.383609,-0.104656,0.380191,0.445038,0.406753,All
0.514946,0.37965,0.162925,0.649208,0.438764,0.427437,0.677622,0.666269,0.363467,0.297541,0.939663,0.469331,All
0.881825,0.337467,0.532423,0.502613,0.855144,0.241595,1.06089,0.565319,0.83159,0.281011,1.43429,0.187732,All
1.2487,0.295283,0.901921,0.356017,1.27152,0.130089,1.44415,0.2019,1.29971,0.18183,1.92891,0.0782218,All
1.61558,0,1.27142,0.18848,1.6879,0.0371684,1.82741,0.0807599,1.76784,0.13224,2.42354,0.0156444,All
1.98246,0.0843667,1.64092,0.146595,2.10428,0.148674,2.21068,0.12114,2.23596,0.0991802,2.91816,0.0469331,All
