Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
5.3853,0.106646,24.5829,0.0102441,4.24988,0.0646565,48.6811,0.0445247,All
6.11089,0.0106646,29.1151,0.0170735,8.43868,0.0480305,49.2025,0.0890494,All
6.83648,0.095981,33.6473,0.0187808,12.6275,0.0517252,49.7239,0.178099,All
7.56207,0,38.1796,0.044391,16.8163,0.0369466,50.2453,0.163257,All
8.28766,0.0106646,42.7118,0.044391,21.0051,0.0240153,50.7666,0.326515,All
9.01325,0.0746519,47.2441,0.049513,25.1939,0.011084,51.288,0.311673,All
9.73884,0.287943,51.7763,0.0290249,29.3827,0.00923664,51.8094,0.28199,All
10.4644,0.138639,56.3085,0.0119514,33.5715,0.00738931,52.3308,0.252307,All
11.19,0.106646,60.8408,0.00682938,37.7603,0.00184733,52.8521,0.133574,All
11.9156,0.223956,65.373,0.00341469,41.9491,0.00184733,53.3735,0.148416,All
12.6412,0.245285,69.9053,0,46.1379,0,53.8949,0.0742078,All
13.3668,0.191962,74.4375,0.00341469,50.3267,0.00184733,54.4163,0.0742078,All
