Cl_pop,1,-0.0102,0.0264,-0.0253,-0.00568,0.0074,0.0012,-0.00854,-0.00931,0.0152
V1_pop,-0.0102,1,-0.305,0.112,0.00355,-0.083,-0.223,-0.0163,-0.0278,0.106
Q_pop,0.0264,-0.305,1,-0.154,0.00209,0.0562,0.266,0.041,0.0128,-0.0989
V2_pop,-0.0253,0.112,-0.154,1,0.0299,-0.092,0.109,-0.0512,0.00663,-0.0265
omega_Cl,-0.00568,0.00355,0.00209,0.0299,1,-0.00581,0.00464,0.0149,0.0225,-0.0491
omega_V1,0.0074,-0.083,0.0562,-0.092,-0.00581,1,-0.0741,0.148,0.0214,-0.125
omega_Q,0.0012,-0.223,0.266,0.109,0.00464,-0.0741,1,-0.122,0.0121,-0.0531
omega_V2,-0.00854,-0.0163,0.041,-0.0512,0.0149,0.148,-0.122,1,0.0429,-0.278
a1,-0.00931,-0.0278,0.0128,0.00663,0.0225,0.0214,0.0121,0.0429,1,-0.126
a2,0.0152,0.106,-0.0989,-0.0265,-0.0491,-0.125,-0.0531,-0.278,-0.126,1
