iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,685.125,1,10.2171,14.8705,44.1718,25.646,0.3,1.5,1.5,1.5,1.5
2,658.921,1,10.0897,15.3189,41.5745,35.0099,0.24,1.34164,1.51053,1.34164,1.51052
3,623.3,1,9.73086,13.9519,38.6961,35.1265,0.192,1.2,1.66363,1.2,1.38104
4,587.285,1,9.47437,14.6672,41.8325,48.164,0.1536,1.07331,1.488,1.07331,1.3348
5,559.404,1,9.21851,14.7379,41.6882,53.655,0.139672,0.96,1.3309,0.96,1.27596
6,539.846,1,9.23003,13.4059,40.4092,51.4018,0.129076,0.85865,1.22669,0.85865,1.22217
7,526.03,1,9.29594,13.4966,37.9213,54.6443,0.123085,0.768,1.17231,0.768,1.14365
8,519.348,1,9.33254,12.6203,37.8768,57.2059,0.123109,0.68692,1.17178,0.68692,1.05346
9,488.494,1,9.48218,12.3877,39.5868,60.4263,0.112575,0.6144,1.14517,0.6144,1.02148
10,490.128,1,9.46926,13.1032,38.3424,64.1746,0.112861,0.549536,1.15674,0.549536,0.994412
11,478.305,1,9.48405,13.1801,37.5837,65.4332,0.108963,0.49152,1.18431,0.49152,0.926574
12,475.565,1,9.51716,13.8921,37.8931,67.0371,0.109366,0.439629,1.15432,0.439629,0.946215
13,462.257,1,9.4812,13.2503,38.87,63.2492,0.105403,0.393216,1.07129,0.393216,0.957537
14,460.761,1,9.49244,13.2775,38.578,64.4294,0.106028,0.351703,1.01815,0.372216,0.946287
15,443.436,1,9.65708,12.3984,40.3677,63.7539,0.103361,0.314573,0.948378,0.33292,0.885555
16,437.523,1,9.74031,12.4411,42.078,63.7947,0.103109,0.29573,0.928685,0.297773,0.90641
17,432.635,1,9.80965,12.02,43.4065,64.2024,0.102333,0.287007,0.872118,0.273962,0.910063
18,421.341,1,9.75479,10.9876,43.2376,63.1056,0.0969013,0.292418,0.850727,0.247274,0.946765
19,413.302,1,9.6866,10.22,43.7096,66.137,0.0942958,0.287591,0.800882,0.23597,0.974476
20,415.747,1,9.712,10.0486,44.3992,67.2997,0.0962972,0.278998,0.793489,0.226877,0.996084
21,405.439,1,9.76424,10.9996,44.3207,68.827,0.0918744,0.279247,0.741098,0.238524,0.967696
22,404.787,1,9.77649,10.837,44.8188,70.3188,0.0928422,0.283999,0.742577,0.229407,0.912049
23,397.889,1,9.8155,10.4499,45.3053,68.6551,0.0927225,0.275244,0.698194,0.213138,0.894597
24,402.368,1,9.79109,10.4045,45.8521,69.9697,0.0932296,0.285752,0.732799,0.202442,0.889624
25,393.856,1,9.75144,9.67657,46.6191,81.75,0.0926906,0.290476,0.689915,0.190537,0.823578
26,394.968,1,9.7469,9.10874,46.9182,86.1657,0.0943088,0.285817,0.679898,0.184122,0.798801
27,398.498,1,9.73228,8.87273,47.0168,85.8148,0.094768,0.280111,0.693172,0.192039,0.790877
28,386.803,1,9.87046,8.81724,46.7276,79.7437,0.094322,0.270432,0.673957,0.172686,0.729615
