iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,bias_pop,omega_Cl,omega_V1,omega_Q,omega_V2,bias_sd,corr_V2_V1,a1,a2
1,1720.27,1,5.806,0.446158,22.554,6.944,26.519,0.014,1.5,1.5,1.5,1.5,1.5,0.999,1.5,1.5
2,1705.14,1,3.94085,0.922486,41.608,6.07927,48.9529,0.0206726,1.46202,1.46202,1.75184,1.46202,1.76774,0.999,1.46202,1.46202
3,1696.64,1,3.8341,-0.391284,53.7782,5.71821,63.4788,0.0196932,1.425,1.425,1.87538,1.425,1.72298,0.999,1.425,1.425
4,1687.6,1,3.86281,0.610129,66.6357,5.69596,78.0556,0.0186104,1.38892,1.38892,1.93433,1.38892,1.67936,0.999,1.38892,1.38892
5,1665.13,1,4.26069,0.539491,64.0529,4.18827,75.5021,0.0151994,1.35375,1.35375,1.88535,1.35375,1.63683,0.999,1.35375,1.35375
6,1665.65,1,3.62676,0.682173,65.8367,3.94255,78.7052,0.0130769,1.31947,1.31947,1.99685,1.31947,1.64298,0.999,1.31947,1.31947
7,1663.5,1,3.18791,0.78076,67.021,3.17907,79.3288,0.0150478,1.28606,1.28606,2.04131,1.28606,1.60137,0.999,1.28606,1.28606
8,1635.78,1,3.65516,1.09682,65.2209,3.27485,77.2621,0.0137318,1.2535,1.2535,1.98962,1.2535,1.56083,0.999,1.2535,1.2535
9,1623.51,1,3.69246,0.927053,58.028,2.87832,68.6783,0.0159732,1.22176,1.22176,1.93924,1.22176,1.52131,0.999,1.22176,1.22176
10,1611.25,1,3.75958,0.538049,53.8513,2.05434,64.075,0.0129235,1.19082,1.19082,1.89014,1.19082,1.48279,0.999,1.19082,1.19082
11,1598.42,1,4.55646,1.11747,62.0334,2.18327,74.5327,0.0116752,1.16067,1.16067,1.84228,1.16067,1.44524,0.999,1.16067,1.16067
12,1589.9,1,3.58512,1.65452,67.0448,2.29349,81.4177,0.0117362,1.13128,1.13128,1.79563,1.13128,1.40865,0.999,1.13128,1.13128
13,1595.73,1,3.82122,1.35269,71.677,2.47488,88.2337,0.0140172,1.10264,1.10264,1.83928,1.10264,1.55531,0.999,1.10264,1.10264
14,1577.54,1,3.51264,1.41288,76.0039,1.90843,94.3213,0.0104302,1.07472,1.07472,1.79271,1.07472,1.51593,0.999,1.07472,1.07472
15,1558.43,1,4.00389,1.55499,79.7975,2.21095,99.5217,0.00751122,1.04751,1.04751,1.82972,1.04751,1.47755,0.999,1.04751,1.04751
16,1564.14,1,4.30874,1.2591,76.7322,2.62206,96.4302,0.00840247,1.02098,1.02098,1.8885,1.02098,1.44013,0.999,1.02098,1.02098
17,1543.9,1,3.80828,1.46865,68.8808,3.69829,86.3263,0.0100543,0.995131,0.995131,1.84069,0.995131,1.41966,0.999,0.995131,0.995131
18,1533.42,1,4.52433,1.05446,55.0027,4.47567,69.2604,0.0112763,0.969933,0.969933,1.79424,0.969933,1.38371,0.999,0.969933,0.969933
19,1503.91,1,5.16282,0.853104,41.5484,4.698,52.635,0.0133054,0.945374,0.945374,1.74881,0.945374,1.34868,0.999,0.945374,0.945374
20,1496.47,1,5.25667,0.303058,36.2634,7.5284,46.2636,0.013699,0.921437,0.921437,1.8144,0.921437,1.55049,0.999,0.921437,0.921437
21,1487.23,1,5.40836,0.474478,36.5709,6.91397,46.0728,0.0111371,0.898105,0.898105,1.85392,0.898105,1.63451,0.999,0.898105,0.898105
22,1474.55,1,5.25661,0.663049,32.9757,7.72349,41.8909,0.0104617,0.875365,0.875365,1.80698,0.875365,1.59312,0.999,0.875365,0.875365
23,1472.18,1,5.03407,0.561048,29.955,8.53172,38.0633,0.008828,0.8532,0.8532,1.76123,0.8532,1.70949,0.999,0.8532,0.8532
24,1443.6,1,5.06925,0.558066,30.3254,5.41212,38.8275,0.00702212,0.831597,0.831597,1.71663,0.831597,1.6662,0.999,0.831597,0.831597
25,1435.7,1,5.25447,0.651177,30.1483,6.17409,38.4163,0.00658049,0.81054,0.81054,1.67317,0.81054,1.62401,0.999,0.81054,0.81054
26,1420.16,1,5.13613,0.331709,30.3345,6.29988,38.5608,0.00654022,0.790017,0.790017,1.73675,0.790017,1.58289,0.999,0.790017,0.790017
27,1410.19,1,5.19584,0.751221,29.4559,5.18335,37.3576,0.0062493,0.770013,0.770013,1.69278,0.770013,1.59954,0.999,0.770013,0.770013
28,1392.29,1,5.51794,0.695376,28.0076,8.51808,35.5857,0.00541968,0.750516,0.750516,1.64992,0.750516,1.81912,0.999,0.750516,0.750516
29,1394.78,1,5.37708,0.593616,29.6837,8.71081,37.6838,0.00739717,0.731512,0.731512,1.60814,0.731512,2.00572,0.999,0.731512,0.731512
30,1371.36,1,5.37488,0.560949,28.9922,7.78496,36.8124,0.00619386,0.71299,0.71299,1.56742,0.71299,2.01207,0.999,0.71299,0.71299
31,1365.45,1,5.34201,0.437332,26.2436,7.02239,33.4003,0.00442314,0.694937,0.694937,1.52773,0.694937,1.96112,0.999,0.694937,0.694937
32,1352.17,1,5.45518,0.539619,26.7429,6.84881,34.0737,0.00473003,0.677341,0.677341,1.48905,0.677341,1.91146,0.999,0.677341,0.677341
33,1334.81,1,5.5987,0.613311,26.9915,6.75865,34.4091,0.00331884,0.66019,0.66019,1.45135,0.66019,1.86307,0.999,0.66019,0.66019
