Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q2_abscissa,Q2_pdf,V2_abscissa,V2_pdf,Q3_abscissa,Q3_pdf,V3_abscissa,V3_pdf,split
4.66952,0.0695471,2.2768,0.141633,64.4008,0.00158481,24.3935,0.0108155,3.39161,0.0576516,76.5794,0.00379902,All
5.44837,0.0596118,5.33635,0.0986374,93.6967,0.00633926,32.2636,0.012782,4.73383,0.17872,188.607,0.00214127,All
6.22722,0.0496765,8.39589,0.0531125,122.993,0.00898061,40.1337,0.0285137,6.07604,0.184485,300.635,0.00200312,All
7.00607,0.119224,11.4554,0.0278208,152.289,0.00633926,48.0037,0.0265472,7.41826,0.155659,412.662,0.000345365,All
7.78491,0.119224,14.515,0.0202333,181.584,0.00501858,55.8738,0.0226143,8.76048,0.126833,524.69,0.000690731,All
8.56376,0.129159,17.5745,0.00505833,210.88,0.0036979,63.7439,0.0235975,10.1027,0.0461213,636.718,0.000483512,All
9.34261,0.238447,20.6341,0.00252917,240.176,0.00184895,71.6139,0.00294969,11.4449,0.0403561,748.745,0,All
10.1215,0.178835,23.6936,0,269.472,0.00158481,79.484,0.000983231,12.7871,0.0115303,860.773,0,All
10.9003,0.139094,26.7532,0.00252917,298.768,0.00105654,87.3541,0.00393292,14.1293,0,972.801,0,All
11.6792,0.149029,29.8127,0,328.064,0.000264136,95.2241,0.000983231,15.4716,0,1084.83,6.90731e-05,All
12.458,0.0894177,32.8723,0,357.36,0,103.094,0.00196646,16.8138,0,1196.86,0,All
13.2369,0.0496765,35.9318,0.00252917,386.656,0.000264136,110.964,0.00196646,18.156,0.00576516,1308.88,0.000138146,All
