Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q2_abscissa,Q2_cdf,V2_abscissa,V2_cdf,Q3_abscissa,Q3_cdf,V3_abscissa,V3_cdf,split
3.79589,0,27.5441,0,0.808186,0.00714286,15.8383,0.00714286,1.50592e-12,0.00714286,5.93513e-07,0.00714286,All
4.66255,0.00714286,38.3308,0.00714286,0.882645,0.0142857,18.5611,0.0142857,1.26182e-11,0.0142857,5.81978e-06,0.0142857,All
5.21623,0.0142857,39.0382,0.0142857,0.899073,0.0214286,28.1491,0.0214286,2.99979e-11,0.0214286,0.000172591,0.0214286,All
5.30194,0.0214286,39.6961,0.0214286,0.909418,0.0285714,29.3025,0.0285714,4.22557e-11,0.0285714,0.00030334,0.0285714,All
5.45504,0.0285714,39.9315,0.0285714,0.973713,0.0357143,30.696,0.0357143,4.84231e-11,0.0357143,0.000413581,0.0357143,All
5.50219,0.0357143,40.0626,0.0357143,0.990765,0.0428571,31.6999,0.0428571,5.10411e-11,0.0428571,0.000513856,0.0428571,All
5.5094,0.0428571,40.3538,0.0428571,1.18416,0.05,32.7986,0.05,8.86365e-11,0.05,0.000854909,0.05,All
5.64988,0.05,40.5274,0.05,1.28595,0.0571429,32.8815,0.0571429,6.59528e-10,0.0571429,0.00203573,0.0571429,All
5.78783,0.0571429,40.5456,0.0571429,1.40888,0.0642857,34.2834,0.0642857,8.60242e-10,0.0642857,0.00342077,0.0642857,All
6.05313,0.0642857,40.6888,0.0642857,1.601,0.0714286,35.0522,0.0714286,2.35562e-09,0.0714286,0.00409205,0.0714286,All
6.08739,0.0714286,41.0086,0.0714286,1.60485,0.0785714,36.3109,0.0785714,3.90247e-09,0.0785714,0.00432202,0.0785714,All
6.3526,0.0785714,41.6778,0.0785714,1.81429,0.0857143,36.5134,0.0857143,3.92517e-09,0.0857143,0.00930141,0.0857143,All
6.57348,0.0857143,41.9703,0.0857143,2.29026,0.0928571,37.0708,0.0928571,4.2192e-09,0.0928571,0.00969673,0.0928571,All
6.6033,0.0928571,42.2532,0.0928571,2.32977,0.1,37.5588,0.1,4.36318e-09,0.1,0.0366783,0.1,All
6.72065,0.1,42.4797,0.1,2.34422,0.107143,38.1512,0.107143,5.62693e-09,0.107143,0.0394035,0.107143,All
6.74131,0.107143,42.5174,0.107143,2.49906,0.114286,38.3314,0.114286,6.72159e-09,0.114286,0.0478235,0.114286,All
6.80496,0.114286,42.6329,0.114286,2.75387,0.121429,38.6079,0.121429,7.71809e-09,0.121429,0.0527786,0.121429,All
6.84463,0.121429,42.6749,0.121429,3.03531,0.128571,38.707,0.128571,8.24018e-09,0.128571,0.0532336,0.128571,All
6.89768,0.128571,42.8413,0.128571,3.05566,0.135714,39.4514,0.135714,1.152e-08,0.135714,0.0724602,0.135714,All
7.02499,0.135714,42.9536,0.135714,3.60138,0.142857,39.5049,0.142857,1.213e-08,0.142857,0.141734,0.142857,All
7.12935,0.142857,43.2715,0.142857,3.64033,0.15,39.8885,0.15,1.27551e-08,0.15,0.222024,0.15,All
8.69531,0.15,43.2775,0.15,3.66714,0.157143,41.2283,0.157143,1.35522e-08,0.157143,0.249923,0.157143,All
8.81494,0.157143,43.5035,0.157143,3.68467,0.164286,41.3285,0.164286,1.59324e-08,0.164286,0.27278,0.164286,All
8.83576,0.164286,43.618,0.164286,3.72919,0.171429,42.0575,0.171429,1.7404e-08,0.171429,0.312699,0.171429,All
