Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q2_abscissa,Q2_pdf,Q2_cdf,V2_abscissa,V2_pdf,V2_cdf,Q3_abscissa,Q3_pdf,Q3_cdf,V3_abscissa,V3_pdf,V3_cdf,split
3.79589,0.000208345,4.84166e-05,27.5441,1.28212e-12,3.60434e-13,0.808186,0.0129034,0.00299663,15.8383,0.000114269,0.000195809,1.50592e-12,1.63867e+09,0.00509041,5.93513e-07,632.373,0.00063362,All
4.03271,0.000484626,0.000126615,28.0776,7.69969e-12,2.28556e-12,1.5109,0.0380471,0.0209613,18.0862,0.000298813,0.000635628,1.7857,0.0041384,0.982128,9.63657e+07,4.67332e-11,0.990046,All
4.26952,0.00101929,0.000298234,28.6111,4.19235e-11,1.31417e-11,2.21361,0.0573066,0.0549626,20.334,0.000640012,0.00165684,3.57141,0.0016095,0.986663,1.92731e+08,1.76478e-11,0.992771,All
4.50634,0.00196509,0.000641737,29.1445,2.07953e-10,6.88543e-11,2.91632,0.0684484,0.0995767,22.5819,0.00118104,0.00366324,5.35711,0.000920545,0.988825,2.89097e+08,9.91987e-12,0.99404,All
4.74315,0.00351195,0.00127634,29.678,9.43952e-10,3.30223e-10,3.61904,0.0734145,0.149716,24.8298,0.0019438,0.0071333,7.14281,0.000617538,0.990167,3.85463e+08,6.5728e-12,0.994816,All
4.97997,0.00587325,0.00236939,30.2115,3.93768e-09,1.45591e-09,4.32175,0.0743113,0.201807,27.0776,0.00292414,0.0125657,8.92851,0.000452356,0.99111,4.81829e+08,4.76853e-12,0.995354,All
5.21678,0.00926408,0.00413943,30.745,1.5155e-08,5.92454e-09,5.02446,0.0727039,0.253572,29.3255,0.0040935,0.0204216,10.7142,0.000350408,0.99182,5.78194e+08,3.66482e-12,0.995757,All
5.4536,0.0138749,0.00685359,31.2785,5.40144e-08,2.23362e-08,5.72717,0.0696445,0.303649,31.5734,0.00540479,0.0310756,12.4999,0.000282155,0.992381,6.7456e+08,2.93131e-12,0.996072,All
5.69042,0.0198447,0.0108185,31.812,1.78905e-07,7.82961e-08,6.42989,0.0658129,0.351274,33.8212,0.00680018,0.0447831,14.2856,0.000233749,0.992839,7.70926e+08,2.41437e-12,0.996329,All
5.92723,0.0272384,0.0163653,32.3455,5.52488e-07,2.5604e-07,7.1326,0.0616385,0.396065,36.0691,0.00821874,0.0616647,16.0713,0.000197912,0.993223,8.67292e+08,2.03376e-12,0.996542,All
