Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Cl_vs_bias_abscissa,Cl_vs_bias_spline,Cl_vs_bias_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,Q_vs_bias_abscissa,Q_vs_bias_spline,Q_vs_bias_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V1_vs_bias_abscissa,V1_vs_bias_spline,V1_vs_bias_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression,V2_vs_bias_abscissa,V2_vs_bias_spline,V2_vs_bias_regression,bias_vs_Cl_abscissa,bias_vs_Cl_spline,bias_vs_Cl_regression,bias_vs_Q_abscissa,bias_vs_Q_spline,bias_vs_Q_regression,bias_vs_V1_abscissa,bias_vs_V1_spline,bias_vs_V1_regression,bias_vs_V2_abscissa,bias_vs_V2_spline,bias_vs_V2_regression
-1.16355,0.189505,0.155264,-0.714733,0.0554311,-0.0867617,-1.44757,0.070254,-0.0670178,-4.70708,-0.260354,-0.0942819,-0.49803,-0.111257,0.220291,-0.714733,-0.34589,-0.215768,-1.44757,-0.346698,-0.215282,-4.70708,0.171287,0.0241712,-0.49803,-0.157127,-0.0980829,-1.16355,0.00613022,-0.1739,-1.44757,-0.709199,-0.701667,-4.70708,-0.105454,0.018625,-0.49803,-0.329374,-0.166952,-1.16355,0.0119184,-0.365997,-0.714733,-1.44579,-1.44364,-4.70708,-0.235952,0.0235508,-0.49803,-3.92801,-4.97927,-1.16355,0.1334,0.894826,-0.714733,0.952703,0.970415,-1.44757,0.962113,0.912431
-1.14761,0.184398,0.153104,-0.701786,0.0503092,-0.0852216,-1.42205,0.0657973,-0.0658589,-4.49829,-0.238871,-0.0901327,-0.490122,-0.095872,0.216757,-0.701786,-0.334554,-0.211866,-1.42205,-0.336395,-0.211461,-4.49829,0.148335,0.0230232,-0.490122,-0.153673,-0.0965706,-1.14761,-0.000361734,-0.171558,-1.42205,-0.696152,-0.689193,-4.49829,-0.0806505,0.0176399,-0.490122,-0.321877,-0.164586,-1.14761,-0.00102293,-0.361231,-0.701786,-1.42018,-1.41771,-4.49829,-0.181696,0.0216528,-0.490122,-3.94473,-4.90098,-1.14761,0.122707,0.881589,-0.701786,0.94031,0.951485,-1.42205,0.945632,0.894887
-1.13166,0.179291,0.150944,-0.688839,0.0451873,-0.0836815,-1.39653,0.0613406,-0.0647,-4.2895,-0.217389,-0.0859836,-0.482213,-0.0804874,0.213223,-0.688839,-0.323217,-0.207964,-1.39653,-0.326091,-0.207639,-4.2895,0.125383,0.0218753,-0.482213,-0.150218,-0.0950583,-1.13166,-0.00685368,-0.169217,-1.39653,-0.683106,-0.676719,-4.2895,-0.0558474,0.0166548,-0.482213,-0.31438,-0.16222,-1.13166,-0.0139643,-0.356464,-0.688839,-1.39458,-1.39177,-4.2895,-0.127439,0.0197548,-0.482213,-3.96144,-4.82268,-1.13166,0.112014,0.868351,-0.688839,0.927917,0.932554,-1.39653,0.929152,0.877343
-1.11571,0.174183,0.148784,-0.675892,0.0400655,-0.0821414,-1.37101,0.0568839,-0.0635411,-4.08071,-0.196901,-0.0818344,-0.474305,-0.0651028,0.209688,-0.675892,-0.311881,-0.204061,-1.37101,-0.315788,-0.203818,-4.08071,0.104419,0.0207273,-0.474305,-0.146764,-0.093546,-1.11571,-0.0133456,-0.166875,-1.37101,-0.67006,-0.664246,-4.08071,-0.0339939,0.0156697,-0.474305,-0.306883,-0.159855,-1.11571,-0.0269056,-0.351697,-0.675892,-1.36897,-1.36584,-4.08071,-0.0797335,0.0178569,-0.474305,-3.97816,-4.74439,-1.11571,0.101321,0.855114,-0.675892,0.915524,0.913624,-1.37101,0.912672,0.859799
-1.09976,0.169076,0.146625,-0.662945,0.0349436,-0.0806013,-1.34549,0.0524272,-0.0623821,-3.87192,-0.177721,-0.0776852,-0.466396,-0.0497183,0.206154,-0.662945,-0.300545,-0.200159,-1.34549,-0.305485,-0.199997,-3.87192,0.0860761,0.0195793,-0.466396,-0.14331,-0.0920337,-1.09976,-0.0198376,-0.164534,-1.34549,-0.657014,-0.651772,-3.87192,-0.0160252,0.0146846,-0.466396,-0.299386,-0.157489,-1.09976,-0.0398469,-0.34693,-0.662945,-1.34336,-1.33991,-3.87192,-0.0406551,0.0159589,-0.466396,-3.99488,-4.6661,-1.09976,0.0906284,0.841877,-0.662945,0.90313,0.894694,-1.34549,0.896191,0.842255
-1.08382,0.163969,0.144465,-0.649998,0.0298217,-0.0790612,-1.31996,0.0479705,-0.0612232,-3.66313,-0.158541,-0.0735361,-0.458488,-0.0343337,0.20262,-0.649998,-0.289208,-0.196257,-1.31996,-0.295181,-0.196175,-3.66313,0.0677327,0.0184313,-0.458488,-0.139855,-0.0905214,-1.08382,-0.0263295,-0.162192,-1.31996,-0.643967,-0.639298,-3.66313,0.00194346,0.0136995,-0.458488,-0.291889,-0.155123,-1.08382,-0.0527883,-0.342163,-0.649998,-1.31776,-1.31398,-3.66313,-0.00157674,0.0140609,-0.458488,-4.01159,-4.5878,-1.08382,0.0799354,0.82864,-0.649998,0.890737,0.875763,-1.31996,0.879711,0.824711
-1.06787,0.158861,0.142305,-0.63705,0.0246999,-0.0775211,-1.29444,0.0435138,-0.0600643,-3.45434,-0.139361,-0.0693869,-0.450579,-0.0189491,0.199086,-0.63705,-0.277872,-0.192354,-1.29444,-0.284878,-0.192354,-3.45434,0.0493894,0.0172833,-0.450579,-0.136401,-0.0890091,-1.06787,-0.0328215,-0.159851,-1.29444,-0.630921,-0.626824,-3.45434,0.0199121,0.0127143,-0.450579,-0.284392,-0.152757,-1.06787,-0.0657296,-0.337396,-0.63705,-1.29215,-1.28805,-3.45434,0.0375017,0.012163,-0.450579,-4.02831,-4.50951,-1.06787,0.0692424,0.815403,-0.63705,0.878344,0.856833,-1.29444,0.863231,0.807167
-1.05192,0.153754,0.140146,-0.624103,0.019578,-0.075981,-1.26892,0.039057,-0.0589054,-3.24555,-0.121768,-0.0652377,-0.442671,-0.0035645,0.195551,-0.624103,-0.266536,-0.188452,-1.26892,-0.274575,-0.188533,-3.24555,0.0341506,0.0161353,-0.442671,-0.132946,-0.0874967,-1.05192,-0.0393134,-0.157509,-1.26892,-0.617875,-0.614351,-3.24555,0.0333131,0.0117292,-0.442671,-0.276895,-0.150391,-1.05192,-0.0786709,-0.33263,-0.624103,-1.26655,-1.26211,-3.24555,0.0664419,0.010265,-0.442671,-4.04502,-4.43121,-1.05192,0.0585495,0.802166,-0.624103,0.865951,0.837902,-1.26892,0.846751,0.789624
-1.03597,0.148646,0.137986,-0.611156,0.0144561,-0.0744409,-1.2434,0.0346003,-0.0577465,-3.03676,-0.10524,-0.0610885,-0.434762,0.0118201,0.192017,-0.611156,-0.255199,-0.18455,-1.2434,-0.264272,-0.184712,-3.03676,0.0209983,0.0149873,-0.434762,-0.129492,-0.0859844,-1.03597,-0.0458054,-0.155167,-1.2434,-0.604828,-0.601877,-3.03676,0.0436444,0.0107441,-0.434762,-0.269398,-0.148025,-1.03597,-0.0916123,-0.327863,-0.611156,-1.24094,-1.23618,-3.03676,0.0885693,0.00836702,-0.434762,-4.06174,-4.35292,-1.03597,0.0478565,0.788928,-0.611156,0.853557,0.818972,-1.2434,0.83027,0.77208
-1.02003,0.143539,0.135826,-0.598209,0.00933423,-0.0729008,-1.21788,0.0301436,-0.0565875,-2.82797,-0.088713,-0.0569394,-0.426853,0.0272047,0.188483,-0.598209,-0.243863,-0.180647,-1.21788,-0.253968,-0.18089,-2.82797,0.00784591,0.0138393,-0.426853,-0.126038,-0.0844721,-1.02003,-0.0522973,-0.152826,-1.21788,-0.591782,-0.589403,-2.82797,0.0539758,0.00975903,-0.426853,-0.261902,-0.14566,-1.02003,-0.104554,-0.323096,-0.598209,-1.21534,-1.21025,-2.82797,0.110697,0.00646905,-0.426853,-4.07845,-4.27462,-1.02003,0.0371635,0.775691,-0.598209,0.841164,0.800042,-1.21788,0.81379,0.754536
