simulations,OFV
500,1192.85
1000,1192.07
1500,1191.47
2000,1189.83
2500,1190.28
3000,1190.84
3500,1190.77
4000,1190.81
4500,1191.29
5000,1191.36
5500,1191.49
6000,1191.76
6500,1191.23
7000,1191.03
7500,1190.93
8000,1191.19
8500,1191.47
9000,1191.2
9500,1190.82
10000,1190.36
10500,1189.23
11000,1189.34
11500,1189.04
12000,1188.82
12500,1188.99
13000,1188.72
13500,1188.7
14000,1188.65
14500,1187.59
15000,1187.71
15500,1187.68
16000,1187.78
16500,1187.79
17000,1187.88
17500,1187.9
18000,1187.6
18500,1187.78
19000,1187.68
19500,1187.63
20000,1187.48
20500,1187.56
21000,1187.37
21500,1187.45
22000,1187.41
22500,1187.37
23000,1187.15
23500,1187.09
24000,1187.02
24500,1187.03
25000,1187.11
25500,1187.16
26000,1187.1
26500,1187.15
27000,1187.14
27500,1187.19
28000,1187.32
28500,1187.35
29000,1187.45
29500,1187.54
30000,1187.62
