iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
1,1514.95,1,2.62973,6.10874,10.2532,10.8487,1,1,0.624405,0.998761,1.5,1.5,1.5,1.2
2,1497.95,1,4.98834,9.20115,22.8262,20.679,0.974679,0.974679,0.680272,0.998761,1.46202,1.54553,1.46202,1.16962
3,1493.99,1,4.71598,9.03947,25.4188,22.6393,0.95,0.95,1.06563,0.998761,1.425,1.5064,1.425,1.14
4,1472.29,1,4.34895,11.6575,25.3919,22.7357,0.925945,0.925945,0.883,0.998761,1.38892,1.46826,1.38892,1.11113
5,1457.94,1,4.7058,9.34814,28.3192,24.651,0.9025,0.9025,0.917872,0.998761,1.35375,1.43108,1.35375,1.083
6,1446.18,1,4.65573,10.0261,35.8068,29.8515,0.879648,0.879648,1.02173,0.998761,1.31947,1.39484,1.31947,1.05558
7,1434.36,1,4.76346,10.9852,35.441,29.3384,0.857375,0.857375,0.981521,0.998761,1.28606,1.35953,1.28606,1.02885
8,1419.46,1,5.03489,9.68727,32.0701,26.8255,0.835666,0.835666,0.659227,0.998761,1.2535,1.34124,1.2535,1.0028
9,1402.27,1,4.93577,7.18556,37.9766,31.0158,0.814506,0.814506,0.782398,0.998761,1.22176,1.30728,1.22176,0.977407
10,1389.66,1,5.54402,6.61325,33.9449,28.4964,0.793882,0.793882,0.52506,0.998761,1.19082,1.27418,1.19082,0.952659
11,1388.14,1,5.2319,5.4971,36.3967,29.9248,0.773781,0.773781,0.4797,0.998761,1.16067,1.24191,1.16067,0.928537
12,1368.28,1,5.23987,5.67239,30.2169,25.8119,0.754188,0.754188,0.33533,0.998761,1.13128,1.21047,1.13128,0.905026
13,1369.04,1,5.33008,6.95265,29.3323,25.0069,0.735092,0.735092,0.488933,0.998761,1.10264,1.24637,1.10264,0.88211
14,1358.35,1,5.11603,7.0246,30.0208,25.3899,0.716479,0.716479,0.484848,0.998761,1.07472,1.32234,1.07472,0.859775
15,1347.68,1,5.02067,7.8333,30.5755,25.8595,0.698337,0.698337,0.653724,0.998761,1.04751,1.42034,1.04751,0.838005
16,1341.87,1,4.99744,8.51773,27.9521,23.9599,0.680655,0.680655,0.626249,0.998761,1.02098,1.44982,1.02098,0.816786
17,1329.26,1,4.98573,7.84158,27.6285,24.0509,0.66342,0.66342,0.555798,0.998761,0.995131,1.46312,0.995131,0.796105
18,1320.07,1,5.32774,9.49115,28.9711,24.8814,0.646622,0.646622,0.425452,0.998761,0.969933,1.42607,0.969933,0.775947
19,1302.17,1,4.92783,10.7339,27.1039,23.4792,0.630249,0.630249,0.580309,0.998761,0.945374,1.42816,0.945374,0.756299
