time,amt,tinf,admtype,treat
0,500,1,1,explorationGroup1
6,500,1,1,explorationGroup1
12,500,1,1,explorationGroup1
18,500,1,1,explorationGroup1
24,500,1,1,explorationGroup1
30,500,1,1,explorationGroup1
36,500,1,1,explorationGroup1
42,500,1,1,explorationGroup1
48,500,1,1,explorationGroup1
54,500,1,1,explorationGroup1
60,500,1,1,explorationGroup1
66,500,1,1,explorationGroup1
72,500,1,1,explorationGroup1
78,500,1,1,explorationGroup1
84,500,1,1,explorationGroup1
90,500,1,1,explorationGroup1
96,500,1,1,explorationGroup1
102,500,1,1,explorationGroup1
108,500,1,1,explorationGroup1
114,500,1,1,explorationGroup1
120,500,1,1,explorationGroup1
126,500,1,1,explorationGroup1
132,500,1,1,explorationGroup1
138,500,1,1,explorationGroup1
144,500,1,1,explorationGroup1
150,500,1,1,explorationGroup1
156,500,1,1,explorationGroup1
162,500,1,1,explorationGroup1
168,500,1,1,explorationGroup1
174,500,1,1,explorationGroup1
180,500,1,1,explorationGroup1
186,500,1,1,explorationGroup1
192,500,1,1,explorationGroup1
198,500,1,1,explorationGroup1
204,500,1,1,explorationGroup1
210,500,1,1,explorationGroup1
216,500,1,1,explorationGroup1
222,500,1,1,explorationGroup1
228,500,1,1,explorationGroup1
234,500,1,1,explorationGroup1
240,500,1,1,explorationGroup1
0,1000,1,1,explorationGroup2
12,1000,1,1,explorationGroup2
24,1000,1,1,explorationGroup2
36,1000,1,1,explorationGroup2
48,1000,1,1,explorationGroup2
60,1000,1,1,explorationGroup2
72,1000,1,1,explorationGroup2
84,1000,1,1,explorationGroup2
96,1000,1,1,explorationGroup2
108,1000,1,1,explorationGroup2
120,1000,1,1,explorationGroup2
132,1000,1,1,explorationGroup2
144,1000,1,1,explorationGroup2
156,1000,1,1,explorationGroup2
168,1000,1,1,explorationGroup2
180,1000,1,1,explorationGroup2
192,1000,1,1,explorationGroup2
204,1000,1,1,explorationGroup2
216,1000,1,1,explorationGroup2
228,1000,1,1,explorationGroup2
240,1000,1,1,explorationGroup2
0,2400,24,1,explorationGroup3
24,2400,24,1,explorationGroup3
48,2400,24,1,explorationGroup3
72,2400,24,1,explorationGroup3
96,2400,24,1,explorationGroup3
120,2400,24,1,explorationGroup3
144,2400,24,1,explorationGroup3
168,2400,24,1,explorationGroup3
192,2400,24,1,explorationGroup3
216,2400,24,1,explorationGroup3
240,2400,24,1,explorationGroup3
