iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q
32,1.66764,0.265745,24.3127,0.0936522,6.30777,0.13398
33,1.66728,0.264518,24.3158,0.0937704,6.3115,0.134052
34,1.66636,0.263881,24.3145,0.0933624,6.31547,0.133911
35,1.66428,0.263523,24.3001,0.0932874,6.32384,0.133898
36,1.66193,0.263205,24.2856,0.0931875,6.33286,0.134
37,1.6602,0.262245,24.2692,0.0934504,6.33727,0.133791
38,1.65828,0.262177,24.2674,0.0937083,6.34326,0.133501
39,1.65813,0.260954,24.2705,0.093769,6.3469,0.132936
40,1.65727,0.259561,24.2628,0.093598,6.3523,0.132493
41,1.65579,0.259749,24.2707,0.0937387,6.35967,0.132172
42,1.65412,0.260784,24.2751,0.0937379,6.3676,0.131867
43,1.65243,0.26231,24.2769,0.0937462,6.37323,0.131708
44,1.65114,0.263104,24.2736,0.0936962,6.37954,0.131787
45,1.6505,0.262786,24.287,0.093748,6.38475,0.132099
46,1.64966,0.262835,24.293,0.093904,6.38732,0.132263
47,1.64842,0.263087,24.283,0.0938243,6.39002,0.132322
48,1.64823,0.262725,24.28,0.0937437,6.38997,0.132577
49,1.64822,0.262885,24.2741,0.0937476,6.39004,0.132832
50,1.64768,0.263628,24.2777,0.0937115,6.38982,0.132893
51,1.64691,0.263693,24.2742,0.0939102,6.39202,0.132783
52,1.64697,0.262933,24.2718,0.0938931,6.39226,0.132492
53,1.64657,0.263324,24.2669,0.0937548,6.39372,0.132199
54,1.6452,0.265213,24.263,0.0935653,6.39542,0.132166
55,1.64424,0.265904,24.2546,0.0935929,6.39642,0.13203
56,1.64328,0.266341,24.2508,0.0937013,6.40052,0.131886
57,1.64182,0.267216,24.252,0.0937648,6.40551,0.131654
58,1.64063,0.267107,24.2551,0.0936747,6.41037,0.131621
59,1.63938,0.268191,24.251,0.0935933,6.4143,0.13184
60,1.63828,0.269181,24.2439,0.0934617,6.41912,0.131826
61,1.6378,0.269833,24.244,0.0934357,6.41988,0.131861
62,1.63768,0.270729,24.2392,0.0934678,6.42275,0.131959
63,1.63747,0.270447,24.2438,0.0933361,6.42509,0.131723
64,1.63681,0.269971,24.2412,0.0931278,6.42735,0.13147
65,1.63573,0.269926,24.238,0.0930517,6.43167,0.131506
66,1.63539,0.269102,24.2395,0.0930046,6.43491,0.131109
67,1.63539,0.268512,24.2414,0.0929474,6.43395,0.130861
68,1.6354,0.267838,24.2451,0.0929863,6.43477,0.130593
69,1.63578,0.267013,24.2458,0.092822,6.43422,0.130067
70,1.63595,0.266163,24.2489,0.0928662,6.43637,0.129556
71,1.63582,0.265874,24.2499,0.092838,6.43964,0.129236
72,1.63529,0.266906,24.2501,0.0927842,6.44392,0.129153
73,1.63439,0.267048,24.2478,0.0927127,6.44657,0.129092
74,1.63362,0.267578,24.2506,0.092737,6.44968,0.128947
75,1.63312,0.267999,24.2508,0.092788,6.45368,0.12902
76,1.63276,0.26812,24.2519,0.0927716,6.45599,0.129068
77,1.63243,0.268187,24.2588,0.0927761,6.45946,0.129207
78,1.63182,0.268304,24.2646,0.0928009,6.46332,0.129349
79,1.6309,0.268283,24.2689,0.0928132,6.46831,0.129353
80,1.63032,0.268124,24.2743,0.0929064,6.47116,0.129195
81,1.62997,0.268136,24.2785,0.0931693,6.47291,0.129107
82,1.62951,0.268438,24.2766,0.0932428,6.47348,0.129172
83,1.62899,0.26822,24.274,0.0932376,6.47491,0.129338
84,1.62845,0.267944,24.2756,0.0931897,6.47775,0.129461
85,1.62785,0.268109,24.2735,0.0930438,6.47993,0.129473
86,1.62714,0.268189,24.2697,0.0929925,6.48149,0.129404
87,1.62666,0.267969,24.2663,0.0928519,6.48425,0.129441
88,1.62626,0.268031,24.2665,0.0926575,6.48635,0.129526
89,1.62599,0.268259,24.2679,0.0926932,6.48944,0.12976
90,1.62583,0.268588,24.2708,0.0927498,6.49128,0.130014
91,1.62561,0.268497,24.275,0.092915,6.49307,0.130034
92,1.6255,0.26822,24.2734,0.0929557,6.49414,0.130153
