fi_abscissa,fi_pdf,fi_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,split
0.370331,0.000574417,1.00365e-05,3.67881,0.000293139,7.08058e-05,18.6094,8.07973e-06,6.67417e-06,4.97893,0.000658265,0.000287108,3.87546,0.00273276,0.00293193,All
0.38926,0.00145361,2.81125e-05,3.92148,0.000667888,0.000182254,19.5188,2.08921e-05,1.90416e-05,5.39688,0.00138691,0.000699887,6.28132,0.00690304,0.0144586,All
0.40819,0.00334223,7.13712e-05,4.16416,0.0013737,0.000421634,20.4283,4.91255e-05,4.92952e-05,5.81483,0.00261573,0.0015161,8.68719,0.0107126,0.0358191,All
0.427119,0.00705928,0.000166098,4.40684,0.00258787,0.000890023,21.3378,0.000106152,0.000117052,6.23277,0.00450113,0.00297796,11.093,0.01354,0.0652022,All
0.446049,0.0138258,0.000357775,4.64952,0.00451865,0.00173561,22.2473,0.000212688,0.000257298,6.65072,0.00717314,0.0053884,13.4989,0.0153837,0.100177,All
0.464978,0.0253111,0.000719212,4.89219,0.00738506,0.0031589,23.1567,0.000398225,0.000527774,7.06867,0.0107124,0.00909508,15.9048,0.0164234,0.138579,All
0.483908,0.0436152,0.00135898,5.13487,0.0113903,0.00541223,24.0662,0.000701462,0.00101724,7.48662,0.0151351,0.0144663,18.3106,0.0168591,0.178718,All
0.502837,0.0711678,0.00242877,5.37755,0.0166935,0.00879244,24.9757,0.00116929,0.00185353,7.90457,0.0203876,0.0218624,20.7165,0.0168618,0.219354,All
0.521767,0.110542,0.00412795,5.62023,0.0233846,0.013627,25.8851,0.00185402,0.00320985,8.32251,0.0263508,0.0316074,23.1224,0.0165651,0.259614,All
0.540697,0.164199,0.006704,5.86291,0.0314668,0.0202551,26.7946,0.002809,0.00530785,8.74046,0.0328527,0.0439641,25.5282,0.0160686,0.298902,All
0.559626,0.234193,0.0104476,6.10558,0.0408488,0.029005,27.7041,0.00408296,0.00841605,9.15841,0.0396848,0.0591149,27.9341,0.015445,0.33683,All
0.578556,0.321881,0.0156822,6.34826,0.0513479,0.0401719,28.6135,0.00571386,0.0128429,9.57636,0.046621,0.0771509,30.3399,0.0147467,0.373159,All
0.597485,0.427679,0.0227483,6.59094,0.0627025,0.0539964,29.523,0.00772309,0.0189241,9.9943,0.0534355,0.0980682,32.7458,0.0140106,0.407757,All
0.616415,0.550898,0.0319839,6.83362,0.0745916,0.0706482,30.4325,0.0101109,0.0270057,10.4123,0.059918,0.121771,35.1517,0.0132627,0.440565,All
0.635344,0.689698,0.0437033,7.07629,0.0866587,0.0902143,31.3419,0.0128538,0.0374232,10.8302,0.0658851,0.148081,37.5575,0.0125208,0.471579,All
0.654274,0.84114,0.0581752,7.31897,0.098537,0.112693,32.2514,0.015904,0.0504794,11.2481,0.0711878,0.176751,39.9634,0.011797,0.500827,All
0.673203,1.00135,0.0756036,7.56165,0.109873,0.137996,33.1609,0.0191916,0.0664238,11.6661,0.0757156,0.207479,42.3693,0.011099,0.528363,All
0.692133,1.16579,0.0961123,7.80433,0.120345,0.165951,34.0704,0.0226285,0.0854332,12.084,0.0793966,0.239924,44.7751,0.0104317,0.554257,All
0.711063,1.32949,0.119735,8.04701,0.129681,0.196314,34.9798,0.0261139,0.107598,12.502,0.0821957,0.273723,47.181,0.00979786,0.578585,All
0.729992,1.48747,0.146409,8.28968,0.137667,0.228783,35.8893,0.0295414,0.132915,12.9199,0.0841106,0.308507,49.5868,0.00919858,0.601429,All
0.748922,1.63493,0.175982,8.53236,0.144152,0.26301,36.7988,0.0328049,0.161283,13.3379,0.0851668,0.343911,51.9927,0.00863403,0.622874,All
0.767851,1.76761,0.208213,8.77504,0.149048,0.298619,37.7082,0.0358055,0.192505,13.7558,0.0854124,0.379585,54.3986,0.00810365,0.643001,All
0.786781,1.88195,0.242787,9.01772,0.152328,0.33522,38.6177,0.0384567,0.226304,14.1738,0.0849121,0.415203,56.8044,0.00760638,0.661893,All
