fi_abscissa,fi_pdf,Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
0.481722,0.608338,5.0528,0.0955692,26.9795,0.00571504,7.5962,0.0166084,10.4428,0.0111936,All
0.558042,0.405558,5.86249,0,31.0414,0.0152401,9.92578,0.0597901,23.5774,0.0153176,All
0.634363,0,6.67217,0.0955692,35.1034,0.0171451,12.2554,0.0896852,36.712,0.0176741,All
0.710683,0.304169,7.48186,0.00955692,39.1653,0.0514354,14.5849,0.0830418,49.8467,0.012961,All
0.787003,1.82501,8.29154,0,43.2273,0.0495304,16.9145,0.0597901,62.9813,0.00883705,All
0.863324,3.24447,9.10123,0.114683,47.2893,0.0552454,19.2441,0.0564685,76.1159,0.00942619,All
0.939644,2.9403,9.91091,0.267594,51.3512,0.0400053,21.5737,0.0498251,89.2505,0.00412396,All
1.01596,1.41945,10.7206,0.133797,55.4132,0.0152401,23.9032,0.0166084,102.385,0.00176741,All
1.09228,1.9264,11.5303,0.200695,59.4752,0.00190501,26.2328,0.0132867,115.52,0,All
1.16861,1.21668,12.34,0.229366,63.5371,0.00381003,28.5624,0.00664335,128.654,0,All
1.24493,0.202779,13.1497,0.143354,67.5991,0.00571504,30.892,0.00996502,141.789,0.000589137,All
1.32125,0.10139,13.9593,0.0477846,71.6611,0.00571504,33.2215,0.00332167,154.924,0.000589137,All
