simulations,OFV
500,970.325
1000,970.43
1500,970.739
2000,968.932
2500,969.13
3000,969.617
3500,969.868
4000,969.505
4500,970.139
5000,970.485
5500,969.846
6000,970.004
6500,970.245
7000,970.457
7500,970.533
8000,970.786
8500,971.076
9000,970.862
9500,970.876
10000,970.662
10500,970.492
11000,970.763
11500,970.816
12000,970.82
12500,970.857
13000,970.986
13500,971.098
14000,971.166
14500,971.188
15000,971.176
15500,971.309
16000,971.413
16500,971.336
17000,971.277
17500,971.365
18000,971.227
18500,971.299
19000,971.346
19500,971.399
20000,971.185
20500,971.196
21000,971.099
21500,970.996
22000,970.935
22500,970.963
23000,970.914
23500,970.902
24000,970.883
24500,970.916
25000,970.886
25500,970.913
26000,970.947
26500,970.938
27000,970.947
27500,970.936
28000,970.978
28500,970.994
29000,970.933
29500,970.991
30000,970.948
