parameter,value
Cl_pop,10.5754245881277
beta_Cl_logtCLCRMLMIN,0.659072473746238
beta_Cl_logtWTKG,0.779246813165628
V1_pop,44.1441729491965
beta_V1_logtHCM,0.745785584928435
Q_pop,18.6785728611748
beta_Q_ANTU_2,-0.666953389527301
beta_Q_logtAGEA,1.30402336125314
beta_Q_logtCLCRMLMIN,0.98092270573189
V2_pop,53.0018565885929
omega_Cl,0.1766428773237
omega_V1,0.253373821122508
omega_Q,0.00383335753214542
omega_V2,0.201344995951777
corr_V2_V1,0.998859559146652
a1,0.305722825380097
a2,0.0611108453658819
