trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,split
97.5,1.17043,1.45295,52,1.48334,1.53672,-0.389961,1.1561,1.41711,97.5,1.88258,1.82528,52,1.69226,1.76303,-0.389961,1.88412,1.82912,97.5,2.87832,3.03439,52,2.96004,2.99299,-0.389961,2.87459,3.02506,97.5,3.03007,3.22632,52,3.12917,3.17363,-0.389961,3.02538,3.2146,All
98.5172,1.27512,1.45713,52.3232,1.51508,1.54016,-0.382795,1.2298,1.42159,98.5172,1.91233,1.82437,52.3232,1.80694,1.7637,-0.382795,1.90478,1.82822,98.5172,2.94577,3.03434,52.3232,3.00644,2.99425,-0.382795,2.92175,3.02521,98.5172,3.11498,3.22627,52.3232,3.1889,3.17525,-0.382795,3.08475,3.21479,All
99.5343,1.3798,1.46132,52.6465,1.54682,1.5436,-0.375629,1.3035,1.42607,99.5343,1.94209,1.82346,52.6465,1.92163,1.76436,-0.375629,1.92545,1.82733,99.5343,3.01323,3.0343,52.6465,3.05284,2.99551,-0.375629,2.96891,3.02535,99.5343,3.1999,3.22622,52.6465,3.24862,3.17687,-0.375629,3.14411,3.21498,All
100.552,1.48448,1.4655,52.9697,1.57856,1.54704,-0.368463,1.3772,1.43055,100.552,1.97184,1.82255,52.9697,2.03631,1.76503,-0.368463,1.94611,1.82643,100.552,3.08068,3.03425,52.9697,3.09924,2.99677,-0.368463,3.01607,3.02549,100.552,3.28481,3.22618,52.9697,3.30835,3.17849,-0.368463,3.20348,3.21516,All
101.569,1.50649,1.46969,53.2929,1.6049,1.55049,-0.361297,1.45091,1.43503,101.569,1.98324,1.82164,53.2929,2.02066,1.76569,-0.361297,1.96678,1.82554,101.569,3.08176,3.03421,53.2929,3.10116,2.99804,-0.361297,3.06323,3.02564,101.569,3.28652,3.22613,53.2929,3.31111,3.18012,-0.361297,3.26285,3.21535,All
102.586,1.51437,1.47388,53.6162,1.63069,1.55393,-0.354131,1.49137,1.43951,102.586,1.99152,1.82073,53.6162,1.99153,1.76636,-0.354131,1.9802,1.82464,102.586,3.07149,3.03416,53.6162,3.09848,2.9993,-0.354131,3.08343,3.02578,102.586,3.27401,3.22608,53.6162,3.30797,3.18174,-0.354131,3.28843,3.21554,All
103.603,1.52225,1.47806,53.9394,1.65647,1.55737,-0.346966,1.49772,1.44399,103.603,1.99979,1.81982,53.9394,1.9624,1.76703,-0.346966,1.98618,1.82375,103.603,3.06123,3.03411,53.9394,3.09581,3.00056,-0.346966,3.07596,3.02592,103.603,3.2615,3.22603,53.9394,3.30483,3.18336,-0.346966,3.27933,3.21573,All
104.62,1.53013,1.48225,54.2626,1.68226,1.56081,-0.3398,1.50407,1.44847,104.62,2.00806,1.81891,54.2626,1.93326,1.76769,-0.3398,1.99217,1.82285,104.62,3.05096,3.03407,54.2626,3.09313,3.00182,-0.3398,3.06849,3.02607,104.62,3.24899,3.22599,54.2626,3.30169,3.18498,-0.3398,3.27023,3.21592,All
105.637,1.538,1.48644,54.5859,1.70804,1.56425,-0.332634,1.51042,1.45295,105.637,2.01633,1.818,54.5859,1.90413,1.76836,-0.332634,1.99815,1.82196,105.637,3.04069,3.03402,54.5859,3.09045,3.00308,-0.332634,3.06102,3.02621,105.637,3.23648,3.22594,54.5859,3.29855,3.1866,-0.332634,3.26113,3.21611,All
106.655,1.54588,1.49062,54.9091,1.73383,1.5677,-0.325468,1.51676,1.45743,106.655,2.0246,1.8171,54.9091,1.875,1.76902,-0.325468,2.00414,1.82106,106.655,3.03042,3.03398,54.9091,3.08777,3.00435,-0.325468,3.05354,3.02635,106.655,3.22397,3.22589,54.9091,3.29541,3.18822,-0.325468,3.25203,3.2163,All
