Parameters,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11
Cl_pop,10.1908,10.19,9.62091,10.1537,10.1753,10.206,10.2128,10.203,8.68158,10.17,10.1803
Q_pop,10.0942,9.89456,9.63535,12.5312,9.83804,10.2588,9.85729,9.68321,8.84757,9.37069,9.86229
V1_pop,43.4745,43.6949,46.3835,43.5933,43.3556,43.2387,43.6306,44.3088,48.0285,44.3121,43.395
V2_pop,54.2935,52.6949,78.818,45.4031,54.4695,48.2697,52.1593,56.4513,193.537,53.4812,56.9443
b,0.0935852,0.0923387,0.0952162,0.0943532,0.0923928,0.0944654,0.0928952,0.0940818,0.0980287,0.0960063,0.0922994
omega_Cl,0.262753,0.262751,0.262723,0.265419,0.261508,0.260712,0.260956,0.264638,0.272099,0.260727,0.263036
omega_Q,0.960746,0.969021,0.502767,0.700727,0.993914,0.996265,0.970237,0.936691,0.435442,0.992789,0.951729
omega_V1,0.0710131,0.0857891,0.14586,0.103231,0.0696721,0.0569328,0.0751775,0.0731044,0.145118,0.0332218,0.0802753
omega_V2,0.134552,0.153389,1.09627,0.822643,0.092639,0.0927677,0.129353,0.121525,0.867624,0.100472,0.109758
-2LL,427.834,427.715,440.258,437.716,427.878,427.652,427.536,427.665,439.972,427.682,428.23
