simulations, -2LL
1000,596.028
2000,595.187
3000,595.047
4000,595.113
5000,595.208
6000,595.373
7000,595.609
8000,595.501
9000,595.053
10000,595.042
11000,595.062
12000,595.134
13000,595.265
14000,595.302
15000,595.292
16000,595.388
17000,595.459
18000,595.522
19000,595.547
20000,595.532
21000,595.533
22000,595.583
23000,595.584
24000,595.569
25000,595.594
26000,595.62
27000,595.633
28000,595.594
29000,595.609
30000,595.661
