iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b
1,805.05,1,5.2,0.62,21.22,4.99,28.28,1.5,1.5,1,0.62,0.3
2,785.58,1,4.79737,0.85106,24.6736,6.12837,63.63,1.46202,1.46202,0.974679,0.62,0.285
3,782.026,1,5.37729,1.84437,27.2186,7.18606,93.8543,1.425,1.425,1.06744,0.62,0.27075
4,780.154,1,4.54681,2.23064,27.1444,7.60191,90.3347,1.38892,1.38892,1.04041,0.62,0.257212
5,759.712,1,4.38456,1.6285,28.871,8.07256,111.789,1.35375,1.35375,1.01407,0.62,0.244352
6,752.462,1,4.73316,1.80681,34.202,8.60202,97.8156,1.31947,1.31947,1.05967,0.62,0.232134
7,746.845,1,4.31867,1.82739,26.1737,10.3437,118.601,1.28606,1.28606,1.03284,0.62,0.220528
8,727.749,1,4.32943,1.52023,24.8843,10.5561,122.678,1.2535,1.2535,1.00892,0.62,0.209501
9,724.073,1,4.25431,1.59506,26.7325,10.8753,126.129,1.22176,1.22176,0.983374,0.62,0.199026
10,713.465,1,3.73069,1.70452,25.8274,9.98956,148.201,1.19082,1.19082,0.958475,0.62,0.189075
11,704.974,1,3.41337,1.95821,20.0815,10.1225,171.358,1.16067,1.16067,0.940455,0.62,0.179621
12,686.605,1,3.50708,1.62519,20.7529,9.15707,164.128,1.13128,1.13128,0.916642,0.62,0.17064
13,686.372,1,3.28395,1.67252,20.0643,10.5211,166.18,1.10264,1.10264,0.893432,0.62,0.162108
14,676.86,1,3.20775,1.663,20.1627,9.24005,172.542,1.07472,1.07472,0.87081,0.62,0.154003
15,656.699,1,3.03873,1.69789,19.2435,8.25939,176.181,1.04751,1.04751,0.848761,0.62,0.146302
16,653.183,1,2.8646,1.59015,17.7504,8.90419,185.265,1.02098,1.02098,0.82727,0.62,0.138987
17,639.71,1,3.08682,1.54037,19.3292,7.90361,182.95,0.995131,0.995131,0.806323,0.62,0.132038
18,631.348,1,2.96534,1.7614,17.9065,6.78648,180.091,0.969933,0.969933,0.785906,0.62,0.125436
19,612.318,1,3.0832,1.46038,19.5542,6.81905,178.684,0.945374,0.945374,0.766007,0.62,0.119164
20,611.258,1,3.21506,1.9127,20.5755,7.19312,174.915,0.921437,0.921437,0.746611,0.62,0.113206
21,593.077,1,3.29795,1.89143,20.4343,6.36655,165.623,0.898105,0.898105,0.727706,0.62,0.107546
22,577.823,1,3.21586,1.63189,19.5107,6.39642,157.988,0.875365,0.875365,0.70928,0.62,0.102168
23,568.697,1,3.17796,1.67002,20.4022,5.56188,171.072,0.8532,0.8532,0.691321,0.62,0.0970601
24,556.996,1,3.23336,1.68322,22.9137,5.24178,175.349,0.831597,0.831597,0.673816,0.62,0.0922071
25,547.075,1,3.21981,1.33056,22.2501,5.3133,171.581,0.81054,0.81054,0.660382,0.62,0.0875967
26,541.145,1,3.27286,1.5633,21.5603,5.0278,167.962,0.790017,0.790017,0.643661,0.62,0.0832169
27,536.773,1,3.2863,1.35718,22.9243,5.4025,156.152,0.770013,0.770013,0.627363,0.62,0.079056
28,520.753,1,3.27293,1.54175,21.819,4.89392,161.276,0.750516,0.750516,0.611478,0.62,0.0751032
29,515.458,1,3.17403,1.6518,21.8096,5.00059,163.292,0.731512,0.731512,0.595995,0.62,0.0713481
30,507.336,1,3.34315,1.65641,23.8317,5.02679,163.675,0.71299,0.71299,0.580904,0.62,0.0677807
31,484.056,1,3.17745,1.59921,21.8232,5.51355,163.355,0.694937,0.694937,0.566195,0.62,0.0643916
32,484.303,1,3.12095,1.61346,21.406,5.5462,162.525,0.677341,0.677341,0.551859,0.62,0.061172
33,473.537,1,3.10215,1.54403,19.9814,5.59164,162.906,0.66019,0.66019,0.537886,0.62,0.0581134
34,458.413,1,3.16464,1.45922,21.4259,5.03373,164.688,0.643474,0.643474,0.524266,0.62,0.0552078
35,456.177,1,3.25284,1.67771,21.7769,5.47189,162.372,0.627181,0.627181,0.510991,0.62,0.0524474
36,441.587,1,3.1718,1.59705,21.5276,5.18614,164.338,0.6113,0.6113,0.498053,0.62,0.049825
37,430.83,1,3.19607,1.52084,21.7381,5.44078,165.237,0.595821,0.595821,0.485442,0.62,0.0473338
38,420.34,1,3.24453,1.4946,21.7864,5.37564,160.913,0.580735,0.580735,0.47315,0.62,0.0449671
