parameter,value,se_lin,rse_lin
Cl_pop,5.17875005852898,0.349903064873098,6.75651577926292
V1_pop,20.1101055878187,1.64152676498169,8.16269590337712
Q_pop,6.60139500771518,1.28737532880285,19.5015648555839
V2_pop,21.8548276266436,2.80007771135696,12.8121701950344
omega_Cl,0.251377700271119,0.0480244109978308,19.104483391341
omega_V1,0.275267586544287,0.0619862691931562,22.5185500302933
omega_Q,0.628853318122661,0.154420922391057,24.5559525474169
omega_V2,0.325583041331285,0.125144325325305,38.4369913167463
corr_V2_V1,0.998566535864533,0.201091029290277,20.1379699867648
a1,0.303025210197457,0.0222210509437731,7.33307005357523
a2,0.0632752454334419,0.00638078279153068,10.0841691688774
