iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtWTKG,beta_Cl_tCLCRMLMIN,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,812.479,1,2.80594,0.756843,0.613774,21.4174,5.10508,28.9724,0.183034,0.284594,0.678573,0.227513,0.998743,0.30285,0.0629204
2,787.128,1,2.72284,0.802391,0.654872,21.8019,5.81323,29.3854,0.189067,0.277387,0.661391,0.221753,0.998743,0.304888,0.0777174
3,787.341,1,2.76903,0.788103,0.640986,21.7342,5.58815,29.3448,0.185798,0.270364,0.702248,0.216138,0.998743,0.297168,0.0793471
4,785.58,1,2.72011,0.799597,0.649949,21.537,5.55841,29.1542,0.185635,0.263518,0.693599,0.210665,0.998743,0.296252,0.0793634
5,780.891,1,2.76839,0.832543,0.629837,21.3041,5.33603,28.8958,0.180935,0.256846,0.730568,0.205331,0.998743,0.294531,0.0799054
6,773.773,1,2.74748,0.81328,0.638667,21.1102,5.50278,28.741,0.184033,0.250342,0.71207,0.200132,0.998743,0.293783,0.079682
7,777.2,1,2.71414,0.797168,0.651149,21.11,5.54879,28.6798,0.184746,0.244003,0.71145,0.195064,0.998743,0.296756,0.0794175
8,770.692,1,2.7834,0.764077,0.62607,20.966,5.69565,28.4515,0.180068,0.237825,0.740307,0.190125,0.998743,0.294438,0.0774066
9,771.654,1,2.80242,0.819488,0.623053,21.081,5.73548,28.5943,0.186118,0.231803,0.740138,0.185311,0.998743,0.296397,0.0788766
10,772.47,1,2.80397,0.849442,0.620553,20.9567,5.96833,28.437,0.187104,0.225934,0.721397,0.180619,0.998743,0.296688,0.0782521
11,770.412,1,2.80773,0.822935,0.621703,21.1439,5.71483,28.5987,0.187327,0.220213,0.735187,0.176046,0.998743,0.294157,0.0766165
12,760.904,1,2.75739,0.754049,0.63663,21.1422,5.85613,28.5852,0.187057,0.214637,0.746629,0.171588,0.998743,0.296724,0.0746766
13,760.675,1,2.76474,0.735938,0.636779,21.2573,5.72443,28.6878,0.190163,0.209202,0.741458,0.167243,0.998743,0.297349,0.0736981
14,766.941,1,2.71394,0.743028,0.650012,21.2089,5.82342,28.5948,0.199259,0.203905,0.782331,0.163009,0.998743,0.303351,0.0724141
15,759.263,1,2.80028,0.761703,0.615904,21.197,5.79393,28.551,0.194214,0.202335,0.762522,0.160921,0.998743,0.295926,0.0745731
16,764.445,1,2.77144,0.759284,0.623157,21.1426,5.63216,28.4643,0.190278,0.20015,0.743215,0.158863,0.998743,0.299823,0.0742713
17,752.935,1,2.78216,0.731502,0.616498,21.189,5.54469,28.5215,0.190595,0.204657,0.724396,0.163023,0.998743,0.30415,0.0723907
18,754.939,1,2.77705,0.713645,0.626352,21.1247,5.63881,28.437,0.185769,0.205486,0.706054,0.163236,0.998743,0.299867,0.0724629
19,755.224,1,2.81186,0.766841,0.610467,21.0936,5.75849,28.3244,0.181065,0.205096,0.740096,0.16361,0.998743,0.300371,0.0715367
20,752.236,1,2.77986,0.76267,0.622439,21.1146,5.92356,28.3664,0.18603,0.207958,0.72939,0.167296,0.998743,0.303926,0.0697254
21,748.626,1,2.8553,0.71961,0.598262,21.1944,5.78027,28.4868,0.183895,0.209824,0.710921,0.169579,0.998743,0.304273,0.0686061
22,751.132,1,2.76328,0.731101,0.629245,21.3444,5.54193,28.6475,0.180187,0.215355,0.69292,0.173131,0.998743,0.303602,0.0687988
23,747.627,1,2.75645,0.758576,0.626261,21.115,5.3743,28.4284,0.184802,0.222574,0.675375,0.180889,0.998743,0.304217,0.0679372
24,754.398,1,2.7257,0.770862,0.641279,21.1284,5.50268,28.4273,0.180465,0.220219,0.658274,0.178485,0.998743,0.296514,0.0709698
25,758.153,1,2.72459,0.80165,0.647751,21.3102,5.40801,28.6271,0.188785,0.22308,0.676756,0.180659,0.998743,0.302616,0.0696262
26,762.469,1,2.73377,0.804303,0.647106,21.4415,5.63976,28.7503,0.189396,0.222761,0.664633,0.181902,0.998743,0.302696,0.070927
27,755.053,1,2.81999,0.814846,0.613822,21.4204,5.60908,28.7111,0.1846,0.22474,0.647804,0.184018,0.998743,0.29808,0.0718469
28,751.383,1,2.77839,0.790345,0.628654,21.3741,5.63636,28.6394,0.183919,0.222454,0.641793,0.18031,0.998743,0.30014,0.0700277
29,749.764,1,2.83729,0.784316,0.610949,21.4234,5.61442,28.7021,0.188,0.217372,0.637484,0.177594,0.998743,0.297617,0.0695736
30,757.048,1,2.84758,0.79642,0.608451,21.405,5.36786,28.6658,0.18543,0.214954,0.640403,0.175392,0.998743,0.294431,0.0725914
31,756.501,1,2.78538,0.813518,0.624648,21.4354,5.2692,28.7016,0.18554,0.223389,0.676559,0.180923,0.998743,0.297535,0.0711701
32,753.222,1,2.78005,0.771953,0.620795,21.025,5.5428,28.3154,0.189344,0.226655,0.68759,0.182965,0.998743,0.301655,0.069368
33,764.66,1,2.73264,0.779662,0.638557,20.742,5.68744,27.9924,0.198006,0.227899,0.747881,0.182284,0.998743,0.306717,0.069653
34,764.498,1,2.69186,0.797861,0.649515,20.6112,5.79398,27.8074,0.192992,0.226599,0.753407,0.180129,0.998743,0.30408,0.0713107
35,769.071,1,2.74714,0.769599,0.634644,20.4416,6.05797,27.6092,0.189669,0.238118,0.772131,0.188113,0.998743,0.304561,0.0715276
36,775.09,1,2.78703,0.786965,0.623362,20.4401,6.602,27.5877,0.189706,0.242069,0.832704,0.190065,0.998743,0.296849,0.0745089
37,781.455,1,2.86901,0.793866,0.597079,20.3253,6.51354,27.4605,0.193054,0.242522,0.823178,0.193043,0.998743,0.302645,0.0745563
38,774.341,1,2.86449,0.7931,0.59831,20.28,6.63482,27.4464,0.188165,0.242597,0.802335,0.193106,0.998743,0.296819,0.0750348
39,767.209,1,2.82141,0.796112,0.620425,20.4186,6.80886,27.5552,0.185375,0.238985,0.782019,0.18863,0.998743,0.294385,0.0747506
40,767.851,1,2.82248,0.790751,0.615556,20.565,6.36818,27.6969,0.182394,0.232934,0.765227,0.183854,0.998743,0.298928,0.0733334
41,766.051,1,2.85946,0.79852,0.603755,20.3657,6.53065,27.4712,0.183983,0.227036,0.77454,0.179198,0.998743,0.294468,0.0735724
42,765.027,1,2.82658,0.825377,0.620292,20.5399,6.40213,27.6553,0.183548,0.221287,0.783599,0.174661,0.998743,0.293996,0.0728111
43,756.458,1,2.79351,0.812157,0.62554,20.4267,6.8368,27.5691,0.184105,0.219143,0.763758,0.173169,0.998743,0.299666,0.0709675
44,759.35,1,2.73438,0.821924,0.648522,20.6026,6.68148,27.7904,0.188199,0.223324,0.782002,0.176795,0.998743,0.301153,0.0697674
45,767.541,1,2.80732,0.758644,0.622203,20.5706,6.62863,27.6963,0.186345,0.22874,0.845985,0.182059,0.998743,0.302674,0.0701005
46,762.228,1,2.77909,0.7449,0.628579,20.7266,5.8307,27.8821,0.18196,0.224747,0.824564,0.179057,0.998743,0.29782,0.0717955
47,757.612,1,2.69475,0.758423,0.654367,20.6559,5.76724,27.8056,0.187633,0.226822,0.803685,0.181987,0.998743,0.301657,0.0699776
48,755.347,1,2.63902,0.78539,0.673078,20.7968,5.67928,27.9107,0.188716,0.221079,0.783336,0.177379,0.998743,0.307538,0.0691935
49,758.828,1,2.66054,0.757851,0.664988,20.9117,5.74496,28.0025,0.188649,0.215481,0.763501,0.172888,0.998743,0.305494,0.06952
50,761.202,1,2.68877,0.783289,0.652318,20.8689,5.73732,27.949,0.188441,0.212209,0.767349,0.169142,0.998743,0.305509,0.0692815
51,756.183,1,2.73425,0.807098,0.640102,20.6974,5.8236,27.7805,0.19025,0.211905,0.773006,0.170009,0.998743,0.298879,0.0697548
52,750.945,1,2.82292,0.792848,0.615669,20.5551,6.08607,27.6477,0.185432,0.20654,0.784935,0.165704,0.998743,0.293519,0.0704608
53,758.158,1,2.76307,0.807589,0.63229,20.38,6.24526,27.498,0.180737,0.20131,0.76506,0.161509,0.998743,0.295461,0.0725609
54,760.173,1,2.70671,0.824283,0.653241,20.5153,5.90918,27.6305,0.184119,0.200191,0.745688,0.16024,0.998743,0.30196,0.0730453
55,750.925,1,2.77264,0.783377,0.629652,20.4713,6.17736,27.5689,0.179457,0.201577,0.758075,0.160817,0.998743,0.300226,0.0711958
56,752.614,1,2.7678,0.790983,0.627558,20.4775,5.89632,27.5554,0.18111,0.205918,0.77502,0.164545,0.998743,0.302117,0.069393
57,750.416,1,2.79706,0.772898,0.6159,20.561,5.6839,27.6084,0.184257,0.2122,0.755396,0.167871,0.998743,0.301306,0.0685641
58,752.819,1,2.8182,0.729987,0.609754,20.5654,5.72723,27.6582,0.184416,0.212558,0.746986,0.166983,0.998743,0.301974,0.0697293
59,757.249,1,2.81212,0.742542,0.614448,20.6526,5.98782,27.7942,0.186168,0.214255,0.749206,0.168359,0.998743,0.298539,0.0711516
60,755.949,1,2.86175,0.742201,0.600973,20.7776,6.1394,27.8994,0.185669,0.214909,0.759128,0.169603,0.998743,0.297795,0.0713771
61,762.291,1,2.80227,0.778313,0.623247,21.0746,5.98029,28.2354,0.196605,0.214968,0.767898,0.170454,0.998743,0.301021,0.0714288
62,766.956,1,2.77777,0.795027,0.62809,20.838,5.93092,28.0236,0.191627,0.226422,0.748454,0.180924,0.998743,0.302779,0.0722123
63,756.607,1,2.80431,0.789824,0.615619,20.6923,5.5435,27.8679,0.186775,0.224353,0.729503,0.176668,0.998743,0.295113,0.0709156
64,749.116,1,2.8151,0.787347,0.610205,20.671,5.74529,27.7935,0.189978,0.222082,0.749156,0.175742,0.998743,0.29754,0.06912
65,757.657,1,2.89547,0.776843,0.584847,20.7417,5.78077,27.8813,0.185168,0.220421,0.761857,0.175049,0.998743,0.300873,0.0693464
66,761.633,1,2.91871,0.775507,0.584744,20.9248,5.97722,28.0342,0.188781,0.217371,0.742566,0.174571,0.998743,0.302974,0.0693903
67,751.098,1,2.84726,0.760794,0.604171,20.9635,6.02689,28.1288,0.186601,0.223831,0.751216,0.180728,0.998743,0.295536,0.0700577
68,753.66,1,2.87991,0.760898,0.594718,21.0024,5.80631,28.1668,0.182993,0.218483,0.771431,0.177194,0.998743,0.296657,0.0698717
69,758.74,1,2.77792,0.742378,0.625151,21.1415,5.81293,28.3229,0.189821,0.216731,0.793337,0.175916,0.998743,0.306539,0.0681025
70,752.48,1,2.79419,0.755267,0.625718,20.9752,5.94855,28.1466,0.188552,0.218047,0.773249,0.17611,0.998743,0.308032,0.0669101
71,751.908,1,2.76934,0.757428,0.629285,20.8673,5.98608,28.0788,0.186572,0.217535,0.75367,0.177688,0.998743,0.306264,0.0653564
72,740.355,1,2.79979,0.714497,0.614613,20.8306,5.67196,28.0314,0.181848,0.220052,0.734587,0.180107,0.998743,0.301862,0.0663594
73,749.395,1,2.84659,0.732936,0.600539,20.9015,5.91114,28.0831,0.185539,0.233064,0.715987,0.189748,0.998743,0.305809,0.0659147
74,751.595,1,2.81248,0.742795,0.614978,20.8564,5.91457,28.0526,0.187068,0.228441,0.697857,0.187629,0.998743,0.301995,0.0669615
75,749.855,1,2.80798,0.768139,0.617574,20.9532,5.64078,28.152,0.189713,0.231012,0.680187,0.192453,0.998743,0.303408,0.0667008
76,740.876,1,2.8324,0.782787,0.607761,21.0463,5.63479,28.2839,0.186677,0.228662,0.681496,0.192356,0.998743,0.300184,0.0650119
77,753.265,1,2.78819,0.760304,0.622046,21.0311,5.60049,28.2781,0.188288,0.22756,0.686321,0.191057,0.998743,0.300874,0.0678932
78,745.656,1,2.82207,0.797837,0.611315,21.0584,5.52002,28.3108,0.186797,0.227736,0.711833,0.190708,0.999,0.301274,0.0672196
79,742.14,1,2.84558,0.739766,0.599394,21.0826,5.55098,28.2885,0.186676,0.224538,0.711212,0.189353,0.999,0.301756,0.0662871
80,750.491,1,2.75851,0.730549,0.631144,20.9092,5.44054,28.0992,0.192138,0.225777,0.693204,0.189805,0.998868,0.304892,0.0666344
81,739.121,1,2.80318,0.765879,0.614073,20.9866,5.42357,28.2295,0.190958,0.231908,0.675652,0.194152,0.998951,0.305242,0.0649472
82,757.6,1,2.73994,0.727806,0.640903,20.8804,5.47432,28.1101,0.194362,0.233976,0.704929,0.197897,0.999,0.309938,0.067617
83,749.57,1,2.77006,0.721577,0.62584,20.9793,5.68856,28.2277,0.18944,0.241131,0.68708,0.203226,0.999,0.3023,0.0680925
84,754.465,1,2.7975,0.730279,0.61977,20.7875,5.99429,27.9958,0.184644,0.244571,0.669683,0.206822,0.999,0.301231,0.0689713
85,758.305,1,2.78446,0.725211,0.627115,20.9982,5.82787,28.1641,0.185706,0.243399,0.652726,0.204814,0.99873,0.301583,0.0687523
86,759.877,1,2.89842,0.764444,0.586874,21.0173,5.55482,28.2169,0.183812,0.254957,0.644758,0.214814,0.998973,0.306724,0.0684586
87,755.87,1,2.86653,0.796431,0.597009,21.2776,5.58375,28.4997,0.185511,0.257188,0.628433,0.218217,0.999,0.30064,0.0690447
88,757.451,1,2.85204,0.777326,0.606236,21.4032,5.34002,28.6413,0.180814,0.262936,0.625963,0.223216,0.998992,0.300185,0.0691845
89,755.297,1,2.83793,0.765348,0.607005,21.5312,5.42218,28.8423,0.178955,0.256278,0.633255,0.218257,0.998714,0.300527,0.0674327
90,747.691,1,2.84402,0.761659,0.603671,21.3871,5.21128,28.6345,0.174424,0.251638,0.633047,0.216378,0.998986,0.299638,0.0665799
91,743.659,1,2.88643,0.797902,0.58487,21.5476,5.04139,28.8418,0.180332,0.2544,0.617018,0.217082,0.999,0.301476,0.0654807
92,743.858,1,2.86223,0.770335,0.598994,21.5293,5.12378,28.8518,0.17809,0.254033,0.605528,0.217724,0.999,0.300003,0.0661678
93,742.415,1,2.79441,0.788121,0.621369,21.5335,5.26669,28.801,0.181996,0.255124,0.600293,0.215137,0.998901,0.302825,0.0644924
94,741.944,1,2.8021,0.765393,0.611289,21.6009,5.00038,28.8715,0.179394,0.255123,0.618472,0.216133,0.999,0.300653,0.0649048
95,742.502,1,2.82319,0.778565,0.608197,21.6756,4.90552,28.9296,0.184059,0.251426,0.60466,0.214077,0.999,0.303178,0.0646099
96,742.674,1,2.82523,0.757567,0.605467,21.7242,4.98132,28.9704,0.179398,0.250632,0.58935,0.212875,0.998938,0.298278,0.0656272
97,746.072,1,2.77687,0.76934,0.61873,21.8096,4.83494,29.0766,0.186946,0.249391,0.574427,0.212859,0.999,0.309171,0.0651978
98,742.15,1,2.71473,0.764546,0.646794,21.8762,4.87361,29.1359,0.187976,0.246608,0.559882,0.209402,0.999,0.303869,0.0654182
99,741.286,1,2.76208,0.767076,0.629063,21.8991,4.93602,29.114,0.186396,0.247227,0.563026,0.210124,0.999,0.304177,0.0648316
100,743.762,1,2.79075,0.715126,0.620521,21.7724,4.76819,28.9661,0.181984,0.25082,0.56973,0.212014,0.998964,0.306284,0.0645167
101,740.452,1,2.8391,0.75093,0.600485,21.8833,4.88284,29.0792,0.184736,0.249305,0.555304,0.21189,0.998748,0.305174,0.0632353
102,747.913,1,2.83143,0.802421,0.606224,21.8452,4.80708,29.0463,0.186645,0.250789,0.581063,0.211931,0.998396,0.302289,0.0642847
103,742.892,1,2.87197,0.789845,0.58606,21.9299,4.71121,29.155,0.181919,0.247319,0.56635,0.209275,0.998678,0.301336,0.0647992
104,747.986,1,2.81884,0.792739,0.606353,22.0486,4.72385,29.4124,0.183295,0.248718,0.55201,0.20891,0.998578,0.301948,0.0658542
105,740.248,1,2.75394,0.751789,0.633023,21.9821,4.83244,29.3515,0.178654,0.247031,0.586159,0.208014,0.999,0.30237,0.0649459
106,739.559,1,2.74914,0.782524,0.634127,22.0761,4.81375,29.4155,0.182387,0.252171,0.581015,0.21186,0.998992,0.303729,0.06353
107,746.907,1,2.78245,0.764039,0.62177,21.9021,4.79836,29.2697,0.185181,0.255883,0.61816,0.21569,0.998931,0.304471,0.064529
108,751.09,1,2.81967,0.753277,0.604822,21.8845,4.83143,29.2835,0.181583,0.252214,0.656034,0.213603,0.998745,0.30675,0.0645512
109,758.242,1,2.79182,0.750303,0.617893,21.7925,4.93929,29.1889,0.18124,0.254048,0.66413,0.212936,0.998441,0.304897,0.0662103
110,758.055,1,2.7689,0.775816,0.624423,21.7226,4.86692,29.2046,0.181951,0.25228,0.647314,0.212421,0.997735,0.304577,0.065513
111,756.052,1,2.77083,0.771879,0.625245,21.8141,4.78603,29.2886,0.181794,0.25213,0.630923,0.213151,0.997583,0.301101,0.0653744
112,759.949,1,2.83762,0.785687,0.599367,21.7273,4.77128,29.2209,0.185192,0.262859,0.614948,0.221048,0.997749,0.305932,0.0654573
113,761.297,1,2.80232,0.737813,0.6107,21.8163,4.8274,29.2049,0.180502,0.26113,0.599377,0.217634,0.997473,0.301834,0.0668839
114,766.423,1,2.76407,0.742292,0.622209,21.7675,4.72465,29.2108,0.182132,0.259021,0.629209,0.216498,0.997143,0.309272,0.0653
115,766.206,1,2.76132,0.747131,0.628794,21.7059,4.67159,29.11,0.183061,0.257795,0.627429,0.216956,0.997439,0.30924,0.0657577
116,763.956,1,2.74075,0.783266,0.634093,21.6644,4.71713,29.0696,0.186208,0.252148,0.613262,0.214569,0.996974,0.305484,0.0653685
117,758.696,1,2.7688,0.726972,0.620146,21.9931,4.90763,29.4636,0.183996,0.250185,0.597734,0.214463,0.997534,0.304424,0.0655794
118,764.052,1,2.817,0.741757,0.609891,22.1289,4.74924,29.6342,0.180611,0.258912,0.585322,0.220885,0.997465,0.303811,0.0668251
119,759.233,1,2.77547,0.752597,0.619997,22.1374,4.62661,29.5905,0.184248,0.259161,0.589897,0.222981,0.997995,0.307439,0.0651463
120,755.032,1,2.81628,0.681418,0.609244,22.097,4.65811,29.4841,0.179826,0.259336,0.574961,0.219769,0.997829,0.303687,0.0650922
121,751.319,1,2.82526,0.743952,0.612927,22.0123,4.90652,29.4135,0.178992,0.256959,0.560403,0.218718,0.998009,0.299592,0.0652214
122,745.216,1,2.84541,0.76161,0.602292,21.9539,4.883,29.2957,0.181789,0.254157,0.592086,0.217874,0.998012,0.301318,0.0635699
123,753.523,1,2.81627,0.725959,0.616903,21.965,4.95198,29.3349,0.187167,0.255694,0.577094,0.22019,0.997867,0.304183,0.0643458
124,746.028,1,2.80698,0.72817,0.612874,22.0591,4.89601,29.4209,0.183222,0.259342,0.562482,0.222455,0.998353,0.300049,0.0637571
125,745.698,1,2.81122,0.761054,0.611874,22.1074,4.90236,29.5949,0.189762,0.263277,0.55761,0.226902,0.998754,0.307708,0.0627407
126,740.172,1,2.78964,0.758575,0.613121,22.0928,4.74545,29.5932,0.196129,0.26722,0.5487,0.228574,0.999,0.305597,0.0620771
127,738.862,1,2.81863,0.774611,0.609383,22.0125,4.88387,29.4583,0.191163,0.267105,0.555302,0.22968,0.998706,0.300855,0.0618107
128,737.578,1,2.79065,0.773468,0.619974,22.0209,4.87123,29.4638,0.186323,0.264911,0.553197,0.229611,0.999,0.303454,0.0625949
129,730.773,1,2.78247,0.783798,0.624319,22.0512,4.96927,29.4745,0.184853,0.263816,0.590652,0.230199,0.999,0.304719,0.0610099
130,738.901,1,2.80485,0.78034,0.613632,22.0258,4.94339,29.4612,0.180173,0.263596,0.575697,0.228572,0.998776,0.301357,0.0624055
131,747.769,1,2.81767,0.78088,0.60577,22.0406,4.81551,29.4962,0.181721,0.261073,0.562121,0.22649,0.998613,0.300541,0.0648548
132,745.521,1,2.81945,0.7934,0.606165,21.9508,4.79409,29.3987,0.186714,0.258131,0.547888,0.22317,0.998699,0.304047,0.0643344
133,741.91,1,2.84936,0.782787,0.596096,21.9256,4.77795,29.4015,0.191805,0.257339,0.534652,0.220635,0.999,0.304907,0.0640711
134,735.755,1,2.88563,0.783136,0.586278,22.0699,4.68321,29.5169,0.190212,0.255547,0.554781,0.219337,0.999,0.305198,0.0633253
135,735.704,1,2.87835,0.766723,0.590454,22.1403,4.75138,29.6195,0.189904,0.254316,0.584629,0.21908,0.999,0.308286,0.0617219
136,746.882,1,2.79924,0.774239,0.606091,22.0369,4.79977,29.5552,0.191867,0.258569,0.584437,0.223694,0.998862,0.308674,0.0631088
