eta_Cl_vs_AGEA_abscissa,eta_Cl_vs_AGEA_spline,eta_Cl_vs_AGEA_regression,eta_Cl_vs_ALBGDL_abscissa,eta_Cl_vs_ALBGDL_spline,eta_Cl_vs_ALBGDL_regression,eta_Cl_vs_CLCRMLMIN_abscissa,eta_Cl_vs_CLCRMLMIN_spline,eta_Cl_vs_CLCRMLMIN_regression,eta_Cl_vs_HCM_abscissa,eta_Cl_vs_HCM_spline,eta_Cl_vs_HCM_regression,eta_Cl_vs_RAL_abscissa,eta_Cl_vs_RAL_spline,eta_Cl_vs_RAL_regression,eta_Cl_vs_SCRMGDL_abscissa,eta_Cl_vs_SCRMGDL_spline,eta_Cl_vs_SCRMGDL_regression,eta_Cl_vs_WTKG_abscissa,eta_Cl_vs_WTKG_spline,eta_Cl_vs_WTKG_regression,eta_Cl_vs_centeredAGEA_abscissa,eta_Cl_vs_centeredAGEA_spline,eta_Cl_vs_centeredAGEA_regression,eta_Cl_vs_centeredALBGDL_abscissa,eta_Cl_vs_centeredALBGDL_spline,eta_Cl_vs_centeredALBGDL_regression,eta_Cl_vs_centeredHCM_abscissa,eta_Cl_vs_centeredHCM_spline,eta_Cl_vs_centeredHCM_regression,eta_Cl_vs_centeredSCR_abscissa,eta_Cl_vs_centeredSCR_spline,eta_Cl_vs_centeredSCR_regression,eta_Cl_vs_centeredWT_abscissa,eta_Cl_vs_centeredWT_spline,eta_Cl_vs_centeredWT_regression,eta_Cl_vs_logtCLCR_abscissa,eta_Cl_vs_logtCLCR_spline,eta_Cl_vs_logtCLCR_regression,eta_Q_vs_AGEA_abscissa,eta_Q_vs_AGEA_spline,eta_Q_vs_AGEA_regression,eta_Q_vs_ALBGDL_abscissa,eta_Q_vs_ALBGDL_spline,eta_Q_vs_ALBGDL_regression,eta_Q_vs_CLCRMLMIN_abscissa,eta_Q_vs_CLCRMLMIN_spline,eta_Q_vs_CLCRMLMIN_regression,eta_Q_vs_HCM_abscissa,eta_Q_vs_HCM_spline,eta_Q_vs_HCM_regression,eta_Q_vs_RAL_abscissa,eta_Q_vs_RAL_spline,eta_Q_vs_RAL_regression,eta_Q_vs_SCRMGDL_abscissa,eta_Q_vs_SCRMGDL_spline,eta_Q_vs_SCRMGDL_regression,eta_Q_vs_WTKG_abscissa,eta_Q_vs_WTKG_spline,eta_Q_vs_WTKG_regression,eta_Q_vs_centeredAGEA_abscissa,eta_Q_vs_centeredAGEA_spline,eta_Q_vs_centeredAGEA_regression,eta_Q_vs_centeredALBGDL_abscissa,eta_Q_vs_centeredALBGDL_spline,eta_Q_vs_centeredALBGDL_regression,eta_Q_vs_centeredHCM_abscissa,eta_Q_vs_centeredHCM_spline,eta_Q_vs_centeredHCM_regression,eta_Q_vs_centeredSCR_abscissa,eta_Q_vs_centeredSCR_spline,eta_Q_vs_centeredSCR_regression,eta_Q_vs_centeredWT_abscissa,eta_Q_vs_centeredWT_spline,eta_Q_vs_centeredWT_regression,eta_Q_vs_logtCLCR_abscissa,eta_Q_vs_logtCLCR_spline,eta_Q_vs_logtCLCR_regression,eta_V1_vs_AGEA_abscissa,eta_V1_vs_AGEA_spline,eta_V1_vs_AGEA_regression,eta_V1_vs_ALBGDL_abscissa,eta_V1_vs_ALBGDL_spline,eta_V1_vs_ALBGDL_regression,eta_V1_vs_CLCRMLMIN_abscissa,eta_V1_vs_CLCRMLMIN_spline,eta_V1_vs_CLCRMLMIN_regression,eta_V1_vs_HCM_abscissa,eta_V1_vs_HCM_spline,eta_V1_vs_HCM_regression,eta_V1_vs_RAL_abscissa,eta_V1_vs_RAL_spline,eta_V1_vs_RAL_regression,eta_V1_vs_SCRMGDL_abscissa,eta_V1_vs_SCRMGDL_spline,eta_V1_vs_SCRMGDL_regression,eta_V1_vs_WTKG_abscissa,eta_V1_vs_WTKG_spline,eta_V1_vs_WTKG_regression,eta_V1_vs_centeredAGEA_abscissa,eta_V1_vs_centeredAGEA_spline,eta_V1_vs_centeredAGEA_regression,eta_V1_vs_centeredALBGDL_abscissa,eta_V1_vs_centeredALBGDL_spline,eta_V1_vs_centeredALBGDL_regression,eta_V1_vs_centeredHCM_abscissa,eta_V1_vs_centeredHCM_spline,eta_V1_vs_centeredHCM_regression,eta_V1_vs_centeredSCR_abscissa,eta_V1_vs_centeredSCR_spline,eta_V1_vs_centeredSCR_regression,eta_V1_vs_centeredWT_abscissa,eta_V1_vs_centeredWT_spline,eta_V1_vs_centeredWT_regression,eta_V1_vs_logtCLCR_abscissa,eta_V1_vs_logtCLCR_spline,eta_V1_vs_logtCLCR_regression,split
20,0.0350901,0.0452464,2.3,-0.0290477,-0.0346385,97.5,-0.13023,0.00454372,152,-0.00179621,-0.144704,180,-0.0556269,-0.000732526,0.37,-0.0198624,-0.0326678,52,-0.163176,-0.112339,0.430108,0.0350901,0.0452464,0.740741,-0.0290477,-0.0346385,0.926829,-0.00179621,-0.144704,0.637931,-0.0198624,-0.0326678,0.866667,-0.163176,-0.112339,-0.341952,-0.164527,-0.00726613,20,-0.588943,-0.7096,2.3,0.140667,0.0145356,97.5,0.321615,0.0506571,152,-0.0790058,0.0537198,180,0.249551,-0.107543,0.37,0.155566,0.0980664,52,-0.049595,-0.0423299,0.430108,-0.588943,-0.7096,0.740741,0.140667,0.0145356,0.926829,-0.0790058,0.0537198,0.637931,0.155566,0.0980664,0.866667,-0.049595,-0.0423299,-0.341952,0.4263,0.0765475,20,-0.0532506,-0.0243582,2.3,0.138007,0.0707663,97.5,-0.11955,0.00458136,152,-0.0374613,-0.10517,180,0.015817,-0.0114004,0.37,-0.0245106,0.0172725,52,-0.0375668,-0.0437305,0.430108,-0.0532506,-0.0243582,0.740741,0.138007,0.0707663,0.926829,-0.0374613,-0.10517,0.637931,-0.0245106,0.0172725,0.866667,-0.0375668,-0.0437305,-0.341952,-0.130129,-0.00960959,All
20.596,0.0288744,0.0441016,2.31697,-0.0268464,-0.0339406,98.5172,-0.114973,0.0044254,152.293,-0.0131379,-0.14115,244.04,-0.0474886,-0.000738619,0.374343,-0.02071,-0.0320165,52.3232,-0.156025,-0.108761,0.442924,0.0288744,0.0441016,0.746206,-0.0268464,-0.0339406,0.928615,-0.0131379,-0.14115,0.64542,-0.02071,-0.0320165,0.872054,-0.156025,-0.108761,-0.334786,-0.147464,-0.00713953,20.596,-0.595284,-0.692816,2.31697,0.131568,0.0135396,98.5172,0.28157,0.0488089,152.293,-0.0710862,0.0515606,244.04,0.199373,-0.103876,0.374343,0.142089,0.0953691,52.3232,-0.0574627,-0.0420522,0.442924,-0.595284,-0.692816,0.746206,0.131568,0.0135396,0.928615,-0.0710862,0.0515606,0.64542,0.142089,0.0953691,0.872054,-0.0574627,-0.0420522,-0.334786,0.37766,0.0743707,20.596,-0.0546181,-0.0235171,2.31697,0.133579,0.0695009,98.5172,-0.107098,0.00468945,152.293,-0.0431498,-0.102336,244.04,0.0129164,-0.0103622,0.374343,-0.0222943,0.0171137,52.3232,-0.0386695,-0.0420217,0.442924,-0.0546181,-0.0235171,0.746206,0.133579,0.0695009,0.928615,-0.0431498,-0.102336,0.64542,-0.0222943,0.0171137,0.872054,-0.0386695,-0.0420217,-0.334786,-0.119536,-0.00923193,All
21.1919,0.0226588,0.0429568,2.33394,-0.024645,-0.0332427,99.5343,-0.0997157,0.00430708,152.586,-0.0244796,-0.137596,308.081,-0.0400563,-0.000744711,0.378687,-0.0215577,-0.0313652,52.6465,-0.148873,-0.105184,0.45574,0.0226588,0.0429568,0.751671,-0.024645,-0.0332427,0.930402,-0.0244796,-0.137596,0.652908,-0.0215577,-0.0313652,0.877441,-0.148873,-0.105184,-0.32762,-0.130401,-0.00701292,21.1919,-0.601626,-0.676032,2.33394,0.122469,0.0125436,99.5343,0.241524,0.0469607,152.586,-0.0631667,0.0494015,308.081,0.154003,-0.100209,0.378687,0.128611,0.0926718,52.6465,-0.0653304,-0.0417745,0.45574,-0.601626,-0.676032,0.751671,0.122469,0.0125436,0.930402,-0.0631667,0.0494015,0.652908,0.128611,0.0926718,0.877441,-0.0653304,-0.0417745,-0.32762,0.329021,0.072194,21.1919,-0.0559856,-0.022676,2.33394,0.129151,0.0682355,99.5343,-0.0946469,0.00479754,152.586,-0.0488382,-0.0995032,308.081,0.0103411,-0.00932391,0.378687,-0.020078,0.0169548,52.6465,-0.0397722,-0.0403129,0.45574,-0.0559856,-0.022676,0.751671,0.129151,0.0682355,0.930402,-0.0488382,-0.0995032,0.652908,-0.020078,0.0169548,0.877441,-0.0397722,-0.0403129,-0.32762,-0.108944,-0.00885428,All
21.7879,0.0164431,0.041812,2.35091,-0.0224436,-0.0325448,100.552,-0.0844587,0.00418876,152.879,-0.0358213,-0.134042,372.121,-0.032624,-0.000750803,0.38303,-0.0224053,-0.0307138,52.9697,-0.141722,-0.101606,0.468557,0.0164431,0.041812,0.757137,-0.0224436,-0.0325448,0.932188,-0.0358213,-0.134042,0.660397,-0.0224053,-0.0307138,0.882828,-0.141722,-0.101606,-0.320454,-0.113339,-0.00688632,21.7879,-0.607967,-0.659247,2.35091,0.11337,0.0115476,100.552,0.201479,0.0451125,152.879,-0.0552472,0.0472424,372.121,0.108633,-0.0965422,0.38303,0.115133,0.0899744,52.9697,-0.0731981,-0.0414968,0.468557,-0.607967,-0.659247,0.757137,0.11337,0.0115476,0.932188,-0.0552472,0.0472424,0.660397,0.115133,0.0899744,0.882828,-0.0731981,-0.0414968,-0.320454,0.280381,0.0700172,21.7879,-0.0573531,-0.0218349,2.35091,0.124724,0.0669701,100.552,-0.0821955,0.00490563,152.879,-0.0545267,-0.09667,372.121,0.00776587,-0.00828566,0.38303,-0.0178617,0.016796,52.9697,-0.0408749,-0.0386041,0.468557,-0.0573531,-0.0218349,0.757137,0.124724,0.0669701,0.932188,-0.0545267,-0.09667,0.660397,-0.0178617,0.016796,0.882828,-0.0408749,-0.0386041,-0.320454,-0.0983517,-0.00847663,All
22.3838,0.0102274,0.0406673,2.36788,-0.0202422,-0.0318468,101.569,-0.0723438,0.00407044,153.172,-0.047163,-0.130489,436.162,-0.0251918,-0.000756896,0.387374,-0.023253,-0.0300625,53.2929,-0.134717,-0.0980276,0.481373,0.0102274,0.0406673,0.762602,-0.0202422,-0.0318468,0.933974,-0.047163,-0.130489,0.667886,-0.023253,-0.0300625,0.888215,-0.134717,-0.0980276,-0.313288,-0.0962759,-0.00675971,22.3838,-0.614309,-0.642463,2.36788,0.104272,0.0105516,101.569,0.170448,0.0432643,153.172,-0.0473276,0.0450832,436.162,0.0632634,-0.0928753,0.387374,0.101656,0.0872771,53.2929,-0.0774842,-0.0412191,0.481373,-0.614309,-0.642463,0.762602,0.104272,0.0105516,0.933974,-0.0473276,0.0450832,0.667886,0.101656,0.0872771,0.888215,-0.0774842,-0.0412191,-0.313288,0.231741,0.0678404,22.3838,-0.0587206,-0.0209938,2.36788,0.120296,0.0657047,101.569,-0.0719652,0.00501372,153.172,-0.0602151,-0.0938367,436.162,0.00519063,-0.00724741,0.387374,-0.0156454,0.0166371,53.2929,-0.04097,-0.0368952,0.481373,-0.0587206,-0.0209938,0.762602,0.120296,0.0657047,0.933974,-0.0602151,-0.0938367,0.667886,-0.0156454,0.0166371,0.888215,-0.04097,-0.0368952,-0.313288,-0.0877593,-0.00809898,All
22.9798,0.00401179,0.0395225,2.38485,-0.0180409,-0.0311489,102.586,-0.060766,0.00395212,153.465,-0.0585047,-0.126935,500.202,-0.0188083,-0.000762988,0.391717,-0.0241007,-0.0294112,53.6162,-0.127728,-0.0944496,0.494189,0.00401179,0.0395225,0.768067,-0.0180409,-0.0311489,0.93576,-0.0585047,-0.126935,0.675374,-0.0241007,-0.0294112,0.893603,-0.127728,-0.0944496,-0.306122,-0.0818556,-0.00663311,22.9798,-0.62065,-0.625679,2.38485,0.095173,0.00955557,102.586,0.140957,0.0414161,153.465,-0.0394081,0.0429241,500.202,0.0250286,-0.0892083,0.391717,0.088178,0.0845798,53.6162,-0.0813999,-0.0409414,0.494189,-0.62065,-0.625679,0.768067,0.095173,0.00955557,0.93576,-0.0394081,0.0429241,0.675374,0.088178,0.0845798,0.893603,-0.0813999,-0.0409414,-0.306122,0.191349,0.0656637,22.9798,-0.060088,-0.0201527,2.38485,0.115868,0.0644393,102.586,-0.0621145,0.00512181,153.465,-0.0659036,-0.0910035,500.202,0.00309955,-0.00620917,0.391717,-0.013429,0.0164782,53.6162,-0.0409609,-0.0351864,0.494189,-0.060088,-0.0201527,0.768067,0.115868,0.0644393,0.93576,-0.0659036,-0.0910035,0.675374,-0.013429,0.0164782,0.893603,-0.0409609,-0.0351864,-0.306122,-0.078447,-0.00772133,All
23.5758,-0.000593491,0.0383777,2.40182,-0.0158395,-0.030451,103.603,-0.0491882,0.00383381,153.758,-0.0698464,-0.123381,564.242,-0.012714,-0.00076908,0.396061,-0.0249483,-0.0287598,53.9394,-0.120738,-0.0908716,0.507006,-0.000593491,0.0383777,0.773532,-0.0158395,-0.030451,0.937546,-0.0698464,-0.123381,0.682863,-0.0249483,-0.0287598,0.89899,-0.120738,-0.0908716,-0.298956,-0.0701477,-0.00650651,23.5758,-0.622298,-0.608895,2.40182,0.0860743,0.00855955,103.603,0.111467,0.0395679,153.758,-0.0314886,0.040765,564.242,-0.0112394,-0.0855413,0.396061,0.0747003,0.0818824,53.9394,-0.0853155,-0.0406637,0.507006,-0.622298,-0.608895,0.773532,0.0860743,0.00855955,0.937546,-0.0314886,0.040765,0.682863,0.0747003,0.0818824,0.89899,-0.0853155,-0.0406637,-0.298956,0.159422,0.0634869,23.5758,-0.0603658,-0.0193116,2.40182,0.11144,0.0631739,103.603,-0.0522639,0.00522989,153.758,-0.071592,-0.0881703,564.242,0.00114193,-0.00517092,0.396061,-0.0112127,0.0163194,53.9394,-0.0409518,-0.0334776,0.507006,-0.0603658,-0.0193116,0.773532,0.11144,0.0631739,0.937546,-0.071592,-0.0881703,0.682863,-0.0112127,0.0163194,0.89899,-0.0409518,-0.0334776,-0.298956,-0.0704486,-0.00734368,All
24.1717,-0.00492138,0.0372329,2.41879,-0.0136381,-0.0297531,104.62,-0.0376105,0.00371549,154.051,-0.0811881,-0.119827,628.283,-0.00661964,-0.000775173,0.400404,-0.025796,-0.0281085,54.2626,-0.113749,-0.0872936,0.519822,-0.00492138,0.0372329,0.778998,-0.0136381,-0.0297531,0.939332,-0.0811881,-0.119827,0.690352,-0.025796,-0.0281085,0.904377,-0.113749,-0.0872936,-0.29179,-0.0584397,-0.0063799,24.1717,-0.623126,-0.59211,2.41879,0.0769756,0.00756353,104.62,0.0819762,0.0377198,154.051,-0.0235691,0.0386059,628.283,-0.0475075,-0.0818743,0.400404,0.0612227,0.0791851,54.2626,-0.0892311,-0.040386,0.519822,-0.623126,-0.59211,0.778998,0.0769756,0.00756353,0.939332,-0.0235691,0.0386059,0.690352,0.0612227,0.0791851,0.904377,-0.0892311,-0.040386,-0.29179,0.127495,0.0613102,24.1717,-0.0604573,-0.0184705,2.41879,0.107013,0.0619085,104.62,-0.0424132,0.00533798,154.051,-0.0772805,-0.085337,628.283,-0.000815687,-0.00413268,0.400404,-0.00899643,0.0161605,54.2626,-0.0409427,-0.0317688,0.519822,-0.0604573,-0.0184705,0.778998,0.107013,0.0619085,0.939332,-0.0772805,-0.085337,0.690352,-0.00899643,0.0161605,0.904377,-0.0409427,-0.0317688,-0.29179,-0.0624503,-0.00696603,All
24.7677,-0.00870353,0.0360881,2.43576,-0.0114367,-0.0290552,105.637,-0.0260327,0.00359717,154.343,-0.0925298,-0.116274,692.323,-0.00104396,-0.000781265,0.404747,-0.0266436,-0.0274572,54.5859,-0.106759,-0.0837157,0.532638,-0.00870353,0.0360881,0.784463,-0.0114367,-0.0290552,0.941119,-0.0925298,-0.116274,0.69784,-0.0266436,-0.0274572,0.909764,-0.106759,-0.0837157,-0.284624,-0.0467318,-0.0062533,24.7677,-0.622339,-0.575326,2.43576,0.0678769,0.00656752,105.637,0.0524857,0.0358716,154.343,-0.0156495,0.0364467,692.323,-0.080251,-0.0782073,0.404747,0.047745,0.0764878,54.5859,-0.0931467,-0.0401083,0.532638,-0.622339,-0.575326,0.784463,0.0678769,0.00656752,0.941119,-0.0156495,0.0364467,0.69784,0.047745,0.0764878,0.909764,-0.0931467,-0.0401083,-0.284624,0.0955687,0.0591334,24.7677,-0.0601833,-0.0176295,2.43576,0.102585,0.060643,105.637,-0.0325626,0.00544607,154.343,-0.0829689,-0.0825038,692.323,-0.00253342,-0.00309443,0.404747,-0.00678013,0.0160017,54.5859,-0.0409336,-0.03006,0.532638,-0.0601833,-0.0176295,0.784463,0.102585,0.060643,0.941119,-0.0829689,-0.0825038,0.69784,-0.00678013,0.0160017,0.909764,-0.0409336,-0.03006,-0.284624,-0.054452,-0.00658838,All
25.3636,-0.0107477,0.0349434,2.45273,-0.00923534,-0.0283572,106.655,-0.0144549,0.00347885,154.636,-0.103872,-0.11272,756.364,0.00386904,-0.000787357,0.409091,-0.0274913,-0.0268058,54.9091,-0.0997696,-0.0801377,0.545455,-0.0107477,0.0349434,0.789928,-0.00923534,-0.0283572,0.942905,-0.103872,-0.11272,0.705329,-0.0274913,-0.0268058,0.915152,-0.0997696,-0.0801377,-0.277459,-0.0350239,-0.00612669,25.3636,-0.616193,-0.558542,2.45273,0.0587781,0.0055715,106.655,0.0229952,0.0340234,154.636,-0.00773,0.0342876,756.364,-0.108494,-0.0745403,0.409091,0.0342673,0.0737904,54.9091,-0.0970624,-0.0398306,0.545455,-0.616193,-0.558542,0.789928,0.0587781,0.0055715,0.942905,-0.00773,0.0342876,0.705329,0.0342673,0.0737904,0.915152,-0.0970624,-0.0398306,-0.277459,0.063642,0.0569566,25.3636,-0.0587761,-0.0167884,2.45273,0.098157,0.0593776,106.655,-0.022712,0.00555416,154.636,-0.0886574,-0.0796706,756.364,-0.00394433,-0.00205619,0.409091,-0.00456382,0.0158428,54.9091,-0.0409245,-0.0283512,0.545455,-0.0587761,-0.0167884,0.789928,0.098157,0.0593776,0.942905,-0.0886574,-0.0796706,0.705329,-0.00456382,0.0158428,0.915152,-0.0409245,-0.0283512,-0.277459,-0.0464536,-0.00621073,All
