iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
1,1514.21,1,2.62973,9.16311,20.5065,32.5461,1,1,0.624405,0.998761,1.5,1.5,1.5,1.2
2,1502.47,1,4.32529,11.2877,33.584,49.1531,0.974679,0.974679,0.841733,0.998761,1.46202,1.50299,1.46202,1.16962
3,1485.79,1,4.80269,10.0473,31.6162,47.3023,0.95,0.95,0.58998,0.998761,1.425,1.46494,1.425,1.14
4,1469.4,1,4.58064,12.0228,27.356,42.3479,0.925945,0.925945,0.694073,0.998761,1.38892,1.42784,1.38892,1.11113
5,1461.84,1,4.1735,8.45975,32.8236,48.6635,0.9025,0.9025,0.717093,0.998761,1.35375,1.39169,1.35375,1.083
6,1451.27,1,4.2385,8.98464,37.0146,53.6362,0.879648,0.879648,1.06232,0.998761,1.31947,1.44818,1.31947,1.05558
7,1448.72,1,4.35477,10.622,39.2934,56.4054,0.857375,0.857375,1.22957,0.998761,1.28606,1.41151,1.28606,1.02885
8,1417.42,1,4.7948,10.3554,32.2769,47.9185,0.835666,0.835666,0.872383,0.998761,1.2535,1.37577,1.2535,1.0028
9,1415.89,1,4.99529,9.91211,34.9677,51.36,0.814506,0.814506,0.635432,0.998761,1.22176,1.5501,1.22176,0.977407
10,1404.21,1,5.29271,8.19113,29.0216,44.1268,0.793882,0.793882,0.403674,0.998761,1.19082,1.51085,1.19082,0.952659
11,1401.84,1,5.09392,7.38425,34.2301,50.0869,0.773781,0.773781,0.535553,0.998761,1.16067,1.55915,1.16067,0.928537
12,1377.63,1,5.08827,7.58855,29.8895,45.2489,0.754188,0.754188,0.575549,0.998761,1.13128,1.51967,1.13128,0.905026
13,1370.27,1,5.27389,11.4674,25.9847,40.1898,0.735092,0.735092,0.518589,0.998761,1.10264,1.48119,1.10264,0.88211
14,1364.36,1,4.97652,10.9947,27.9367,42.3718,0.716479,0.716479,0.437316,0.998761,1.07472,1.6091,1.07472,0.859775
