time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
-60,0,0,0,0,0,0,0,0,0,0,0,All
-59.7129,6.01655,3.4025,4.61064,5.13536,5.51172,5.85633,6.20553,6.5626,7.01315,7.56806,8.62264,All
-59.4257,11.2595,6.3023,8.71405,9.65669,10.3306,10.9513,11.5855,12.257,13.0298,14.0439,15.8899,All
-59.1386,15.8594,8.74834,12.3205,13.6164,14.5694,15.4443,16.2768,17.209,18.2681,19.6415,22.0822,All
-58.8514,19.9206,10.9076,15.5674,17.1552,18.3158,19.4158,20.4457,21.5736,22.8568,24.5217,27.4053,All
-58.5643,23.5328,12.7576,18.45,20.304,21.6795,22.9554,24.1568,25.4293,26.9391,28.849,32.19,All
-58.2771,26.7823,14.408,21.0788,23.0839,24.6731,26.124,27.4652,28.8568,30.5845,32.7062,36.4469,All
-57.99,29.4887,15.8423,23.2512,25.4069,27.1532,28.7592,30.1745,31.7046,33.5574,35.889,39.9369,All
-57.7028,26.0342,16.7103,20.504,22.3756,23.9005,25.3952,26.6784,28.0521,29.6533,31.7974,35.3921,All
-57.4157,23.2002,16.2017,18.4418,19.9499,21.3017,22.5694,23.7958,25.0682,26.5421,28.4178,31.8947,All
-57.1285,20.846,15.073,16.8493,18.1036,19.2236,20.2983,21.4067,22.522,23.9458,25.6532,28.9315,All
-56.8414,18.9554,13.8048,15.4378,16.5615,17.5654,18.4855,19.4728,20.5233,21.8235,23.3785,26.44,All
-56.5542,17.4141,12.5518,14.0892,15.1032,16.0781,16.9475,17.8833,18.9055,20.0641,21.6447,24.4613,All
-56.2671,15.9825,11.3895,12.9041,13.8597,14.7359,15.5915,16.4432,17.462,18.6351,20.2905,23.0688,All
-55.9799,14.7173,10.3333,11.8524,12.7719,13.5924,14.3438,15.1742,16.1261,17.3326,18.9994,22.049,All
-55.6928,13.6235,9.41139,10.9602,11.8277,12.5902,13.2911,14.0066,14.8989,15.9766,17.4351,20.1818,All
-55.4056,12.6891,8.56031,10.1131,10.9778,11.7165,12.3557,13.0323,13.8164,14.7394,16.0746,18.6828,All
-55.1185,11.8584,7.81929,9.39356,10.2208,10.9364,11.5681,12.1907,12.8631,13.716,14.893,17.3226,All
-54.8313,11.1535,7.15047,8.72855,9.53883,10.2307,10.8612,11.4108,12.0467,12.8572,13.9278,16.1669,All
-54.5442,10.4876,6.54328,8.11466,8.9029,9.62112,10.2105,10.7583,11.3816,12.0969,13.0763,15.1104,All
-54.257,9.90045,6.05688,7.57114,8.33835,9.05851,9.61849,10.1599,10.7679,11.4387,12.3354,14.1964,All
-53.9699,9.36073,5.60942,7.0636,7.84267,8.53377,9.08864,9.64895,10.2176,10.8816,11.7079,13.41,All
-53.6827,8.91028,5.19667,6.60944,7.38217,8.0677,8.62377,9.17866,9.72098,10.3755,11.151,12.7273,All
-53.3956,8.48166,4.83846,6.18872,6.98459,7.61052,8.18286,8.74321,9.2912,9.91073,10.6545,12.1222,All
-53.1084,8.10199,4.53243,5.82295,6.59557,7.22322,7.78808,8.34588,8.88119,9.50098,10.2327,11.5644,All
-52.8213,7.73108,4.21845,5.48848,6.23273,6.87,7.43064,7.99664,8.52128,9.12892,9.86592,11.1077,All
-52.5341,7.38482,3.95188,5.16464,5.92165,6.54538,7.11891,7.66562,8.16822,8.76905,9.51184,10.7269,All
